Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '14 Dec 31, 2014",,
Revenue,"549,000,000","121,000,000","90,000,000","41,000,000","27,000,000","279,000,000",Financials in JPY,Fiscal year is January - December
Revenue Growth (YoY),215.517%,34.444%,119.512%,51.852%,-90.323%,-,Financials in JPY,Fiscal year is January - December
Cost of Revenue,"98,000,000","13,000,000",-,-,-,"49,000,000",Financials in JPY,Fiscal year is January - December
Gross Profit,"451,000,000","108,000,000","90,000,000","41,000,000","27,000,000","230,000,000",Financials in JPY,Fiscal year is January - December
"Selling, General & Admin","1,249,000,000","1,116,000,000","1,378,000,000","1,649,000,000","1,155,000,000","804,000,000",Financials in JPY,Fiscal year is January - December
Research & Development,"2,247,000,000","2,304,000,000","3,808,000,000","3,700,000,000","2,986,000,000",-,Financials in JPY,Fiscal year is January - December
Other Operating Expenses,"-55,000,000","1,000,000","-10,000,000","-2,000,000","-1,000,000",-,Financials in JPY,Fiscal year is January - December
Operating Expenses,"3,509,000,000","3,489,000,000","5,247,000,000","5,420,000,000","4,224,000,000","804,000,000",Financials in JPY,Fiscal year is January - December
Operating Income,"-3,058,000,000","-3,381,000,000","-5,157,000,000","-5,379,000,000","-4,197,000,000","-574,000,000",Financials in JPY,Fiscal year is January - December
Interest Expense,"-2,989,000,000","-146,000,000","-418,000,000","-583,000,000","-538,000,000","-1,000,000",Financials in JPY,Fiscal year is January - December
Interest & Investment Income,"70,000,000","19,000,000","1,000,000",-,"1,000,000",-,Financials in JPY,Fiscal year is January - December
Earnings From Equity Investments,"-2,000,000","2,000,000","3,000,000","-3,000,000","-14,000,000",-,Financials in JPY,Fiscal year is January - December
Currency Exchange Gain (Loss),"74,000,000","74,000,000","-21,000,000","2,000,000","8,000,000",-,Financials in JPY,Fiscal year is January - December
Other Non Operating Income (Expenses),"297,000,000","298,000,000","-29,000,000","101,000,000","-1,000,000","99,000,000",Financials in JPY,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,608,000,000","-3,134,000,000","-5,621,000,000","-5,862,000,000","-4,741,000,000","-476,000,000",Financials in JPY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-10,000,000",-,-,Financials in JPY,Fiscal year is January - December
Asset Writedown,"-492,000,000","-492,000,000","292,000,000","1,411,000,000","-637,000,000",-,Financials in JPY,Fiscal year is January - December
Pretax Income,"-6,100,000,000","-3,626,000,000","-5,329,000,000","-4,461,000,000","-5,378,000,000","-476,000,000",Financials in JPY,Fiscal year is January - December
Income Tax Expense,"112,000,000","187,000,000","-159,000,000","450,000,000","135,000,000","6,000,000",Financials in JPY,Fiscal year is January - December
Earnings From Continuing Operations,"-6,212,000,000","-3,813,000,000","-5,170,000,000","-4,911,000,000","-5,513,000,000","-482,000,000",Financials in JPY,Fiscal year is January - December
Minority Interest in Earnings,"-10,000,000","-10,000,000","1,000,000","1,000,000","1,000,000","2,000,000",Financials in JPY,Fiscal year is January - December
Net Income,"-6,222,000,000","-3,823,000,000","-5,169,000,000","-4,910,000,000","-5,512,000,000","-480,000,000",Financials in JPY,Fiscal year is January - December
Net Income to Common,"-6,222,000,000","-3,823,000,000","-5,169,000,000","-4,910,000,000","-5,512,000,000","-480,000,000",Financials in JPY,Fiscal year is January - December
Shares Outstanding (Basic),"84,587,407","68,004,203","57,010,354","52,591,726","51,420,302","33,295,547",Financials in JPY,Fiscal year is January - December
Shares Outstanding (Diluted),"84,587,407","68,004,203","57,010,354","57,385,053","51,420,302","33,295,547",Financials in JPY,Fiscal year is January - December
Shares Change (YoY),30.846%,19.284%,-0.653%,11.600%,54.436%,-,Financials in JPY,Fiscal year is January - December
EPS (Basic),-73.557,-56.217,-90.668,-93.361,-107.195,-14.416,Financials in JPY,Fiscal year is January - December
EPS (Diluted),-73.562,-56.220,-90.670,-99.521,-107.200,-14.416,Financials in JPY,Fiscal year is January - December
Free Cash Flow,"-2,333,000,000","-2,847,000,000","-4,808,000,000","-5,382,000,000","-4,256,000,000",-,Financials in JPY,Fiscal year is January - December
Free Cash Flow Per Share,-27.581,-41.865,-84.336,-93.787,-82.769,-,Financials in JPY,Fiscal year is January - December
Gross Margin,82.149%,89.256%,100.000%,100.000%,100.000%,82.437%,Financials in JPY,Fiscal year is January - December
Operating Margin,-557.013%,-2794.215%,-5730.000%,-13119.512%,-15544.444%,-205.735%,Financials in JPY,Fiscal year is January - December
Profit Margin,-1133.333%,-3159.504%,-5743.333%,-11975.610%,-20414.815%,-172.043%,Financials in JPY,Fiscal year is January - December
Free Cash Flow Margin,-424.954%,-2352.893%,-5342.222%,-13126.829%,-15762.963%,-,Financials in JPY,Fiscal year is January - December
EBITDA,"-2,914,000,000","-3,157,000,000","-4,771,000,000","-5,117,000,000","-3,968,000,000",-,Financials in JPY,Fiscal year is January - December
D&A For EBITDA,"144,000,000","224,000,000","386,000,000","262,000,000","229,000,000",-,Financials in JPY,Fiscal year is January - December
EBIT,"-3,058,000,000","-3,381,000,000","-5,157,000,000","-5,379,000,000","-4,197,000,000","-574,000,000",Financials in JPY,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-205.735%,Financials in JPY,Fiscal year is January - December
