Fiscal Year,TTM,FY 2015,FY 2014,FY 2011,FY 2010,FY 2009,2008,Currency,Fiscal_Year_period
Period Ending,"Dec '15 Dec 31, 2015","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009",2008,,
Revenue,"12,562","12,562","22,388","38,898","11,304","8,297",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),157.313%,-43.890%,-42.444%,244.108%,36.242%,-74.618%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"10,863","10,863","4,986","8,722","8,359","14,553",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,699","1,699","17,402","30,176","2,945","-6,256",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,620","5,620","12,108","21,568","52,485","5,046",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,"1,250",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"1,044","1,044","1,038",317,187,320,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,664","6,664","14,860","21,885","53,922","5,366",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,965","-4,965","2,542","8,291","-50,977","-11,622",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-7,-7,-,-,-,-7,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,322","-1,322","-1,050","-2,222","-1,299","-3,588",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,294","-6,294","1,492","6,069","-52,276","-15,217",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"2,000","2,000",-,"36,750","36,004","24,996",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,294","-4,294","1,492","42,819","-16,272","9,779",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,141,141,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,435","-4,435","1,492","42,819","-16,272","9,779",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,435","-4,435","1,492","42,819","-16,272","9,779",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-96.516%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,146,432","26,146,432","26,146,432","26,146,432","23,756,432","23,756,432",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,146,432","26,146,432","26,146,432","26,146,432","23,756,432","23,756,432",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.077%,-,-,10.060%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,0.000,0.002,-0.001,0.000,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,0.000,0.002,-0.001,0.000,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-96.518%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,13.525%,13.525%,77.729%,77.577%,26.053%,-75.401%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-39.524%,-39.524%,11.354%,21.315%,-450.964%,-140.075%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-35.305%,-35.305%,6.664%,110.080%,-143.949%,117.862%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,"4,256",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,19.010%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,"1,714",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,965","-4,965","2,542","8,291","-50,977","-11,622",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-39.524%,-39.524%,11.354%,21.315%,-,-140.075%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"14,562","14,562","22,388","75,648","47,308","33,293",Upgrade,Financials in USD,Fiscal year is January - December
