Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","Nov '23 Nov 30, 2023","Nov '22 Nov 30, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020","Nov '19 Nov 30, 2019",2018 - 2017,,
Revenue,"29,669,000","26,344,000","20,149,000","9,499,000","7,907,000","2,361,000",Upgrade,Financials in CAD,Fiscal year is December - November
Revenue Growth (YoY),0.819%,30.746%,112.117%,20.134%,234.900%,3970.690%,Upgrade,Financials in CAD,Fiscal year is December - November
Cost of Revenue,"28,544,000","13,912,000","16,235,000","7,600,000","1,755,000","1,040,000",Upgrade,Financials in CAD,Fiscal year is December - November
Gross Profit,"1,125,000","12,432,000","3,914,000","1,899,000","6,152,000","1,321,000",Upgrade,Financials in CAD,Fiscal year is December - November
"Selling, General & Admin","9,780,000","8,799,000","6,983,000","5,906,000","4,057,000","6,886,000",Upgrade,Financials in CAD,Fiscal year is December - November
Operating Expenses,"13,312,000","13,883,000","12,456,000","7,400,000","6,162,000","9,620,000",Upgrade,Financials in CAD,Fiscal year is December - November
Operating Income,"-12,187,000","-1,451,000","-8,542,000","-5,501,000","-10,000","-8,299,000",Upgrade,Financials in CAD,Fiscal year is December - November
Interest Expense,"-1,318,000","-1,275,000","-37,000","-1,148,000","-1,594,000","-1,325,000",Upgrade,Financials in CAD,Fiscal year is December - November
Earnings From Equity Investments,"-263,000","-263,000","1,233,000","-270,000","-426,000","-363,000",Upgrade,Financials in CAD,Fiscal year is December - November
Currency Exchange Gain (Loss),"-3,000","-15,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Other Non Operating Income (Expenses),"259,000",-,-,-,"1,656,000",-,Upgrade,Financials in CAD,Fiscal year is December - November
EBT Excluding Unusual Items,"-13,512,000","-3,004,000","-7,346,000","-6,919,000","-374,000","-9,987,000",Upgrade,Financials in CAD,Fiscal year is December - November
Impairment of Goodwill,-,-,-,"-910,000","-6,586,000",-,Upgrade,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Investments,"64,000","6,000","-160,000","-74,000",-,"-519,000",Upgrade,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Assets,-,-,"7,000","-142,000","331,000","1,163,000",Upgrade,Financials in CAD,Fiscal year is December - November
Asset Writedown,-,-,-,"-4,900,000","-1,798,000",-,Upgrade,Financials in CAD,Fiscal year is December - November
Legal Settlements,"2,000","2,000","130,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Other Unusual Items,"-804,000",-,"1,115,000","615,000","-118,000","-250,000",Upgrade,Financials in CAD,Fiscal year is December - November
Pretax Income,"-14,250,000","-2,996,000","-6,254,000","-12,330,000","-8,545,000","-9,593,000",Upgrade,Financials in CAD,Fiscal year is December - November
Income Tax Expense,"885,000","2,178,000","364,000","-1,199,000","1,199,000","-19,000",Upgrade,Financials in CAD,Fiscal year is December - November
Earnings From Continuing Operations,"-15,135,000","-5,174,000","-6,618,000","-11,131,000","-9,744,000","-9,574,000",Upgrade,Financials in CAD,Fiscal year is December - November
