Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+10 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+10 Quarters,,
"Selling, General & Admin","2,792,104","2,200,393","1,997,437","2,206,626","2,578,276","3,250,782","1,694,713","1,703,894","1,738,099","1,567,503","1,402,282","1,614,194","1,650,913","1,191,032","1,483,559","1,130,886","1,334,619","1,377,097","1,190,074","1,105,652",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"4,364,393","3,799,914","2,972,114","2,667,988","837,574","1,518,802","3,021,949","5,080,080","3,185,566","4,745,546","3,602,063","2,532,413","2,016,154","1,576,341","746,618","3,282,796","716,628","1,080,681","1,083,103","1,800,258",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"7,156,497","6,000,307","4,969,551","4,874,614","3,415,850","4,769,584","4,716,662","6,783,974","4,923,665","6,313,049","5,004,345","4,146,607","3,667,067","2,767,373","2,230,177","4,413,682","2,051,247","2,457,778","2,273,177","2,905,910",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-7,156,497","-6,000,307","-4,969,551","-4,874,614","-3,415,850","-4,769,584","-4,716,662","-6,783,974","-4,923,665","-6,313,049","-5,004,345","-4,146,607","-3,667,067","-2,767,373","-2,230,177","-4,413,682","-2,051,247","-2,457,778","-2,273,177","-2,905,910",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,"-514,599",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"243,679","294,879","102,949","122,545","136,550","139,594","151,385","86,013","64,512","33,534","17,337","12,840","6,566","5,333","4,678","4,896","4,023","1,159","8,774","18,201",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-73,721","61,742","132,453","-181,671","206,014","-187,393","2,009","-234,209","960,526","-39,005","19,413","-13,088","61,134","29,101","-21,918","-162,849","-86,161","-165,167","405,068",-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,760,652","-2,182,250","2,388,728","-3,674,677","-1,229,263","55,272","-145,775","991,976","917,252",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-5,225,887","-7,825,936","-2,345,421","-8,608,417","-4,302,549","-4,762,111","-4,709,043","-5,940,194","-3,495,974","-6,318,520","-4,967,595","-4,146,855","-3,599,367","-2,732,939","-2,247,417","-4,571,635","-2,133,385","-2,621,786","-1,859,335","-2,887,709",Upgrade,Financials in CAD,Fiscal year is January - December
