Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Dec '22 Dec 31, 2022","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
Revenue,"184,396","184,396","42,520","2,516,484","2,352,905","1,960,754",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),333.669%,333.669%,-98.310%,6.952%,20.000%,1732.446%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"96,553","96,553","22,070","1,217,579","1,821,156","101,491",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"87,843","87,843","20,450","1,298,905","531,749","1,859,263",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,346,423","2,346,423","3,278,130","5,146,430","5,284,614","8,365,133",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,394,266","3,394,266","13,829,400","6,616,332","10,127,869","16,021,823",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,306,423","-3,306,423","-13,808,950","-5,317,427","-9,596,120","-14,162,560",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,368,220","-2,368,220","-11,548,595","-7,549,394","-17,018,853","-23,944,893",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,36,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"192,491","192,491",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,482,152","-5,482,152","-25,357,545","-12,866,821","-26,614,973","-38,107,417",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,"-630,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,482,152","-5,482,152","-25,357,545","-12,866,821","-26,614,973","-38,737,417",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,482,152","-5,482,152","-25,357,545","-12,866,821","-26,614,973","-38,737,417",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,482,152","-5,482,152","-25,357,545","-12,866,821","-26,614,973","-38,737,417",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"23,740,499,089","23,740,499,089","14,195,344,169","8,235,768,507","5,156,154,043","3,565,587,117",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"23,740,499,089","23,740,499,089","14,195,344,169","8,235,768,507","5,156,154,043","3,565,587,117",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),67.241%,67.241%,72.362%,59.727%,44.609%,43.669%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.002,-0.002,-0.005,-0.011,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.002,-0.002,-0.005,-0.011,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,019,779","-5,019,779",-,"-12,312,536","-24,415,936",-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-,-0.001,-0.005,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,47.638%,47.638%,48.095%,51.616%,22.600%,94.824%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1793.110%,-1793.110%,-32476.364%,-211.304%,-407.841%,-722.302%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2973.032%,-2973.032%,-59636.747%,-511.302%,-1131.154%,-1975.639%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2722.282%,-2722.282%,-,-489.275%,-1037.693%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,306,423","-3,306,423","-13,808,950","-5,317,427","-9,596,120","-14,162,560",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-211.304%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,"43,032","43,032","83,869","242,656","225,717","331,320",Upgrade,Financials in USD,Fiscal year is January - December
