Fiscal Year,TTM,FY 2010,FY 2009,FY 2008,FY 2007,FY 2006,2005 - 2001,Currency,Fiscal_Year_period
Period Ending,"Sep '11 Sep 30, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009","Dec '08 Dec 31, 2008","Dec '07 Dec 31, 2007","Dec '06 Dec 31, 2006",2005 - 2001,,
"Selling, General & Admin","14,437,000","18,428,000","16,597,000","16,910,000","14,432,000","8,506,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-121,000","6,687,000","24,340,000","32,247,000","21,026,000","12,398,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"14,316,000","25,115,000","40,937,000","49,157,000","35,458,000","20,904,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-14,316,000","-25,115,000","-40,937,000","-49,157,000","-35,458,000","-20,904,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-536,000","-2,210,000","-3,143,000","-1,897,000","-1,727,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,000","117,000","406,000","2,489,000","4,298,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"5,000",-,-,-,-,"-2,060,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-14,833,000","-27,208,000","-43,674,000","-48,565,000","-32,887,000","-22,964,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-1,626,000","-468,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"8,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"105,000","73,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-2,073,000",-,-,"-403,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,217,000","-1,217,000","500,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,042,000","-30,051,000","-45,715,000","-48,565,000","-32,782,000","-23,294,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-16,042,000","-30,051,000","-45,715,000","-48,565,000","-32,782,000","-23,294,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-16,042,000","-30,051,000","-45,715,000","-48,565,000","-32,782,000","-23,294,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"192,000","736,000","500,000","500,000","500,000","500,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,234,000","-30,787,000","-46,215,000","-49,065,000","-33,282,000","-23,794,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,282,294","4,129,500","881,800","867,150","769,050","434,400",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,282,294","4,129,500","881,800","867,150","769,050","434,400",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),289.321%,368.303%,1.689%,12.756%,77.037%,209.677%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.791,-7.455,-52.410,-56.582,-43.277,-54.774,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.791,-7.455,-52.410,-56.582,-43.277,-54.774,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,466,000","-24,283,000","-35,512,000","-33,878,000","-25,426,000","-17,659,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.444,-5.880,-40.272,-39.068,-33.062,-40.651,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-13,041,000","-23,802,000","-39,467,000","-47,554,000","-33,932,000","-20,299,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,275,000","1,313,000","1,470,000","1,603,000","1,526,000","605,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-14,316,000","-25,115,000","-40,937,000","-49,157,000","-35,458,000","-20,904,000",Upgrade,Financials in USD,Fiscal year is January - December
