Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",2019,,
Revenue,"88,000","60,000",-,"110,000",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"406,000","406,000",-,"40,000",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"-318,000","-346,000",-,"70,000",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","3,393,000","2,570,000","3,289,000","3,537,000","2,530,000","2,730,128",Upgrade,Financials in CAD,Fiscal year is April - March
Research & Development,"48,000","70,000","1,471,000","2,209,000","1,362,000","52,159",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"3,932,000","3,256,000","5,551,000","9,812,000","5,162,000","3,180,230",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Income,"-4,250,000","-3,602,000","-5,551,000","-9,742,000","-5,162,000","-3,180,230",Upgrade,Financials in CAD,Fiscal year is April - March
Interest Expense,-,-,-,-,"-20,000","-6,690",Upgrade,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,"225,000","274,000","267,000","52,000","9,000","20,655",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Equity Investments,-,-,-,"336,000","-125,000","-135,276",Upgrade,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"406,000",-,-,-,"-4,037,000","-6,178,692",Upgrade,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-3,619,000","-3,328,000","-5,284,000","-9,354,000","-9,335,000","-9,480,233",Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,"-197,000","-616,000","-2,003,000","-355,000","1,986,000","-7,805,781",Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,-,-,-,"-494,000",-,Upgrade,Financials in CAD,Fiscal year is April - March
Asset Writedown,"-3,818,000","-3,818,000","-46,000",-,"-300,000","-1,438,750",Upgrade,Financials in CAD,Fiscal year is April - March
Pretax Income,"-7,634,000","-7,762,000","-7,333,000","-9,709,000","-8,143,000","-18,724,764",Upgrade,Financials in CAD,Fiscal year is April - March
Income Tax Expense,-,"-92,000","109,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Net Income,"-7,634,000","-7,670,000","-7,442,000","-9,709,000","-8,143,000","-18,724,764",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Common,"-7,634,000","-7,670,000","-7,442,000","-9,709,000","-8,143,000","-18,724,764",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"337,096,551","329,653,424","329,652,636","329,236,773","263,510,981","208,414,518",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"337,096,551","329,653,424","329,652,636","329,236,773","263,510,981","208,414,518",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),2.258%,0.000%,0.126%,24.942%,26.436%,122.378%,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.023,-0.023,-0.023,-0.029,-0.031,-0.090,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.023,-0.023,-0.023,-0.029,-0.031,-0.090,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-4,284,000","-3,792,000","-4,790,000","-5,586,000","-4,193,000","-3,025,925",Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.013,-0.012,-0.015,-0.017,-0.016,-0.015,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Margin,-,-,-,63.636%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Margin,-4829.545%,-6003.333%,-,-8856.364%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Profit Margin,-8675.000%,-12783.333%,-,-8826.364%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-4868.182%,-6320.000%,-,-5078.182%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
EBITDA,"-3,942,000","-3,193,000","-5,145,000","-9,291,000","-4,774,000","-3,119,059",Upgrade,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"308,000","409,000","406,000","451,000","388,000","61,171",Upgrade,Financials in CAD,Fiscal year is April - March
EBIT,"-4,250,000","-3,602,000","-5,551,000","-9,742,000","-5,162,000","-3,180,230",Upgrade,Financials in CAD,Fiscal year is April - March
