Fiscal Quarter,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017",+20 Quarters,,
Revenue,"270,000",-,"1,641,000",-,-,-,"453,000","906,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,262.252%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-31,324,000","10,155,000","11,427,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"270,000",-,"1,641,000",-,-,-,"453,000","906,000",-,-,-,-,-,-,-,-,-,"31,324,000","-10,155,000","-11,427,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,599,000","3,126,000","3,884,000","4,033,000","3,671,000","3,877,000","3,644,000","3,480,000","3,388,000","3,045,000","2,758,000","3,217,000","3,017,000","2,627,000","4,101,000","4,472,000","3,109,000","2,478,000","3,750,000","3,571,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"12,444,000","11,383,000","9,473,000","10,513,000","8,751,000","7,837,000","7,548,000","8,587,000","9,987,000","6,817,000","6,826,000","6,849,000","6,460,000","6,259,000","6,359,000","5,316,000","7,275,000","39,204,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,043,000","14,509,000","13,357,000","14,546,000","12,422,000","11,714,000","11,192,000","12,067,000","13,375,000","9,862,000","9,584,000","10,066,000","9,477,000","8,886,000","10,460,000","9,788,000","10,384,000","41,682,000","3,750,000","3,571,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-15,773,000","-14,509,000","-11,716,000","-14,546,000","-12,422,000","-11,714,000","-10,739,000","-11,161,000","-13,375,000","-9,862,000","-9,584,000","-10,066,000","-9,477,000","-8,886,000","-10,460,000","-9,788,000","-10,384,000","-10,358,000","-13,905,000","-14,998,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-231,000","-270,000","-300,000","-300,000","-300,000","-400,000","-400,000","-400,000","-400,000","-300,000","-400,000","-400,000","-400,000","-500,000","-400,000","-400,000","-300,000","-400,000","-400,000","-400,000",Upgrade,Financials in USD,Fiscal year is January - December
