Fiscal Quarter,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013",+20 Quarters,,
Revenue,-,-,-,-,-,-,-,-,"145,000","1,918,000","733,000","289,000","245,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-40.816%,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,468,000","7,655,000","6,104,000","7,034,000","7,701,000","10,826,000","14,096,000","11,705,000","9,624,000","7,434,000","9,992,000","7,439,000","5,995,000","5,152,000","5,268,000","5,279,000","6,140,000","16,824,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-7,468,000","-7,655,000","-6,104,000","-7,034,000","-7,701,000","-10,826,000","-14,096,000","-11,705,000","-9,479,000","-5,516,000","-9,259,000","-7,150,000","-5,750,000","-5,152,000","-5,268,000","-5,279,000","-6,140,000","-16,824,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,503,000","1,600,000","1,810,000","1,625,000","2,903,000","3,753,000","2,504,000","2,576,000","2,238,000","1,874,000","2,091,000","1,696,000","1,907,000","1,771,000","1,419,000","1,586,000","1,844,000","1,648,000","1,470,000","1,688,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-9,600,000","4,051,000","5,265,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,503,000","1,600,000","1,810,000","1,625,000","2,903,000","3,753,000","2,504,000","2,576,000","2,238,000","1,874,000","2,091,000","1,696,000","1,907,000","1,771,000","1,419,000","1,586,000","1,844,000","-7,952,000","5,521,000","6,953,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,971,000","-9,255,000","-7,914,000","-8,659,000","-10,604,000","-14,579,000","-16,600,000","-14,281,000","-11,717,000","-7,390,000","-11,350,000","-8,846,000","-7,657,000","-6,923,000","-6,687,000","-6,865,000","-7,984,000","-8,872,000","-5,521,000","-6,953,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,"-144,000","-286,000","-360,000","-259,000","-277,000","-296,000","-1,322,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,"-96,000",-,-,-,"-15,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,247,000","-418,000","1,607,000","8,972,000","-3,000","1,594,000","122,000","-53,000","-9,000","51,000","24,000","-49,000","-3,000","93,000","-14,000","-31,000","-48,000","-33,000","14,000","-6,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,724,000","-9,673,000","-6,307,000","313,000","-10,607,000","-12,985,000","-16,478,000","-14,334,000","-11,726,000","-7,339,000","-11,326,000","-8,895,000","-7,660,000","-7,070,000","-6,987,000","-7,256,000","-8,291,000","-9,197,000","-5,803,000","-8,281,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-600,000",-,-,-,-,-,-,-,-,"-375,000",-,-,"375,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,724,000","-9,673,000","-6,307,000","313,000","-11,207,000","-12,985,000","-16,478,000","-14,334,000","-11,726,000","-7,339,000","-11,326,000","-8,895,000","-7,660,000","-7,445,000","-6,987,000","-7,256,000","-7,916,000","-9,197,000","-5,803,000","-8,281,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-7,724,000","-9,673,000","-6,307,000","313,000","-11,207,000","-12,985,000","-16,478,000","-14,334,000","-11,726,000","-7,339,000","-11,326,000","-8,895,000","-7,660,000","-7,445,000","-6,987,000","-7,256,000","-7,916,000","-9,197,000","-5,803,000","-8,281,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,540,000",-,-,-,"2,503,000","2,107,000","8,807,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,264,000","-9,673,000","-6,307,000","313,000","-13,710,000","-15,092,000","-25,285,000","-14,334,000","-11,726,000","-7,339,000","-11,326,000","-8,895,000","-7,660,000","-7,445,000","-6,987,000","-7,256,000","-7,916,000","-9,197,000","-5,803,000","-8,281,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"22,166,869","13,190,889","10,947,338","10,136,326","6,759,567","5,307,406","5,210,334","5,129,068","5,006,237","4,993,380","4,905,217","4,477,224","3,449,385","2,865,833","2,843,414","2,684,923","2,515,407","2,419,369","2,399,518","2,382,391",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"22,166,869","13,190,889","10,947,338","10,136,326","6,759,567","5,307,406","5,210,334","5,129,068","5,006,237","4,993,380","4,905,217","4,477,224","3,449,385","2,865,833","2,843,414","2,684,923","2,515,407","2,419,369","2,399,518","2,382,391",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),227.933%,148.537%,110.108%,97.625%,35.023%,6.289%,6.220%,14.559%,45.134%,74.238%,72.512%,66.754%,37.130%,18.454%,18.499%,12.699%,29.698%,95.700%,120.549%,271.001%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.418,-0.733,-0.576,0.031,-2.028,-2.844,-4.853,-2.795,-2.342,-1.470,-2.309,-1.987,-2.221,-2.598,-2.457,-2.702,-3.147,-3.801,-2.418,-3.476,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.418,-0.733,-0.576,0.031,-2.028,-2.844,-4.853,-2.795,-2.342,-1.470,-2.309,-1.987,-2.221,-2.598,-2.457,-2.702,-3.147,-3.801,-2.418,-3.476,Upgrade,Financials in USD,Fiscal year is January - December
