Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2017,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2017,,
Revenue,"27,984,000","27,984,000","30,642,000","30,220,000","28,793,000","50,717,000",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-8.674%,-8.674%,1.396%,4.956%,-43.228%,42.443%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"18,063,000","18,063,000","21,267,000","16,508,000","12,059,000","12,615,000",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"9,921,000","9,921,000","9,375,000","13,712,000","16,734,000","38,102,000",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","18,791,000","18,791,000","18,920,000","19,559,000","16,955,000","17,174,000",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"2,884,000","2,884,000","4,656,000","6,285,000","4,442,000","2,296,000",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"-2,792,000","-2,792,000","4,945,000","3,569,000","3,040,000","1,916,000",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"24,382,000","24,382,000","31,730,000","36,224,000","30,527,000","27,189,000",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-14,461,000","-14,461,000","-22,355,000","-22,512,000","-13,793,000","10,913,000",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-3,056,000","-3,056,000","-2,876,000","-1,380,000","-1,201,000","-144,000",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"56,000","56,000","161,000","1,000","28,000","257,000",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-219,000","-219,000","-479,000","539,000","-478,000","3,925,000",Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"745,000","745,000","176,000","229,000","3,001,000","700,000",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-16,935,000","-16,935,000","-25,373,000","-23,123,000","-12,443,000","15,651,000",Upgrade,Financials in AUD,Fiscal year is July - June
Impairment of Goodwill,"-26,820,000","-26,820,000",-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Asset Writedown,"-11,907,000","-11,907,000","-5,809,000",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"12,036,000","12,036,000","3,484,000","1,375,000","2,400,000","1,600,000",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-43,626,000","-43,626,000","-27,698,000","-21,748,000","-10,043,000","17,251,000",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,"-314,000","-314,000","10,007,000","-7,078,000","-3,057,000","4,095,000",Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Continuing Operations,"-43,312,000","-43,312,000","-37,705,000","-14,670,000","-6,986,000","13,156,000",Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Discontinued Operations,"-1,840,000","-1,840,000","-2,208,000",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Company,"-45,152,000","-45,152,000","-39,913,000","-14,670,000","-6,986,000","13,156,000",Upgrade,Financials in AUD,Fiscal year is July - June
Minority Interest in Earnings,"808,000","808,000",-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-44,344,000","-44,344,000","-39,913,000","-14,670,000","-6,986,000","13,156,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-44,344,000","-44,344,000","-39,913,000","-14,670,000","-6,986,000","13,156,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income Growth,-,-,-,-,-,119.267%,Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"360,253,862","360,253,862","335,670,317","332,533,170","322,746,559","296,929,432",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"360,253,862","360,253,862","335,670,317","332,533,170","322,746,559","303,165,688",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),7.324%,7.324%,0.943%,3.032%,6.459%,9.768%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.123,-0.123,-0.119,-0.044,-0.022,0.044,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.123,-0.123,-0.119,-0.044,-0.022,0.043,Upgrade,Financials in AUD,Fiscal year is July - June
EPS Growth,-,-,-,-,-,100.000%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-17,229,000","-17,229,000","-8,618,000","-13,387,000","-14,138,000","-16,796,000",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.048,-0.048,-0.026,-0.040,-0.044,-0.055,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Margin,35.452%,35.452%,30.595%,45.374%,58.118%,75.127%,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-51.676%,-51.676%,-72.955%,-74.494%,-47.904%,21.517%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-158.462%,-158.462%,-130.256%,-48.544%,-24.263%,25.940%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-61.567%,-61.567%,-28.125%,-44.298%,-49.102%,-33.117%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-11,988,000","-11,988,000","-18,249,000","-18,356,000","-10,238,000","12,265,000",Upgrade,Financials in AUD,Fiscal year is July - June
