Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+2 Quarters,,
"Selling, General & Admin","935,860","1,070,734","1,089,989","981,342","2,670,135","4,291,666","6,383,066","2,682,310","1,726,988","1,818,805","644,637","806,045","710,729","568,960","780,318","715,097","338,412","393,010","99,354","99,354",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,992,998","1,608,922","745,902","917,267","649,468","369,108","135,793","77,527","13,555,633","1,254,497","69,491","69,421","7,234,590","50,284","183,569","82,123","98,776","98,644","106,270","106,270",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,928,858","2,679,656","1,835,891","1,898,609","3,319,603","4,660,774","6,518,859","2,759,837","15,282,621","3,073,302","714,128","875,466","7,945,319","619,244","963,887","797,220","437,188","491,654","205,623","205,623",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,928,858","-2,679,656","-1,835,891","-1,898,609","-3,319,603","-4,660,774","-6,518,859","-2,759,837","-15,282,621","-3,073,302","-714,128","-875,466","-7,945,319","-619,244","-963,887","-797,220","-437,188","-491,654","-205,623","-205,623",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,"-110,669","-332,005","-332,005","-336,781","-284,520","-79,942","-6,892",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"1,470,163","-14,274",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,928,858","-2,679,656","-1,835,891","-1,898,609","-3,319,603","-4,660,774","-6,518,859","-1,400,343","-15,628,900","-3,405,307","-1,050,909","-1,159,986","-8,025,261","-626,136","-963,887","-797,220","-437,188","-491,654","-205,623","-205,623",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,928,858","-2,679,656","-1,835,891","-1,898,609","-3,319,603","-4,660,774","-6,518,859","-1,400,343","-15,628,900","-3,405,307","-1,050,909","-1,159,986","-8,025,261","-626,136","-963,887","-797,220","-437,188","-491,654","-205,623","-205,623",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"312,305","229,834","105,050",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,616,553","-2,449,822","-1,730,841","-1,898,609","-3,319,603","-4,660,774","-6,518,859","-1,400,343","-15,628,900","-3,405,307","-1,050,909","-1,159,986","-8,025,261","-626,136","-963,887","-797,220","-437,188","-491,654","-205,623","-205,623",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,616,553","-2,449,822","-1,730,841","-1,898,609","-3,319,603","-4,660,774","-6,518,859","-1,400,343","-15,628,900","-3,405,307","-1,050,909","-1,159,986","-8,025,261","-626,136","-963,887","-797,220","-437,188","-491,654","-205,623","-205,623",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"39,742,505","30,369,597","21,094,264","21,094,264","21,094,264","21,094,264","19,356,261","17,148,180","16,191,699","15,337,041","14,089,109","13,985,000","12,859,207","12,509,024","12,514,382","12,468,217","11,940,658","11,152,838","10,659,401","10,659,401",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"39,742,505","30,369,597","21,094,264","21,094,264","21,094,264","21,094,264","19,356,261","17,148,180","16,191,699","15,337,041","14,089,109","13,985,000","12,859,207","12,509,024","12,514,382","12,468,217","11,940,658","11,152,838","10,659,401","10,659,401",Upgrade,Financials in USD,Fiscal year is January - December
