Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","2,486,778","2,079,548","1,851,041","6,129,899","309,500",Financials in USD,Fiscal year is April - March
Research & Development,"64,869","28,770","181,805","341,286",-,Financials in USD,Fiscal year is April - March
Operating Expenses,"2,551,647","2,108,318","2,032,846","6,471,185","309,500",Financials in USD,Fiscal year is April - March
Operating Income,"-2,551,647","-2,108,318","-2,032,846","-6,471,185","-309,500",Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"70,957","27,647","-17,856",-,-,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-39,467","-39,567","-20,484",51,-,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-2,857,454","-2,120,238","-2,071,186","-6,471,134","-309,500",Financials in USD,Fiscal year is April - March
Asset Writedown,"-392,278","-392,278",-,-,-,Financials in USD,Fiscal year is April - March
Other Unusual Items,"276,300","138,137",-,-,-,Financials in USD,Fiscal year is April - March
Pretax Income,"-2,973,432","-2,374,379","-2,071,186","-6,471,134","-309,500",Financials in USD,Fiscal year is April - March
Net Income,"-2,777,151","-2,374,379","-2,071,186","-6,471,134","-309,500",Financials in USD,Fiscal year is April - March
Net Income to Common,"-2,777,151","-2,374,379","-2,071,186","-6,471,134","-309,500",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"1,375,073,180","1,051,629,613","807,047,948","769,967,671",-,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"1,375,073,180","1,051,629,613","807,047,948","769,967,671",-,Financials in USD,Fiscal year is April - March
Shares Change (YoY),70.860%,30.306%,4.816%,-,-,Financials in USD,Fiscal year is April - March
EPS (Basic),-0.002,-0.002,-0.003,-0.008,-,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.002,-0.002,-0.003,-0.008,-,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-2,317,192","-1,447,088","-1,307,264","44,344","-50,000",Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-0.002,-0.001,-0.002,0.000,-,Financials in USD,Fiscal year is April - March
EBIT,"-2,551,647","-2,108,318","-2,032,846","-6,471,185","-309,500",Financials in USD,Fiscal year is April - March
