Fiscal Year,TTM,FY 2011,FY 2008,Currency,Fiscal_Year_period
Period Ending,"Dec '11 Dec 31, 2011","Dec '11 Dec 31, 2011","Dec '08 Dec 31, 2008",,
Revenue,"469,799","469,799","476,794",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-1.467%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"61,662","61,662","74,650",Financials in USD,Fiscal year is January - December
Gross Profit,"408,137","408,137","402,144",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","374,782","374,782","578,542",Financials in USD,Fiscal year is January - December
Research & Development,-,-,500,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,"6,133",Financials in USD,Fiscal year is January - December
Operating Expenses,"991,448","991,448","585,175",Financials in USD,Fiscal year is January - December
Operating Income,"-583,311","-583,311","-183,031",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-20,411","-20,411",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-603,722","-603,722","-183,031",Financials in USD,Fiscal year is January - December
Net Income,"-603,722","-603,722","-183,031",Financials in USD,Fiscal year is January - December
Net Income to Common,"-603,722","-603,722","-183,031",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"157,206,178","157,206,178",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"157,206,178","157,206,178",-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.004,-0.004,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.004,-0.004,-,Financials in USD,Fiscal year is January - December
Gross Margin,86.875%,86.875%,84.343%,Financials in USD,Fiscal year is January - December
Operating Margin,-124.162%,-124.162%,-38.388%,Financials in USD,Fiscal year is January - December
Profit Margin,-128.506%,-128.506%,-38.388%,Financials in USD,Fiscal year is January - December
EBITDA,"33,355","33,355",-,Financials in USD,Fiscal year is January - December
EBITDA Margin,7.100%,7.100%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"616,666","616,666",-,Financials in USD,Fiscal year is January - December
EBIT,"-583,311","-583,311","-183,031",Financials in USD,Fiscal year is January - December
EBIT Margin,-124.162%,-124.162%,-38.388%,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,"9,050",Financials in USD,Fiscal year is January - December
