Fiscal Year,TTM,FY 2011,FY 2010,FY 2009,FY 2008,FY 2007,2006,Currency,Fiscal_Year_period
Period Ending,"Dec '11 Dec 31, 2011","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009","Dec '08 Dec 31, 2008","Dec '07 Dec 31, 2007",2006,,
Revenue,"1,237,000","1,237,000",-,"2,134",620,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,244.194%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"247,400","247,400",-,"1,916","1,809","6,186,165",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"989,600","989,600",-,218,"-1,189","-6,186,165",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","219,904","219,904","1,179,211","64,659,441","6,489,311","4,486,457",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"219,904","219,904","1,179,211","64,659,441","6,489,311","4,486,457",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"769,696","769,696","-1,179,211","-64,659,223","-6,490,500","-10,672,622",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-268,565","-2,525,127","-1,689,372",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,31,"25,326",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-959,899","-928,054","-188,500",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"769,696","769,696","-1,179,211","-65,887,687","-9,943,650","-12,525,168",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"5,371,284","5,371,284","600,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"6,140,980","6,140,980","-579,211","-65,887,687","-9,943,650","-12,525,168",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"6,140,980","6,140,980","-579,211","-65,887,687","-9,943,650","-12,525,168",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"6,140,980","6,140,980","-579,211","-65,887,687","-9,943,650","-12,525,168",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,951,503","1,951,503","1,461,619",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,951,503","1,951,503","1,461,619",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),33.517%,33.517%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),3.147,3.147,-0.396,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),3.147,3.147,-0.396,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"80,000","80,000","600,000","-56,297","-4,362,990","-6,311,931",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.041,0.041,0.411,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,80.000%,80.000%,-,10.216%,-191.774%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,62.223%,62.223%,-,-3029954.217%,-1046854.839%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,496.441%,496.441%,-,-3087520.478%,-1603814.516%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,6.467%,6.467%,-,-2638.097%,-703708.065%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"861,696","861,696","-1,087,211","-64,608,836","-6,361,259","-10,526,899",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,69.660%,69.660%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"92,000","92,000","92,000","50,387","129,241","145,723",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"769,696","769,696","-1,179,211","-64,659,223","-6,490,500","-10,672,622",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,62.223%,62.223%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
