Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","Nov '23 Nov 30, 2023","Nov '22 Nov 30, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020","Nov '19 Nov 30, 2019",2018 - 2014,,
Revenue,"15,470,108","21,659,837","22,068,682","21,145,803","25,104,483","16,340,321",Upgrade,Financials in CAD,Fiscal year is December - November
Revenue Growth (YoY),-31.669%,-1.853%,4.364%,-15.769%,53.635%,-14.162%,Upgrade,Financials in CAD,Fiscal year is December - November
Cost of Revenue,"13,417,137","16,315,552","17,108,862","21,025,512","23,645,925","14,983,217",Upgrade,Financials in CAD,Fiscal year is December - November
Gross Profit,"2,052,971","5,344,285","4,959,820","120,291","1,458,558","1,357,104",Upgrade,Financials in CAD,Fiscal year is December - November
"Selling, General & Admin","13,251,165","16,690,741","18,791,482","20,268,223","23,008,781","21,965,213",Upgrade,Financials in CAD,Fiscal year is December - November
Research & Development,-,"18,745","130,053","631,399","1,689,964","1,994,190",Upgrade,Financials in CAD,Fiscal year is December - November
Operating Expenses,"14,537,843","17,901,103","20,081,217","23,883,101","27,657,390","28,476,275",Upgrade,Financials in CAD,Fiscal year is December - November
Operating Income,"-12,484,872","-12,556,818","-15,121,397","-23,762,810","-26,198,832","-27,119,171",Upgrade,Financials in CAD,Fiscal year is December - November
Interest Expense,"-65,612","-38,990","-2,455","-95,018",-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Interest & Investment Income,"17,585",-,-,-,"251,908","1,227,545",Upgrade,Financials in CAD,Fiscal year is December - November
Earnings From Equity Investments,-,-,-,-,"-329,652","-1,602,590",Upgrade,Financials in CAD,Fiscal year is December - November
Currency Exchange Gain (Loss),"-8,561","-2,870","14,670","-134,994","-1,136,119","-508,774",Upgrade,Financials in CAD,Fiscal year is December - November
Other Non Operating Income (Expenses),"432,045","390,135","-1,160,751","2,397,875","675,284","-7,970",Upgrade,Financials in CAD,Fiscal year is December - November
EBT Excluding Unusual Items,"-12,109,415","-12,208,543","-16,269,933","-21,594,947","-26,737,411","-28,010,960",Upgrade,Financials in CAD,Fiscal year is December - November
Merger & Restructuring Charges,"-290,000","-83,333","-78,333","113,676","112,000","-2,420,925",Upgrade,Financials in CAD,Fiscal year is December - November
Impairment of Goodwill,"-250,000","-250,000",-,-,-,"-14,613,763",Upgrade,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Investments,"-72,697","119,359","-71,982","-586,294","-441,827","-2,918,318",Upgrade,Financials in CAD,Fiscal year is December - November
Asset Writedown,"-1,700,000","-1,700,000","-2,500,000",-,-,"-1,524,839",Upgrade,Financials in CAD,Fiscal year is December - November
Legal Settlements,-,-,-,-,-,"-8,002,550",Upgrade,Financials in CAD,Fiscal year is December - November
Other Unusual Items,-,-,-,-,"887,120","-6,104,473",Upgrade,Financials in CAD,Fiscal year is December - November
Pretax Income,"-14,422,112","-14,122,517","-18,920,248","-22,067,565","-26,180,118","-63,595,828",Upgrade,Financials in CAD,Fiscal year is December - November
Income Tax Expense,"21,727","3,153","-224,253","163,123","249,342","-365,474",Upgrade,Financials in CAD,Fiscal year is December - November
Earnings From Continuing Operations,"-14,443,839","-14,125,670","-18,695,995","-22,230,688","-26,429,460","-63,230,354",Upgrade,Financials in CAD,Fiscal year is December - November
Earnings From Discontinued Operations,"6,778,024",-,"3,260,496","-1,570,061",-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Net Income to Company,"-7,665,815","-14,125,670","-15,435,499","-23,800,749","-26,429,460","-63,230,354",Upgrade,Financials in CAD,Fiscal year is December - November
Minority Interest in Earnings,-,-,-,-,"180,226","63,336",Upgrade,Financials in CAD,Fiscal year is December - November
Net Income,"-7,665,815","-14,125,670","-15,435,499","-23,800,749","-26,249,234","-63,167,018",Upgrade,Financials in CAD,Fiscal year is December - November
Net Income to Common,"-7,665,815","-14,125,670","-15,435,499","-23,800,749","-26,249,234","-63,167,018",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Outstanding (Basic),"28,637,800","24,392,842","20,818,101","19,503,803","16,197,683","16,006,355",Upgrade,Financials in CAD,Fiscal year is December - November
