Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018",,
Revenue,"472,516","386,494","915,096","978,813","335,572",Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),-13.445%,-57.765%,-6.510%,191.685%,-,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"94,947","58,079","132,004","525,850","71,874",Financials in CAD,Fiscal year is April - March
Gross Profit,"377,569","328,415","783,092","452,963","263,698",Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","726,517","799,296","2,205,513","3,710,795","243,157",Financials in CAD,Fiscal year is April - March
Operating Expenses,"1,244,452","1,313,246","3,203,337","5,781,161","243,157",Financials in CAD,Fiscal year is April - March
Operating Income,"-866,883","-984,831","-2,420,245","-5,328,198","20,541",Financials in CAD,Fiscal year is April - March
Interest Expense,"-516,689","-511,551","-340,461","-128,551","-114,636",Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"197,898","1,392","18,666","-25,502",-,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"91,551","94,059","-3,060","-14,471",-,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-1,094,123","-1,400,931","-2,745,100","-5,496,722","-94,095",Financials in CAD,Fiscal year is April - March
Impairment of Goodwill,-,-,-,"-1,371,928",-,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,"-733,413","-733,413","-148,963",-,-,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,-,"-11,638",-,-,Financials in CAD,Fiscal year is April - March
Asset Writedown,"-1,374,999","-1,374,999","-1,725,000","-2,127,736",-,Financials in CAD,Fiscal year is April - March
Other Unusual Items,"-41,620","-41,620",-,-,-,Financials in CAD,Fiscal year is April - March
Pretax Income,"-3,244,155","-3,550,963","-4,630,701","-8,996,386","-94,095",Financials in CAD,Fiscal year is April - March
Income Tax Expense,-,-,-,"-80,000",-,Financials in CAD,Fiscal year is April - March
Net Income,"-3,244,155","-3,550,963","-4,630,701","-8,916,386","-94,095",Financials in CAD,Fiscal year is April - March
Net Income to Common,"-3,244,155","-3,550,963","-4,630,701","-8,916,386","-94,095",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"60,515,844","56,039,579","53,241,355","38,651,458",-,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"60,515,844","56,039,579","53,241,355","38,651,458",-,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),11.666%,5.256%,37.747%,-,-,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.054,-0.063,-0.087,-0.231,-,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.054,-0.063,-0.087,-0.231,-,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-226,241","-163,971","-846,725","-1,297,257",-369,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.004,-0.003,-0.016,-0.034,-,Financials in CAD,Fiscal year is April - March
Gross Margin,79.906%,84.973%,85.575%,46.277%,78.582%,Financials in CAD,Fiscal year is April - March
Operating Margin,-183.461%,-254.811%,-264.480%,-544.353%,6.121%,Financials in CAD,Fiscal year is April - March
Profit Margin,-686.570%,-918.763%,-506.034%,-910.939%,-28.040%,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-47.880%,-42.425%,-92.529%,-132.534%,-0.110%,Financials in CAD,Fiscal year is April - March
EBITDA,"-843,221","-965,392","-2,403,128","-5,323,201",-,Financials in CAD,Fiscal year is April - March
EBITDA Margin,-178.453%,-249.782%,-262.609%,-,-,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"23,662","19,439","17,117","4,997",-,Financials in CAD,Fiscal year is April - March
EBIT,"-866,883","-984,831","-2,420,245","-5,328,198","20,541",Financials in CAD,Fiscal year is April - March
EBIT Margin,-183.461%,-254.811%,-264.480%,-,6.121%,Financials in CAD,Fiscal year is April - March
Advertising Expenses,-,"303,556","747,772","1,731,810","20,255",Financials in CAD,Fiscal year is April - March
