Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Operating Revenue,"7,456,829,000","6,206,070,000","4,556,380,000","4,269,729,000","3,843,819,000","1,047,525,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue,"7,456,829,000","6,206,070,000","4,556,380,000","4,269,729,000","3,843,819,000","1,047,525,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),48.592%,36.206%,6.714%,11.080%,266.943%,10953.340%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"2,119,475,000","1,806,844,000","1,381,753,000","1,224,414,000","771,818,000","624,603,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"5,337,354,000","4,399,226,000","3,174,627,000","3,045,315,000","3,072,001,000","422,922,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","4,334,326,000","3,850,971,000","3,426,253,000","3,426,152,000","1,777,733,000","947,814,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"2,280,444,000","2,112,197,000","2,871,220,000","2,322,513,000","1,851,453,000","1,294,724,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"6,614,770,000","5,963,168,000","6,297,473,000","5,748,665,000","3,629,186,000","2,242,538,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"-1,277,416,000","-1,563,942,000","-3,122,846,000","-2,703,350,000","-557,185,000","-1,819,616,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-86,352,000","-98,624,000","-101,698,000","-62,464,000","-68,350,000","-59,490,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"452,837,000","452,837,000","189,537,000","151,755,000","116,102,000","102,700,000",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-152,113,000","60,824,000","752,054,000","-198,750,000","-509,741,000","12,448,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"149,437,000","89,998,000","107,322,000","46,784,000","130,685,000","41,381,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"-913,607,000","-1,058,907,000","-2,175,631,000","-2,766,025,000","-888,489,000","-1,722,577,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"79,481,000","30,807,000","5,102,000","125,017,000","30,976,000","2,627,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-23,034,000","-952,000","60,000","-709,000","-1,200,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Asset Writedown,"-423,727,000","-115,359,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"-1,280,887,000","-1,144,411,000","-2,170,469,000","-2,641,717,000","-858,713,000","-1,719,950,000",Upgrade,Financials in CNY,Fiscal year is January - December
Income Tax Expense,"497,000","-116,498,000","8,801,000","87,038,000","139,708,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"-1,281,384,000","-1,027,913,000","-2,179,270,000","-2,728,755,000","-998,421,000","-1,719,950,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"-1,281,384,000","-1,027,913,000","-2,179,270,000","-2,728,755,000","-998,421,000","-1,719,950,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"-1,281,384,000","-1,027,913,000","-2,179,270,000","-2,728,755,000","-998,421,000","-1,719,950,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"1,603,393,924","1,559,637,004","1,490,123,192","1,455,605,751","1,357,011,757","1,177,686,162",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"1,603,393,924","1,559,637,004","1,490,123,192","1,455,605,751","1,357,011,757","1,177,686,162",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),5.122%,4.665%,2.371%,7.266%,15.227%,251.880%,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),-0.799,-0.659,-1.462,-1.875,-0.736,-1.460,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-0.799,-0.660,-1.462,-1.880,-0.740,-1.460,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-665,930,000","-971,575,000","-2,815,700,000","-3,090,477,000","-796,710,000","-2,030,346,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.415,-0.623,-1.890,-2.123,-0.587,-1.724,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Margin,71.577%,70.886%,69.674%,71.323%,79.921%,40.373%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,-17.131%,-25.200%,-68.538%,-63.314%,-14.496%,-173.706%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,-17.184%,-16.563%,-47.829%,-63.909%,-25.975%,-164.192%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-8.930%,-15.655%,-61.797%,-72.381%,-20.727%,-193.823%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"-990,617,000","-1,288,347,000","-2,877,758,000","-2,537,950,000","-489,202,000","-1,745,782,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA Margin,-13.285%,-20.759%,-63.159%,-59.440%,-12.727%,-166.658%,Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"286,799,000","275,595,000","245,088,000","165,400,000","67,983,000","73,834,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"-1,277,416,000","-1,563,942,000","-3,122,846,000","-2,703,350,000","-557,185,000","-1,819,616,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT Margin,-17.131%,-25.200%,-68.538%,-63.314%,-14.496%,-173.706%,Upgrade,Financials in CNY,Fiscal year is January - December
