Fiscal Year,TTM,FY 2018,FY 2017,FY 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016",,
"Selling, General & Admin","4,234,000","2,982,000","2,341,000","2,417,000",Financials in USD,Fiscal year is January - December
Research & Development,"5,556,000","2,137,000","8,722,000","3,786,188",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,876,000","5,119,000","11,063,000","6,203,188",Financials in USD,Fiscal year is January - December
Operating Income,"-7,876,000","-5,119,000","-11,063,000","-6,203,188",Financials in USD,Fiscal year is January - December
Interest Expense,"-3,089,000","-992,000","-515,000","-563,386",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-190,000","115,000","17,000","20,659",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,155,000","-5,996,000","-11,561,000","-6,745,915",Financials in USD,Fiscal year is January - December
Other Unusual Items,"646,000","11,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,509,000","-5,985,000","-11,561,000","-6,745,915",Financials in USD,Fiscal year is January - December
Net Income,"-10,567,000","-5,985,000","-11,561,000","-6,745,915",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,567,000","-5,985,000","-11,561,000","-6,745,915",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,807,877","19,548,969","19,548,969","19,548,969",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,807,877","19,548,969","19,548,969","19,548,969",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-70.291%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.819,-0.306,-0.591,-0.345,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.819,-0.306,-0.591,-0.345,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,140,000","-6,024,000","-10,186,000","-7,286,539",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.057,-0.308,-0.521,-0.373,Financials in USD,Fiscal year is January - December
EBITDA,"-7,869,000","-5,111,000","-11,053,000","-6,192,861",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,000","8,000","10,000","10,327",Financials in USD,Fiscal year is January - December
EBIT,"-7,876,000","-5,119,000","-11,063,000","-6,203,188",Financials in USD,Fiscal year is January - December
