Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jan '24 Jan 31, 2024","Jan '23 Jan 31, 2023","Jan '22 Jan 31, 2022","Jan '21 Jan 31, 2021","Jan '20 Jan 31, 2020",2019 - 2015,,
"Selling, General & Admin","630,440","819,373","535,589","638,853","873,635","2,370,375",Upgrade,Financials in CAD,Fiscal year is February - January
Research & Development,"262,205","496,447","298,627","151,720","196,711","11,264,235",Upgrade,Financials in CAD,Fiscal year is February - January
Operating Expenses,"892,645","1,315,820","834,216","790,573","1,070,346","13,634,610",Upgrade,Financials in CAD,Fiscal year is February - January
Operating Income,"-892,645","-1,315,820","-834,216","-790,573","-1,070,346","-13,634,610",Upgrade,Financials in CAD,Fiscal year is February - January
Interest Expense,"-27,984","-20,680","-21,002","-13,063","-7,766","-13,740",Upgrade,Financials in CAD,Fiscal year is February - January
Interest & Investment Income,-,-,-,-,"1,825","46,930",Upgrade,Financials in CAD,Fiscal year is February - January
Earnings From Equity Investments,"-664,883","-516,276","-3,096,272","-57,754,078","164,169,820","-31,301",Upgrade,Financials in CAD,Fiscal year is February - January
Currency Exchange Gain (Loss),"-1,665",-354,-724,"-1,453",247,"378,255",Upgrade,Financials in CAD,Fiscal year is February - January
Other Non Operating Income (Expenses),"220,000","170,717","450,000","241,254","213,820",-,Upgrade,Financials in CAD,Fiscal year is February - January
EBT Excluding Unusual Items,"-1,367,177","-1,682,413","-3,502,214","-58,317,913","163,307,600","-13,254,466",Upgrade,Financials in CAD,Fiscal year is February - January
Gain (Loss) on Sale of Investments,"-718,661","-1,335,594","-61,385,939","-26,720,662","-101,564,533",-,Upgrade,Financials in CAD,Fiscal year is February - January
Gain (Loss) on Sale of Assets,-,-,-,-,"128,321,402",-,Upgrade,Financials in CAD,Fiscal year is February - January
Pretax Income,"-2,085,838","-3,018,007","-64,888,153","-85,038,575","190,064,469","-13,254,466",Upgrade,Financials in CAD,Fiscal year is February - January
Earnings From Continuing Operations,"-2,085,838","-3,018,007","-64,888,153","-85,038,575","190,064,469","-13,254,466",Upgrade,Financials in CAD,Fiscal year is February - January
Earnings From Discontinued Operations,-,-,-,-,-,"-22,870",Upgrade,Financials in CAD,Fiscal year is February - January
Net Income to Company,"-2,085,838","-3,018,007","-64,888,153","-85,038,575","190,064,469","-13,277,336",Upgrade,Financials in CAD,Fiscal year is February - January
Minority Interest in Earnings,-,-,-,-,-,"7,093,796",Upgrade,Financials in CAD,Fiscal year is February - January
Net Income,"-2,085,838","-3,018,007","-64,888,153","-85,038,575","190,064,469","-6,183,540",Upgrade,Financials in CAD,Fiscal year is February - January
Net Income to Common,"-2,085,838","-3,018,007","-64,888,153","-85,038,575","190,064,469","-6,183,540",Upgrade,Financials in CAD,Fiscal year is February - January
Shares Outstanding (Basic),"169,129,247","169,129,247","168,395,468","168,239,247","167,789,576","167,404,069",Upgrade,Financials in CAD,Fiscal year is February - January
Shares Outstanding (Diluted),"169,129,247","169,129,247","168,395,468","168,239,247","170,921,285","167,404,069",Upgrade,Financials in CAD,Fiscal year is February - January
Shares Change (YoY),0.267%,0.436%,0.093%,-1.569%,2.101%,0.132%,Upgrade,Financials in CAD,Fiscal year is February - January
EPS (Basic),-0.012,-0.018,-0.385,-0.505,1.133,-0.037,Upgrade,Financials in CAD,Fiscal year is February - January
EPS (Diluted),-0.012,-0.018,-0.385,-0.505,1.112,-0.037,Upgrade,Financials in CAD,Fiscal year is February - January
Free Cash Flow,"-592,330","-342,418","-554,683","-170,776","-2,515,027","-6,376,295",Upgrade,Financials in CAD,Fiscal year is February - January
Free Cash Flow Per Share,-0.004,-0.002,-0.003,-0.001,-0.015,-0.038,Upgrade,Financials in CAD,Fiscal year is February - January
EBITDA,"-890,416","-1,312,848","-820,730","-788,707","-1,067,735","-13,628,529",Upgrade,Financials in CAD,Fiscal year is February - January
D&A For EBITDA,"2,229","2,972","13,486","1,866","2,611","6,081",Upgrade,Financials in CAD,Fiscal year is February - January
EBIT,"-892,645","-1,315,820","-834,216","-790,573","-1,070,346","-13,634,610",Upgrade,Financials in CAD,Fiscal year is February - January
