Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Apr '20 Apr 30, 2020",2019 - 2015,,
"Selling, General & Admin","1,960,000","3,017,000","7,205,000","11,392,000","8,281,500","6,776,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,311,000","2,161,000","4,229,000","4,549,000","6,288,000","15,182,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,271,000","5,178,000","11,434,000","15,941,000","14,569,500","21,958,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,271,000","-5,178,000","-11,434,000","-15,941,000","-14,569,500","-21,958,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,716,000","-1,807,000","-1,637,000","-826,000","-1,950,000","-3,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-9,000","-19,000","29,000","-81,000","-402,000","132,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"838,000","721,000","3,760,000","4,856,000","7,632,000","52,091,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,158,000","-6,283,000","-9,282,000","-11,992,000","-9,289,500","27,071,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,029,000","-1,029,000","-1,278,000",-,"-108,000","-619,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-4,026,000","-9,414,000","6,968,000","-12,767,000","11,893,500","91,600,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-11,213,000","-16,726,000","-3,592,000","-24,759,000","2,496,000","118,052,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"13,000","15,000","18,000","12,000","31,500","27,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-11,226,000","-16,741,000","-3,610,000","-24,771,000","2,464,500","118,025,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,226,000","-16,741,000","-3,610,000","-24,771,000","2,464,500","118,025,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-97.912%,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"274,551,892","269,958,290","254,422,707","239,867,716","220,332,101","208,246,361",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"274,551,892","269,958,290","254,422,707","239,867,716","231,849,881","221,430,324",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.346%,6.106%,6.068%,3.458%,4.706%,17.718%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.041,-0.062,-0.014,-0.103,0.011,0.567,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.041,-0.062,-0.014,-0.103,0.011,0.540,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-97.929%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,612,000","-2,613,000","-3,630,000","-8,024,000","-4,401,000","-17,356,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.013,-0.010,-0.014,-0.033,-0.019,-0.078,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-4,220,000","-4,822,000","-10,965,000","-15,517,000","-14,200,500","-21,614,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"51,000","356,000","469,000","424,000","369,000","344,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,271,000","-5,178,000","-11,434,000","-15,941,000","-14,569,500","-21,958,000",Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,1.262%,0.023%,Upgrade,Financials in USD,Fiscal year is January - December
