Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"17,098","1,185","4,136","19,589","5,727","177,286","169,645","36,196","41,589","98,231","121,426","158,184","116,931","7,685","3,698","77,330","84,622","-76,813","260,515","163,047",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),198.551%,-99.332%,-97.562%,-45.881%,-86.230%,80.479%,39.711%,-77.118%,-64.433%,1178.217%,3183.559%,104.557%,38.180%,-,-98.581%,-52.572%,87.748%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,"144,267","494,008","21,433","49,048","20,955","66,065",-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"17,098","1,185","4,136","19,589","5,727","177,286","169,645","-108,071","-452,419","76,798","72,378","137,229","50,866","7,685","3,698","77,330","84,622","-76,813","260,515","163,047",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","444,022","398,267","854,099","939,920","507,632","1,036,819","879,251","1,118,844","584,737","1,140,941","860,026","1,734,752","1,655,238","2,816,747","2,765,064","1,305,613","2,356,862","2,321,556","2,333,388","1,132,745",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"477,842","276,258","446,855","969,651","525,156","508,020","550,679","592,175","564,532","442,728","511,152","873,107","549,041","578,164","1,343,036","891,624","1,214,342","808,207","327,562","367,608",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"1,336,550","719,786","1,346,550","1,988,375","1,085,602","2,178,425","1,479,373","1,805,979","1,192,945","1,684,455","1,478,845","4,850,089","2,414,884","3,933,429","5,215,033","2,922,451","4,900,740","3,454,399","3,770,948","1,890,427",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-1,319,452","-718,601","-1,342,414","-1,968,786","-1,079,875","-2,001,139","-1,309,728","-1,914,050","-1,645,364","-1,607,657","-1,406,467","-4,712,860","-2,364,018","-3,925,744","-5,211,335","-2,845,121","-4,816,118","-3,531,212","-3,510,433","-1,727,380",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-250,475","-245,740","-223,497","-265,211","-268,394","-262,751","-246,190","-293,320","-288,280","-280,948","-281,596","-224,948","-173,940","-170,897","-162,080","-62,710","-37,824","-100,353","-96,190",-,Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,301,-,-,-,-,-,-,-,"1,582",-,-,-,-,-,-,-,-,-,-,"20,979",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"181,171","6,926",-703,"113,503","-47,277","-97,673","75,477","283,559","18,741","-90,221","-74,406","-77,226","-21,155","-17,499","16,738","16,024","-102,115","64,771","-147,161","-72,961",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-77,419","-17,019","-7,175","-11,215","-8,474","3,500","-15,950","-43,646","-8,502","-46,230","2,397","4,748","-42,105","-49,134","-9,602","-31,507","-30,350","-27,221","-11,736","-12,218",Upgrade,Financials in CAD,Fiscal year is January - December
