Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+16 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+16 Quarters,,
Operating Revenue,"536,000","544,000","827,000","2,016,000","2,760,000","5,000,000","3,126,000","2,690,000","648,000","3,114,000","716,000","30,908,000","1,001,000","1,607,000","446,000","215,000,000",-,-,-,"-45,844",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"129,000","40,000","189,000","89,000","51,000","100,000","181,000","610,000","634,000","309,000","309,000","865,000","313,000","291,000","334,000","300,000","142,000","117,000","136,000","438,021",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"665,000","584,000","1,016,000","2,105,000","2,811,000","5,100,000","3,307,000","3,300,000","1,282,000","3,423,000","1,025,000","31,773,000","1,314,000","1,898,000","780,000","215,300,000","142,000","117,000","136,000","392,177",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-76.343%,-88.549%,-69.277%,-36.212%,119.267%,48.992%,222.634%,-89.614%,-2.435%,80.348%,31.410%,-85.242%,825.352%,1522.222%,473.529%,54798.681%,-95.606%,-95.864%,-95.317%,-87.226%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"665,000","584,000","1,016,000","2,105,000","2,811,000","5,100,000","3,307,000","3,300,000","1,282,000","3,423,000","1,025,000","31,773,000","1,314,000","1,898,000","780,000","215,300,000","142,000","117,000","136,000","392,177",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,194,000","5,763,000","8,822,000","9,825,000","6,790,000","5,143,000","6,657,000","8,180,000","5,897,000","3,435,000","1,288,000","7,932,000","3,003,000","2,714,000","3,862,000","9,829,000","3,371,000","2,509,000","456,000","3,939,901",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"6,855,000","6,040,000","7,228,000","8,861,000","9,785,000","11,354,000","10,867,000","15,361,000","8,531,000","9,775,000","7,905,000","8,712,000","8,529,000","6,765,000","4,288,000","8,762,000","4,412,000","3,906,000","3,636,000","2,890,985",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"15,614,000","12,371,000","16,620,000","19,254,000","17,122,000","17,039,000","17,989,000","23,982,000","14,886,000","13,670,000","9,647,000","17,068,000","11,638,000","9,582,000","8,252,000","18,691,000","7,855,000","6,477,000","4,161,000","6,980,535",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-14,949,000","-11,787,000","-15,604,000","-17,149,000","-14,311,000","-11,939,000","-14,682,000","-20,682,000","-13,604,000","-10,247,000","-8,622,000","14,705,000","-10,324,000","-7,684,000","-7,472,000","196,609,000","-7,713,000","-6,360,000","-4,025,000","-6,588,357",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-45,000","-50,000","-53,000","-485,000","-58,000","-62,000","-48,000","-2,409,000","-2,364,000","-2,372,000","-597,000","-1,223,000","-1,157,000","-272,000","-969,000","-1,519,000","-151,000","-317,000","-138,000","-29,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,078,000","1,592,000","1,994,000","2,903,000","1,853,000","2,179,000","2,207,000","5,757,000","3,073,000","1,695,000","663,000","2,284,000","865,000","379,000","215,000","447,000","166,000","118,000","1,248,000","91,234",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"326,000","758,000","-2,785,000","5,274,000","103,000","-401,000","531,000","-1,237,000",-,-,-,"-625,000",-,-,-,"2,633,000",-,-,-,"-60,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"-138,000",-,"1,000","-1,000","27,000",-,"1,000",-,"-212,000","1,000",-,-,"-6,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,590,000","-9,487,000","-16,448,000","-9,457,000","-12,413,000","-10,223,000","-11,992,000","-18,709,000","-12,895,000","-10,923,000","-8,557,000","15,168,000","-10,616,000","-7,576,000","-8,226,000","197,958,000","-7,697,000","-6,559,000","-2,915,000","-6,592,123",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,"102,000",-,-,-,"115,000",-,-,-,"66,000",-,-,-,"-46,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"6,300,000","-6,300,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,590,000","-9,487,000","-16,448,000","-9,457,000","-12,413,000","-10,223,000","-11,992,000","-12,307,000","-19,195,000","-10,923,000","-8,557,000","15,283,000","-10,616,000","-7,576,000","-8,226,000","198,024,000","-7,697,000","-6,559,000","-2,915,000","-6,638,123",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,858,000","-2,099,000","-1,504,000","-4,119,000","-2,169,000","-1,012,000","-1,631,000","-101,000","-4,306,000","-2,174,000","-1,659,000","4,514,000","-3,169,000","-1,330,000","-1,719,000","31,130,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-9,732,000","-7,388,000","-14,944,000","-5,338,000","-10,244,000","-9,211,000","-10,361,000","-12,206,000","-14,889,000","-8,749,000","-6,898,000","10,769,000","-7,447,000","-6,246,000","-6,507,000","166,894,000","-7,697,000","-6,559,000","-2,915,000","-6,638,123",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,732,000","-7,388,000","-14,944,000","-5,338,000","-10,244,000","-9,211,000","-10,361,000","-12,206,000","-14,889,000","-8,749,000","-6,898,000","10,769,000","-7,447,000","-6,246,000","-6,507,000","166,894,000","-7,697,000","-6,559,000","-2,915,000","-6,638,123",Upgrade,Financials in USD,Fiscal year is January - December
