Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"13,499,282","12,105,697","8,890,417","9,992,997","10,041,746","11,281,793","8,799,940","10,991,985","10,543,139","8,834,795","5,148,214","6,815,183","7,090,467","4,595,591","4,110,563","4,774,488","3,166,786","992,003","454,043",-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),34.432%,7.303%,1.028%,-9.088%,-4.756%,27.697%,70.932%,61.287%,48.695%,92.245%,25.244%,42.742%,123.901%,363.264%,805.325%,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"9,621,691","8,055,274","6,531,813","5,948,142","8,108,072","7,288,033","5,631,459","8,863,174","4,540,029","5,338,247","2,657,792","4,597,676","7,133,717","5,336,598","4,036,926","5,137,445","3,841,474","-273,202","1,345,565","-44,561",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"3,877,591","4,050,423","2,358,604","4,044,855","1,933,674","3,993,760","3,168,481","2,128,811","6,003,110","3,496,548","2,490,422","2,217,507","-43,250","-741,007","73,637","-362,957","-674,688","1,265,205","-891,522","44,561",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","3,175,444","3,571,123","3,334,122","2,646,917","2,842,551","3,536,501","3,517,086","3,946,794","2,944,108","2,808,784","2,875,168","2,705,502","3,009,317","3,528,179","3,199,537","2,678,935","2,910,695","1,980,113","2,010,790","2,054,723",Upgrade,Financials in CAD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,"117,322","-85,872","-31,450",-,"929,867","-491,405","-307,289","-131,173",-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"3,719,916","3,931,856","4,097,090","3,155,689","3,441,392","4,154,156","3,472,978","4,846,293","3,801,132","3,677,963","3,619,631","3,670,078","3,575,318","4,174,725","3,427,766","4,879,628","2,937,852","2,119,717","2,318,579","2,182,278",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"157,675","118,567","-1,738,486","889,166","-1,507,718","-160,396","-304,497","-2,717,482","2,201,978","-181,415","-1,129,209","-1,452,571","-3,618,568","-4,915,732","-3,354,129","-5,242,585","-3,612,540","-854,512","-3,210,101","-2,137,717",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-285,474","-288,760","-279,084","-285,302","-271,437","-274,938","-269,580","-266,575","-275,456","-234,246","-246,485","-247,338","-241,145","-164,816","-601,794","-599,916","-559,119","-555,543","-543,616","-541,904",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,"83,583",-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"126,123","-265,008","-155,289","228,508","-268,954","397,278","18,921","93,146","-559,993","-316,599","127,904","23,643","-110,450","-15,911","-31,393","107,028","-107,671","-158,306","57,472","-20,071",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-166,822","-18,963","280,517","-323,156","404,242","-75,782","-19,891","-412,056","659,003","24,512","-243,749","2,253","123,628",-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
