Company,Frequency,Fiscal,Period Ending,Revenue,Currency,Fiscal_period
ABP,annual,FY 2016,"Dec '16 Dec 31, 2016","1,685,000",Financials in USD,Fiscal year is January - December
ABP,annual,FY 2010,"Sep '10 Sep 30, 2010","12,454,927",Financials in USD,Fiscal year is January - December
ABP,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ABP,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ABP,quarterly,Q3 2024,"Sep '24 Sep 30, 2024",-,Financials in USD,Fiscal year is January - December
ABP,quarterly,Q2 2024,"Jun '24 Jun 30, 2024",-,Financials in USD,Fiscal year is January - December
ABP,quarterly,Q1 2024,"Mar '24 Mar 31, 2024",-,Financials in USD,Fiscal year is January - December
ABP,quarterly,Q3 2023,"Sep '23 Sep 30, 2023",-,Financials in USD,Fiscal year is January - December
ABP,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","-25,000",Financials in USD,Fiscal year is January - December
ABP,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","25,000",Financials in USD,Fiscal year is January - December
ABP,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ABP,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ACMB,annual,TTM,"Sep '21 Sep 30, 2021","5,618,000",Financials in USD,Fiscal year is January - December
ACMB,annual,FY 2020,"Dec '20 Dec 31, 2020","4,752,000",Financials in USD,Fiscal year is January - December
ACMB,annual,FY 2019,"Dec '19 Dec 31, 2019","5,319,000",Financials in USD,Fiscal year is January - December
ACMB,annual,FY 2016,"Dec '16 Dec 31, 2016",-,Financials in USD,Fiscal year is January - December
ACMB,annual,FY 2015,"Dec '15 Dec 31, 2015",-,Financials in USD,Fiscal year is January - December
ACMB,annual,FY 2014,"Dec '14 Dec 31, 2014",-,Financials in USD,Fiscal year is January - December
ACMB,annual,2013,2013,Upgrade,Financials in USD,Fiscal year is January - December
ACMB,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ACMB,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","334,000",Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q2 2017,"Jun '17 Jun 30, 2017",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q1 2017,"Mar '17 Mar 31, 2017",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q4 2016,"Dec '16 Dec 31, 2016",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q3 2016,"Sep '16 Sep 30, 2016",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q2 2016,"Jun '16 Jun 30, 2016",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q1 2016,"Mar '16 Mar 31, 2016",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q4 2015,"Dec '15 Dec 31, 2015",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q3 2015,"Sep '15 Sep 30, 2015",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q2 2015,"Jun '15 Jun 30, 2015",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q1 2015,"Mar '15 Mar 31, 2015",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q4 2014,"Dec '14 Dec 31, 2014",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q3 2014,"Sep '14 Sep 30, 2014",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q2 2014,"Jun '14 Jun 30, 2014",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Q1 2014,"Mar '14 Mar 31, 2014",-,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ACMB,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ACUR,annual,TTM,"Dec '21 Dec 31, 2021","1,563,000",Financials in USD,Fiscal year is January - December
ACUR,annual,FY 2021,"Dec '21 Dec 31, 2021","1,563,000",Financials in USD,Fiscal year is January - December
ACUR,annual,FY 2020,"Dec '20 Dec 31, 2020","3,570,000",Financials in USD,Fiscal year is January - December
ACUR,annual,FY 2019,"Dec '19 Dec 31, 2019","2,657,000",Financials in USD,Fiscal year is January - December
ACUR,annual,FY 2018,"Dec '18 Dec 31, 2018","410,000",Financials in USD,Fiscal year is January - December
ACUR,annual,FY 2017,"Dec '17 Dec 31, 2017","2,966,000",Financials in USD,Fiscal year is January - December
ACUR,annual,2016 - 2012,2016 - 2012,Upgrade,Financials in USD,Fiscal year is January - December
ACUR,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ACUR,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","36,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","270,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","613,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","644,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","718,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","410,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","1,351,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","1,091,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","1,220,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q3 2019,"Sep '19 Sep 30, 2019","1,324,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q2 2019,"Jun '19 Jun 30, 2019","46,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q1 2019,"Mar '19 Mar 31, 2019","67,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q4 2018,"Dec '18 Dec 31, 2018","63,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q3 2018,"Sep '18 Sep 30, 2018","73,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q2 2018,"Jun '18 Jun 30, 2018","76,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q1 2018,"Mar '18 Mar 31, 2018","198,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q4 2017,"Dec '17 Dec 31, 2017","74,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q3 2017,"Sep '17 Sep 30, 2017","83,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q2 2017,"Jun '17 Jun 30, 2017","92,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,Q1 2017,"Mar '17 Mar 31, 2017","2,717,000",Financials in USD,Fiscal year is January - December
ACUR,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
ACUR,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ACUR,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ADIA,annual,TTM,"Dec '23 Dec 31, 2023",-,Financials in USD,Fiscal year is January - December
ADIA,annual,FY 2023,"Dec '23 Dec 31, 2023",-,Financials in USD,Fiscal year is January - December
ADIA,annual,FY 2004,"Dec '04 Dec 31, 2004","197,359",Financials in USD,Fiscal year is January - December
ADIA,annual,FY 2003,"Dec '03 Dec 31, 2003","759,923",Financials in USD,Fiscal year is January - December
ADIA,annual,FY 2002,"Dec '02 Dec 31, 2002","414,737",Financials in USD,Fiscal year is January - December
ADIA,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ADIA,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q2 2012,"Jun '12 Jun 30, 2012","24,610",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q1 2012,"Mar '12 Mar 31, 2012","24,610",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q3 2005,"Sep '05 Sep 30, 2005","119,843",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q2 2005,"Jun '05 Jun 30, 2005","133,480",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q1 2005,"Mar '05 Mar 31, 2005","160,671",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q4 2004,"Dec '04 Dec 31, 2004","93,160",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q3 2004,"Sep '04 Sep 30, 2004","75,790",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q2 2004,"Jun '04 Jun 30, 2004","4,409",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q1 2004,"Mar '04 Mar 31, 2004","24,000",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q4 2003,"Dec '03 Dec 31, 2003","16,000",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q3 2003,"Sep '03 Sep 30, 2003","163,935",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q2 2003,"Jun '03 Jun 30, 2003","248,535",Financials in USD,Fiscal year is January - December
ADIA,quarterly,Q1 2003,"Mar '03 Mar 31, 2003","331,453",Financials in USD,Fiscal year is January - December
