Company,Frequency,Fiscal,Period Ending,Revenue,Currency,Fiscal_period
CHUC,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","7,397,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","8,074,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","6,483,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","5,219,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","5,433,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","4,361,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","4,230,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","3,894,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","4,163,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","4,405,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","3,684,000",Financials in USD,Fiscal year is January - December
CHUC,quarterly,+7 Quarters,+7 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
CHUC,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CHUC,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CMRA,annual,TTM,"Sep '23 Sep 30, 2023","1,000,400",Financials in USD,Fiscal year is January - December
CMRA,annual,FY 2022,"Dec '22 Dec 31, 2022","633,102",Financials in USD,Fiscal year is January - December
CMRA,annual,FY 2021,"Dec '21 Dec 31, 2021","319,832",Financials in USD,Fiscal year is January - December
CMRA,annual,FY 2020,"Dec '20 Dec 31, 2020","442,919",Financials in USD,Fiscal year is January - December
CMRA,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CMRA,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","136,310",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","315,055",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","392,915",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","156,120",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","234,922",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","146,726",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","95,334",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","73,334",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","87,767",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","70,917",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","87,814",Financials in USD,Fiscal year is January - December
CMRA,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CMRA,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CNBX,annual,TTM,"Aug '24 Aug 31, 2024","130,074",Financials in USD,Fiscal year is September - August
CNBX,annual,FY 2024,"Aug '24 Aug 31, 2024","130,074",Financials in USD,Fiscal year is September - August
CNBX,annual,FY 2023,"Aug '23 Aug 31, 2023","410,165",Financials in USD,Fiscal year is September - August
CNBX,annual,FY 2022,"Aug '22 Aug 31, 2022","29,958",Financials in USD,Fiscal year is September - August
CNBX,annual,FY 2021,"Aug '21 Aug 31, 2021",-,Financials in USD,Fiscal year is September - August
CNBX,annual,FY 2020,"Aug '20 Aug 31, 2020","7,157",Financials in USD,Fiscal year is September - August
CNBX,annual,2019 - 2015,2019 - 2015,Upgrade,Financials in USD,Fiscal year is September - August
CNBX,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is September - August
CNBX,annual,Fiscal_Year_period,,Fiscal year is September - August,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q4 2024,"Aug '24 Aug 31, 2024",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q3 2024,"May '24 May 31, 2024",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q2 2024,"Feb '24 Feb 29, 2024","40,637",Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q1 2024,"Nov '23 Nov 30, 2023","89,437",Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q4 2023,"Aug '23 Aug 31, 2023","100,000",Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q3 2023,"May '23 May 31, 2023","310,165",Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q2 2023,"Feb '23 Feb 28, 2023",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q1 2023,"Nov '22 Nov 30, 2022",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q4 2022,"Aug '22 Aug 31, 2022","29,958",Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q3 2022,"May '22 May 31, 2022",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q2 2022,"Feb '22 Feb 28, 2022",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q1 2022,"Nov '21 Nov 30, 2021",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q4 2021,"Aug '21 Aug 31, 2021",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q3 2021,"May '21 May 31, 2021",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q2 2021,"Feb '21 Feb 28, 2021",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q1 2021,"Nov '20 Nov 30, 2020",-,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q4 2020,"Aug '20 Aug 31, 2020","2,207",Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q3 2020,"May '20 May 31, 2020","1,886",Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q2 2020,"Feb '20 Feb 29, 2020","1,310",Financials in USD,Fiscal year is September - August
CNBX,quarterly,Q1 2020,"Nov '19 Nov 30, 2019","1,754",Financials in USD,Fiscal year is September - August
CNBX,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is September - August
CNBX,quarterly,Fiscal_Year_period,,Fiscal year is September - August,Financials in USD,Fiscal year is September - August
CRLBF,annual,TTM,"Sep '24 Sep 30, 2024","726,352,000",Financials in USD,Fiscal year is January - December
CRLBF,annual,FY 2023,"Dec '23 Dec 31, 2023","756,056,000",Financials in USD,Fiscal year is January - December
CRLBF,annual,FY 2022,"Dec '22 Dec 31, 2022","824,929,000",Financials in USD,Fiscal year is January - December
CRLBF,annual,FY 2021,"Dec '21 Dec 31, 2021","805,684,000",Financials in USD,Fiscal year is January - December
CRLBF,annual,FY 2020,"Dec '20 Dec 31, 2020","463,084,000",Financials in USD,Fiscal year is January - December
CRLBF,annual,FY 2019,"Dec '19 Dec 31, 2019","124,193,000",Financials in USD,Fiscal year is January - December
CRLBF,annual,2018 - 2016,2018 - 2016,Upgrade,Financials in USD,Fiscal year is January - December
CRLBF,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CRLBF,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q3 2024,"Sep '24 Sep 30, 2024","178,457,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q2 2024,"Jun '24 Jun 30, 2024","181,176,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q1 2024,"Mar '24 Mar 31, 2024","181,705,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q4 2023,"Dec '23 Dec 31, 2023","185,014,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","186,926,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","193,626,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","190,490,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","195,811,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","206,426,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","213,213,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","209,479,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","212,920,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","212,773,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","205,504,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","174,487,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","157,676,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","148,987,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","91,909,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","64,512,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","39,817,000",Financials in USD,Fiscal year is January - December
CRLBF,quarterly,+11 Quarters,+11 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CRLBF,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CURLF,annual,TTM,"Sep '24 Sep 30, 2024","1,357,017,000",Financials in USD,Fiscal year is January - December
CURLF,annual,FY 2023,"Dec '23 Dec 31, 2023","1,346,632,000",Financials in USD,Fiscal year is January - December
CURLF,annual,FY 2022,"Dec '22 Dec 31, 2022","1,275,420,000",Financials in USD,Fiscal year is January - December
CURLF,annual,FY 2021,"Dec '21 Dec 31, 2021","1,195,987,000",Financials in USD,Fiscal year is January - December
CURLF,annual,FY 2020,"Dec '20 Dec 31, 2020","626,637,000",Financials in USD,Fiscal year is January - December
CURLF,annual,FY 2019,"Dec '19 Dec 31, 2019","221,018,000",Financials in USD,Fiscal year is January - December
CURLF,annual,2018 - 2016,2018 - 2016,Upgrade,Financials in USD,Fiscal year is January - December
CURLF,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CURLF,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q3 2024,"Sep '24 Sep 30, 2024","330,530,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q2 2024,"Jun '24 Jun 30, 2024","342,286,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q1 2024,"Mar '24 Mar 31, 2024","338,932,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q4 2023,"Dec '23 Dec 31, 2023","345,269,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","333,172,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","335,551,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","332,640,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","340,188,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","325,813,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","313,366,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","296,053,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","308,675,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","315,699,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","311,293,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","260,320,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","230,252,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","182,408,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","117,480,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","96,496,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","75,456,000",Financials in USD,Fiscal year is January - December
CURLF,quarterly,+11 Quarters,+11 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
CURLF,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CURLF,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CVSI,annual,TTM,"Sep '24 Sep 30, 2024","15,622,000",Financials in USD,Fiscal year is January - December
CVSI,annual,FY 2023,"Dec '23 Dec 31, 2023","16,004,000",Financials in USD,Fiscal year is January - December
CVSI,annual,FY 2022,"Dec '22 Dec 31, 2022","16,205,000",Financials in USD,Fiscal year is January - December
CVSI,annual,FY 2021,"Dec '21 Dec 31, 2021","20,048,000",Financials in USD,Fiscal year is January - December
CVSI,annual,FY 2020,"Dec '20 Dec 31, 2020","24,429,000",Financials in USD,Fiscal year is January - December
CVSI,annual,FY 2019,"Dec '19 Dec 31, 2019","53,696,000",Financials in USD,Fiscal year is January - December
CVSI,annual,2018 - 2014,2018 - 2014,Upgrade,Financials in USD,Fiscal year is January - December
CVSI,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CVSI,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q3 2024,"Sep '24 Sep 30, 2024","3,865,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q2 2024,"Jun '24 Jun 30, 2024","3,954,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q1 2024,"Mar '24 Mar 31, 2024","4,002,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q4 2023,"Dec '23 Dec 31, 2023","3,801,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","4,089,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","3,966,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","4,148,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","3,869,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","3,751,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","4,138,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","4,447,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","4,969,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","5,107,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","5,128,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","4,844,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","5,199,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","5,564,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","5,396,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","8,270,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","9,328,000",Financials in USD,Fiscal year is January - December
CVSI,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
CVSI,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
CVSI,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
CYDY,annual,TTM,"Aug '24 Aug 31, 2024",-,Financials in USD,Fiscal year is June - May
CYDY,annual,FY 2024,"May '24 May 31, 2024",-,Financials in USD,Fiscal year is June - May
CYDY,annual,FY 2023,"May '23 May 31, 2023",-,Financials in USD,Fiscal year is June - May
CYDY,annual,FY 2022,"May '22 May 31, 2022","266,000",Financials in USD,Fiscal year is June - May
CYDY,annual,FY 2021,"May '21 May 31, 2021",-,Financials in USD,Fiscal year is June - May
CYDY,annual,FY 2020,"May '20 May 31, 2020",-,Financials in USD,Fiscal year is June - May
CYDY,annual,2019 - 2015,2019 - 2015,Upgrade,Financials in USD,Fiscal year is June - May
CYDY,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is June - May
CYDY,annual,Fiscal_Year_period,,Fiscal year is June - May,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q1 2025,"Aug '24 Aug 31, 2024",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q4 2024,"May '24 May 31, 2024",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q3 2024,"Feb '24 Feb 29, 2024",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q2 2024,"Nov '23 Nov 30, 2023",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q1 2024,"Aug '23 Aug 31, 2023",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q4 2023,"May '23 May 31, 2023",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q3 2023,"Feb '23 Feb 28, 2023",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q2 2023,"Nov '22 Nov 30, 2022",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q1 2023,"Aug '22 Aug 31, 2022",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q4 2022,"May '22 May 31, 2022",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q3 2022,"Feb '22 Feb 28, 2022",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q2 2022,"Nov '21 Nov 30, 2021","225,000",Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q1 2022,"Aug '21 Aug 31, 2021","41,000",Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q4 2021,"May '21 May 31, 2021",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q3 2021,"Feb '21 Feb 28, 2021",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q2 2021,"Nov '20 Nov 30, 2020",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q1 2021,"Aug '20 Aug 31, 2020",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q4 2020,"May '20 May 31, 2020",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q3 2020,"Feb '20 Feb 29, 2020",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Q2 2020,"Nov '19 Nov 30, 2019",-,Financials in USD,Fiscal year is June - May
CYDY,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is June - May
CYDY,quarterly,Fiscal_Year_period,,Fiscal year is June - May,Financials in USD,Fiscal year is June - May
DMKPQ,annual,TTM,"Sep '23 Sep 30, 2023","3,619,689",Financials in USD,Fiscal year is January - December
DMKPQ,annual,FY 2022,"Dec '22 Dec 31, 2022","4,756,078",Financials in USD,Fiscal year is January - December
DMKPQ,annual,FY 2021,"Dec '21 Dec 31, 2021","2,208,680",Financials in USD,Fiscal year is January - December
DMKPQ,annual,FY 2020,"Dec '20 Dec 31, 2020","2,776,587",Financials in USD,Fiscal year is January - December
DMKPQ,annual,FY 2019,"Dec '19 Dec 31, 2019","22,113,869",Financials in USD,Fiscal year is January - December
DMKPQ,annual,FY 2018,"Dec '18 Dec 31, 2018","15,086,643",Financials in USD,Fiscal year is January - December
DMKPQ,annual,2017 - 2013,2017 - 2013,Upgrade,Financials in USD,Fiscal year is January - December
DMKPQ,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
DMKPQ,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","9,062",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","6,945",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","1,453,000",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","2,150,682",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","1,505,683",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","39,847",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","1,154,514",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","-1,159,435",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","759,962",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","1,275,474",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","1,393,097",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","679,791",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","868,077",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q2 2020,"Jun '20 Jun 30, 2020",-,Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","4,663,210",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","5,540,222",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q3 2019,"Sep '19 Sep 30, 2019","5,902,975",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q2 2019,"Jun '19 Jun 30, 2019","5,764,899",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q1 2019,"Mar '19 Mar 31, 2019","4,905,772",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Q4 2018,"Dec '18 Dec 31, 2018","4,153,907",Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
DMKPQ,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
EGRX,annual,TTM,"Jun '23 Jun 30, 2023","257,551,000",Financials in USD,Fiscal year is January - December
EGRX,annual,FY 2022,"Dec '22 Dec 31, 2022","316,610,000",Financials in USD,Fiscal year is January - December
EGRX,annual,FY 2021,"Dec '21 Dec 31, 2021","171,546,000",Financials in USD,Fiscal year is January - December
EGRX,annual,FY 2020,"Dec '20 Dec 31, 2020","187,802,000",Financials in USD,Fiscal year is January - December
EGRX,annual,FY 2019,"Dec '19 Dec 31, 2019","195,892,000",Financials in USD,Fiscal year is January - December
EGRX,annual,FY 2018,"Dec '18 Dec 31, 2018","213,312,000",Financials in USD,Fiscal year is January - December
EGRX,annual,2017 - 2013,2017 - 2013,Upgrade,Financials in USD,Fiscal year is January - December
EGRX,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
EGRX,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","64,646,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","66,305,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","60,699,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","65,901,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","74,136,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","115,874,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","42,320,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","39,853,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","48,124,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","41,249,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","49,916,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","49,928,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","41,938,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","46,020,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","48,258,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q3 2019,"Sep '19 Sep 30, 2019","41,147,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q2 2019,"Jun '19 Jun 30, 2019","56,702,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q1 2019,"Mar '19 Mar 31, 2019","49,785,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q4 2018,"Dec '18 Dec 31, 2018","56,054,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,Q3 2018,"Sep '18 Sep 30, 2018","51,337,000",Financials in USD,Fiscal year is January - December
EGRX,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
EGRX,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
