Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+9 Quarters,Currency,Fiscal_Year_period
EPS (Basic),10.916,-26.215,-100.668,297.883,-858.540,-458.271,-668.374,-705.586,-770.111,-509.461,-1008.286,-405.862,-386.559,-1063.004,-460.978,-334.232,-324.289,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),1.978,-26.215,-100.668,-444.269,-858.560,-458.271,-668.374,-705.586,-770.111,-509.461,-1008.286,-405.862,-386.559,-1063.004,-460.978,-334.232,-324.289,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-972,000","-4,642,000","-1,911,000","-5,749,000","-5,904,000","-10,348,000","-13,090,000","-11,074,000","-20,395,000","-17,045,000","-18,339,000","-10,510,000","-8,894,000","-11,252,000","-3,329,000","-4,180,000","-6,981,000","-6,423,000","-5,118,000","-2,910,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-6.183,-45.679,-35.279,-149.023,-171.848,-353.078,-468.940,-398.575,-738.361,-620.224,-678.343,-394.416,-388.130,-625.702,-237.922,-341.587,-607.096,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-100.798%,-,-,100.000%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-834.840%,-1045.769%,-1226.799%,-3104.187%,-3259.821%,-1105.446%,-,-,-,-,-,-,-,-,-,-,-,-,-,-981.600%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,454.787%,-460.104%,-835.069%,2585.714%,-8778.571%,-1662.252%,-,-,-,-,-,-,-,-,-,-,-,-,-,-858.933%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-258.511%,-801.727%,-292.649%,-1416.010%,-1757.143%,-1280.693%,-,-,-,-,-,-,-,-,-,-,-,-,-,-776.000%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-12,519,750","-3,670,750",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,250","10,250",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,139,000","-6,055,000","-8,011,000","-12,603,000","-10,953,000","-8,932,000","-18,257,000","-17,410,000","-21,239,000","-14,010,000","-27,374,000","-10,910,000","-6,773,000","-16,612,000","-5,845,000","-4,085,000","-3,320,000","-5,509,000","-12,530,000","-3,681,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"376,000","579,000","653,000","406,000","336,000","808,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"375,000",Upgrade,Financials in USD,Fiscal year is January - December
