Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+20 Quarters,,
Revenue,-,-,-,-,-,-,60,50,424,-,-,"1,629","129,287","9,139",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-96.931%,-99.672%,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,200,-,"-3,953","4,791","18,556","7,155",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,60,50,224,-,"3,953","-3,162","110,731","1,984",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","97,739","92,301","30,441","345,655","122,382","783,400","621,775","490,656","527,278","501,923","800,705","593,164","629,510","224,240","129,367","20,906","22,974","19,515","34,025","24,401",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-82,529",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"21,203","98,294","-27,342","372,907","128,375","789,393","627,300","496,181","532,803","519,948","830,542","620,582","654,510","249,240","141,867","20,906","22,974","19,515","34,025","24,401",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-21,203","-98,294","27,342","-372,907","-128,375","-789,393","-627,240","-496,131","-532,579","-519,948","-826,589","-623,744","-543,779","-247,256","-141,867","-20,906","-22,974","-19,515","-34,025","-24,401",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-60,831","-111,026","-70,576","-346,171","-765,590","-713,313","-648,714","-658,017","-3,309","-13,798","-18,616","-16,792","-22,601","-63,892","-34,823","-46,767","-46,099","-45,802","-45,752","-45,807",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"128,456","400,591","92,173","492,002","857,127","-77,045","61,147","570,706",-,-,-,-,-,-,-,-,-,"-1,380","1,380",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"46,422","191,271","48,939","-227,076","-36,838","-1,579,751","-1,214,807","-583,442","-535,888","-533,746","-845,205","-640,536","-566,380","-311,148","-176,690","-67,673","-69,073","-66,697","-78,397","-70,208",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,380",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"46,422","191,271","48,939","-227,076","-36,838","-1,579,751","-1,214,807","-583,442","-535,888","-533,746","-845,205","-640,536","-566,380","-311,148","-176,690","-67,673","-69,073","-65,317","-78,397","-70,208",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"46,422","191,271","48,939","-227,076","-36,838","-1,579,751","-1,214,807","-583,442","-535,888","-533,746","-845,205","-640,536","-566,380","-311,148","-176,690","-67,673","-69,073","-65,317","-78,397","-70,208",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"46,422","191,271","48,939","-227,076","-36,838","-1,579,751","-1,214,807","-583,442","-535,888","-533,746","-845,205","-640,536","-566,380","-311,148","-176,690","-67,673","-69,073","-65,317","-78,397","-70,208",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,318,055","7,979,592","7,749,559","7,746,687","7,746,687","7,744,544","7,747,796","7,742,546","7,737,443","7,293,549","6,748,198","6,675,674","6,419,792","6,339,647","3,161,200","48,160","48,160","48,160","48,160","48,160",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,318,055","7,979,592","7,749,559","7,746,687","7,746,687","7,744,544","7,747,796","7,742,546","7,737,443","7,293,549","6,748,198","6,675,674","6,419,792","6,339,647","3,161,200","48,160","48,160","48,160","48,160","48,160",Upgrade,Financials in USD,Fiscal year is January - December
