Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+7 Quarters,,
"Selling, General & Admin","3,891,000","4,715,000","7,043,000","5,003,000","7,126,000","8,366,000","9,417,000","8,678,000","10,111,000","7,001,000","5,963,000","6,085,000","5,272,000","5,071,000","5,842,000","6,293,000","5,886,000","5,923,000","5,124,000","4,650,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"6,499,000","12,743,000","17,857,000","16,084,000","21,928,000","21,221,000","19,321,000","18,881,000","22,599,000","20,655,000","21,508,000","22,113,000","14,910,000","15,174,000","17,419,000","16,377,000","15,610,000","15,464,000","15,680,000","11,343,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,390,000","17,458,000","24,900,000","21,087,000","29,054,000","29,587,000","28,738,000","27,559,000","32,710,000","27,656,000","27,471,000","28,198,000","20,182,000","20,245,000","23,261,000","22,670,000","21,496,000","21,387,000","20,804,000","15,993,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,390,000","-17,458,000","-24,900,000","-21,087,000","-29,054,000","-29,587,000","-28,738,000","-27,559,000","-32,710,000","-27,656,000","-27,471,000","-28,198,000","-20,182,000","-20,245,000","-23,261,000","-22,670,000","-21,496,000","-21,387,000","-20,804,000","-15,993,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,162,000","-1,369,000","-1,111,000","-2,400,000","-788,000","-1,020,000","-1,027,000","-1,098,000","-1,023,000","-814,000","-765,000","-1,100,000","-600,000","-400,000","-400,000","-400,000","-400,000","-200,000","-200,000","-300,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"563,000",-,-,-,"88,000",-,-,-,"344,000",-,-,"219,000","417,000","481,000","646,000","705,000","850,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-36,000","73,000","815,000","447,000","-615,000","209,000","20,000","14,000","159,000","151,000","162,000","92,000","-74,000","82,000","466,000","244,000","-218,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,588,000","-18,754,000","-25,196,000","-22,477,000","-30,457,000","-30,398,000","-29,745,000","-28,555,000","-33,574,000","-28,319,000","-28,074,000","-28,862,000","-20,856,000","-20,563,000","-22,976,000","-22,409,000","-21,633,000","-20,941,000","-20,299,000","-15,443,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-500,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-600,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-193,000","-1,616,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-520,000",-,-,-,-,-,"-3,226,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,381,000","-20,870,000","-25,196,000","-22,997,000","-30,457,000","-30,398,000","-29,745,000","-28,555,000","-33,574,000","-31,545,000","-28,074,000","-28,862,000","-20,856,000","-20,563,000","-22,976,000","-22,409,000","-21,633,000","-20,941,000","-20,299,000","-15,443,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-17,000","233,000","145,000","544,000","107,000","163,000","116,000","97,000","156,000","53,000","122,000","188,000","67,000","89,000","65,000","190,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-12,364,000","-21,103,000","-25,341,000","-23,541,000","-30,564,000","-30,561,000","-29,861,000","-28,652,000","-33,730,000","-31,598,000","-28,196,000","-29,050,000","-20,923,000","-20,652,000","-23,041,000","-22,599,000","-21,633,000","-20,941,000","-20,299,000","-15,443,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,364,000","-21,103,000","-25,341,000","-23,541,000","-30,564,000","-30,561,000","-29,861,000","-28,652,000","-33,730,000","-31,598,000","-28,196,000","-29,050,000","-20,923,000","-20,652,000","-23,041,000","-22,599,000","-21,633,000","-20,941,000","-20,299,000","-15,443,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"17,384,243","5,578,767","5,545,291","5,491,966","5,402,592","3,785,954","2,680,982","2,675,782","2,671,517","2,668,971","2,567,196","2,335,564","2,308,401","1,631,723","1,612,503","1,604,900","1,603,037","1,602,070","1,596,254","1,588,901",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"17,384,243","5,578,767","5,545,291","5,491,966","5,402,592","3,785,954","2,680,982","2,675,782","2,671,517","2,668,971","2,567,196","2,335,564","2,308,401","1,631,723","1,612,503","1,604,900","1,603,037","1,602,070","1,596,254","1,588,901",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),221.776%,47.354%,106.838%,105.247%,102.229%,41.851%,4.432%,14.567%,15.730%,63.568%,59.206%,45.527%,44.002%,1.851%,1.018%,1.007%,1.005%,63.252%,713.967%,727.859%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.711,-3.783,-4.570,-4.286,-5.657,-8.072,-11.138,-10.708,-12.626,-11.839,-10.983,-12.438,-9.064,-12.657,-14.289,-14.081,-13.495,-13.071,-12.717,-9.719,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.711,-3.783,-4.570,-4.286,-5.657,-8.072,-11.138,-10.708,-12.626,-11.839,-10.983,-12.438,-9.064,-12.657,-14.289,-14.081,-13.495,-13.071,-12.717,-9.719,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,455,000","-19,827,000","-20,288,000","-23,418,000","-22,596,000","-26,758,000","-29,085,000","-27,403,000","-27,978,000","-16,269,000","-26,594,000","-19,362,000","-18,480,000","-16,592,000","-19,950,000","-19,457,000","-20,726,000","-15,960,000","-18,869,000","-16,691,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.601,-3.554,-3.659,-4.264,-4.182,-7.068,-10.849,-10.241,-10.473,-6.096,-10.359,-8.290,-8.006,-10.168,-12.372,-12.123,-12.929,-9.962,-11.821,-10.505,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-10,221,000","-17,034,000","-24,455,000","-20,564,000","-28,567,000","-29,054,000","-28,221,000","-27,021,000","-32,122,000","-27,102,000","-26,935,000","-27,665,000","-19,720,000","-19,705,000","-22,770,000","-22,170,000","-21,035,000","-20,959,000","-20,429,000","-15,633,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"169,000","424,000","445,000","523,000","487,000","533,000","517,000","538,000","588,000","554,000","536,000","533,000","462,000","540,000","491,000","500,000","461,000","428,000","375,000","360,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-10,390,000","-17,458,000","-24,900,000","-21,087,000","-29,054,000","-29,587,000","-28,738,000","-27,559,000","-32,710,000","-27,656,000","-27,471,000","-28,198,000","-20,182,000","-20,245,000","-23,261,000","-22,670,000","-21,496,000","-21,387,000","-20,804,000","-15,993,000",Upgrade,Financials in USD,Fiscal year is January - December
