Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+20 Quarters,,
"Selling, General & Admin","93,000","112,000","88,000","95,000","110,000","132,000","157,000","118,000","84,000","169,000","150,000","126,000","104,000","114,000","99,000","126,000","139,000","201,000","185,000","94,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"16,000","22,000","16,000","31,000","174,000","18,000","304,000","97,000","72,000","21,000","-15,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"109,000","134,000","104,000","126,000","284,000","150,000","461,000","215,000","156,000","190,000","135,000","137,000","115,000","125,000","110,000","137,000","150,000","212,000","196,000","105,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-109,000","-134,000","-104,000","-126,000","-284,000","-150,000","-461,000","-215,000","-156,000","-190,000","-135,000","-137,000","-115,000","-125,000","-110,000","-137,000","-150,000","-212,000","-196,000","-105,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,000","-4,000","-15,000",-,"-21,000","-33,000","-159,000","-272,000","-235,000","-417,000","-133,000","-21,000","-116,000","-32,000","-94,000","-401,000","-141,000","-141,000","-132,000","-258,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"156,000","-286,000","754,000","442,000","-1,060,000","-399,000","686,000","6,660,000","17,535,000","-21,194,000","-4,199,000","2,024,000","-944,000","-727,000","-313,000","959,000","-547,000","228,000","2,398,000","-2,329,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"43,000","-424,000","635,000","316,000","-1,365,000","-582,000","66,000","6,173,000","17,144,000","-21,801,000","-4,467,000","1,866,000","-1,175,000","-884,000","-517,000","421,000","-838,000","-125,000","2,070,000","-2,692,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-24,000","-14,000","-48,000","12,000","1,166,000","-2,033,000","240,000",-,"158,000","75,000",-,-,"50,000","127,000","21,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"43,000","-424,000","635,000","316,000","-1,365,000","-606,000","52,000","6,125,000","17,156,000","-20,635,000","-6,500,000","2,106,000","-1,175,000","-726,000","-442,000","421,000","-838,000","-75,000","2,197,000","-2,671,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"43,000","-424,000","635,000","316,000","-1,365,000","-606,000","52,000","6,125,000","17,156,000","-20,635,000","-6,500,000","2,106,000","-1,175,000","-726,000","-442,000","421,000","-838,000","-75,000","2,197,000","-2,671,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,"64,000",-,-,-,"54,000",-,-,-,"86,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"43,000","-424,000","635,000","316,000","-1,365,000","-606,000","52,000","6,125,000","17,156,000","-20,635,000","-6,564,000","2,106,000","-1,175,000","-726,000","-496,000","421,000","-838,000","-75,000","2,111,000","-2,671,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,1121.154%,-94.841%,-,-,-,190.836%,-,-,-,400.238%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"32,132,907","32,132,907","32,136,353","32,132,907","32,132,907","30,861,790","10,358,085","7,612,241","6,919,167","5,669,914","2,042,748","181,774","66,690","27,153",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
