Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+4 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+4 Quarters,,
Revenue,-,"7,944,000","53,000","9,000","2,050,000","486,000","4,315,000","92,000","104,000","132,000","151,000","17,000","27,000","142,000","607,000","1,046,000","669,000","1,183,000","2,573,000","3,492,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,1534.568%,-98.772%,-90.217%,1871.154%,268.182%,2757.616%,441.176%,285.185%,-7.042%,-75.124%,-98.375%,-95.964%,-87.997%,-76.409%,-70.046%,-72.948%,-61.111%,589.812%,-30.160%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"10,000","627,000","609,000","1,936,000","2,605,000","3,560,000","1,865,000","6,013,000","3,119,000","10,222,000","8,838,000","6,052,000","4,559,000","1,281,000","2,712,000","2,664,000","6,629,000","3,337,000","4,229,000","6,019,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-10,000","7,317,000","-556,000","-1,927,000","-555,000","-3,074,000","2,450,000","-5,921,000","-3,015,000","-10,090,000","-8,687,000","-6,035,000","-4,532,000","-1,139,000","-2,105,000","-1,618,000","-5,960,000","-2,154,000","-1,656,000","-2,527,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,642,000","5,320,000","1,808,000","2,414,000","4,038,000","3,002,000","3,908,000","3,486,000","3,290,000","3,269,000","2,891,000","2,967,000","2,869,000","3,211,000","3,021,000","2,481,000","4,440,000","3,901,000","1,323,000","2,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,642,000","5,320,000","1,808,000","2,414,000","4,038,000","3,002,000","3,908,000","3,486,000","3,290,000","3,269,000","2,891,000","2,967,000","2,869,000","3,211,000","3,021,000","2,481,000","4,440,000","3,901,000","1,323,000","2,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,652,000","1,997,000","-2,364,000","-4,341,000","-4,593,000","-6,076,000","-1,458,000","-9,407,000","-6,305,000","-13,359,000","-11,578,000","-9,002,000","-7,401,000","-4,350,000","-5,126,000","-4,099,000","-10,400,000","-6,055,000","-2,979,000","-4,593,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-2,000","-3,000","-3,000",-,"-2,000","-4,000","-4,000","-1,000","-30,000","-34,000",-,-,-,-,"-114,000","-1,098,000","-660,000","-224,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,"36,000","24,000","7,000",-,"93,000","54,000","4,000","6,000",Upgrade,Financials in USD,Fiscal year is January - December
