Fiscal Quarter,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters,,
Revenue,"1,214,000","853,000","6,624,000","720,000","485,000","293,000","317,000","346,000","126,000","81,000","107,000","142,000","301,000","164,000","298,000","184,000","415,000","574,000","647,000","640,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),150.309%,191.126%,1989.590%,108.092%,284.921%,261.728%,196.262%,143.662%,-58.140%,-50.610%,-64.094%,-22.826%,-27.470%,-71.429%,-53.941%,-71.250%,15.278%,-78.614%,149.807%,173.504%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,724,000","2,943,000","2,525,000","3,483,000","3,559,000","3,328,000","2,672,000","2,522,000","2,754,000","3,259,000","2,466,000","2,634,000","2,412,000","2,421,000","2,111,000","2,060,000","2,577,000","2,585,000","1,977,000","2,354,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-1,510,000","-2,090,000","4,099,000","-2,763,000","-3,074,000","-3,035,000","-2,355,000","-2,176,000","-2,628,000","-3,178,000","-2,359,000","-2,492,000","-2,111,000","-2,257,000","-1,813,000","-1,876,000","-2,162,000","-2,011,000","-1,330,000","-1,714,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,671,000","8,906,000","9,036,000","10,917,000","13,284,000","15,886,000","14,220,000","15,084,000","10,930,000","12,528,000","9,693,000","9,367,000","6,747,000","7,131,000","5,562,000","3,901,000","4,058,000","3,814,000","3,120,000","3,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,571,000","1,368,000","1,532,000","3,292,000","3,151,000","2,518,000","4,983,000","5,643,000","2,362,000","5,166,000","2,972,000","4,582,000","6,839,000","4,824,000","4,478,000","2,365,000","3,193,000","4,343,000","5,401,000","7,361,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,242,000","10,274,000","10,568,000","14,209,000","16,435,000","18,404,000","19,203,000","20,727,000","13,292,000","17,694,000","12,665,000","13,949,000","13,586,000","11,955,000","10,040,000","6,266,000","7,251,000","8,157,000","8,521,000","10,555,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-11,752,000","-12,364,000","-6,469,000","-16,972,000","-19,509,000","-21,439,000","-21,558,000","-22,903,000","-15,920,000","-20,872,000","-15,024,000","-16,441,000","-15,697,000","-14,212,000","-11,853,000","-8,142,000","-9,413,000","-10,168,000","-9,851,000","-12,269,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,014,000","-2,067,000","-2,058,000","-2,008,000","-1,931,000","-1,853,000","-1,272,000","-1,080,000","-1,017,000","-1,117,000","-1,105,000","-882,000","-2,000,000","-889,000","-890,000","-828,000","-714,000","-739,000","-754,000","-765,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"196,000","346,000","515,000","300,000","502,000","645,000","486,000","179,000","77,000","68,000","79,000","37,000","188,000","187,000","148,000","146,000","132,000","215,000","128,000","199,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-4,330,000","15,072,000","-8,832,000","-5,948,000","-6,813,000","1,506,000","-2,693,000","-21,895,000","-4,394,000","3,138,000","203,000","-190,000","-138,000","-448,000","-402,000","-689,000","1,637,000","-183,000","607,000","-335,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-17,900,000","987,000","-16,844,000","-24,628,000","-27,751,000","-21,141,000","-25,037,000","-45,699,000","-21,254,000","-18,783,000","-15,847,000","-17,476,000","-17,647,000","-15,362,000","-12,997,000","-9,513,000","-8,358,000","-10,875,000","-9,870,000","-13,170,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-1,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-6,292,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"22,600,000","-3,600,000","-20,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,"-172,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,900,000","-13,000","-20,444,000","-44,628,000","-27,751,000","-21,141,000","-25,209,000","-45,699,000","-21,254,000","-18,783,000","-15,847,000","-17,476,000","-17,647,000","-15,362,000","-12,997,000","-9,513,000","-8,358,000","-10,875,000","-16,162,000","-13,170,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,900,000","-13,000","-20,444,000","-44,628,000","-27,751,000","-21,141,000","-25,209,000","-45,699,000","-21,254,000","-18,783,000","-15,847,000","-17,476,000","-17,647,000","-15,362,000","-12,997,000","-9,513,000","-8,358,000","-10,875,000","-16,162,000","-13,170,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"143,000","862,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,900,000","-156,000","-21,306,000","-44,628,000","-27,751,000","-21,141,000","-25,209,000","-45,699,000","-21,254,000","-18,783,000","-15,847,000","-17,476,000","-17,647,000","-15,362,000","-12,997,000","-9,513,000","-8,358,000","-10,875,000","-16,162,000","-13,170,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"24,584,798","23,768,077","21,166,818","8,608,539","8,608,539","8,608,530","8,608,539","8,608,539","8,608,532","8,587,383","8,545,337","8,504,743","8,376,417","8,098,108","7,823,639","7,228,732","5,942,986","5,963,444","3,524,732","3,255,952",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"24,584,798","23,768,077","21,166,818","8,608,539","8,608,539","8,608,530","8,608,539","8,608,539","8,608,532","8,587,383","8,545,337","8,504,743","8,376,417","8,098,108","7,823,639","7,228,732","5,942,986","5,963,444","3,524,732","3,255,952",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),185.586%,176.099%,145.882%,-,0.000%,0.246%,0.740%,1.220%,2.771%,6.042%,9.225%,17.652%,40.946%,35.796%,121.964%,122.016%,82.896%,156.426%,64.238%,52.011%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.728,-0.007,-1.007,-5.184,-3.224,-2.456,-2.928,-5.309,-2.469,-2.187,-1.854,-2.055,-2.107,-1.897,-1.661,-1.316,-1.406,-1.824,-4.585,-4.045,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.728,-0.009,-1.007,-5.184,-3.224,-2.456,-2.928,-5.309,-2.469,-2.187,-1.854,-2.055,-2.107,-1.897,-1.661,-1.316,-1.406,-1.824,-4.585,-4.045,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,921,000","-12,227,000","-8,073,000","-19,260,000","-22,190,000","-20,498,000","-18,574,000","-18,527,000","-20,440,000","-19,126,000","-4,455,000","-11,122,000","-7,200,000","-17,027,000","-15,300,000","-7,942,000","-7,781,000","-8,716,000","-14,464,000","-13,289,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.485,-0.514,-0.381,-2.237,-2.578,-2.381,-2.158,-2.152,-2.374,-2.227,-0.521,-1.308,-0.860,-2.103,-1.956,-1.099,-1.309,-1.462,-4.104,-4.081,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-124.382%,-245.018%,61.881%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-205.564%,-267.813%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-968.040%,-1449.472%,-97.660%,-2357.222%,-4022.474%,-7317.065%,-6800.631%,-6619.364%,-12634.921%,-25767.901%,-14041.121%,-11578.169%,-5214.950%,-8665.854%,-3977.517%,-4425.000%,-2268.193%,-1771.429%,-1522.566%,-1917.031%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1474.465%,-18.288%,-321.649%,-6198.333%,-5721.856%,-7215.358%,-7952.366%,-13207.803%,-16868.254%,-23188.889%,-14810.280%,-12307.042%,-5862.791%,-9367.073%,-4361.409%,-5170.109%,-2013.976%,-1894.599%,-2497.991%,-2057.813%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-981.960%,-1433.411%,-121.875%,-2675.000%,-4575.258%,-6995.904%,-5859.306%,-5354.624%,-16222.222%,-23612.346%,-4163.551%,-7832.394%,-2392.027%,-10382.317%,-5134.228%,-4316.304%,-1874.940%,-1518.467%,-2235.549%,-2076.406%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-11,259,000","-11,890,000","-5,971,000","-16,462,000","-19,001,000","-20,919,000","-21,032,000","-22,361,000","-15,447,000","-20,403,000","-14,579,000","-15,966,000","-15,251,000","-13,778,000","-11,438,000","-7,745,000","-9,007,000","-9,762,000","-9,439,000","-12,007,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-90.142%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"493,000","474,000","498,000","510,000","508,000","520,000","526,000","542,000","473,000","469,000","445,000","475,000","446,000","434,000","415,000","397,000","406,000","406,000","412,000","262,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-11,752,000","-12,364,000","-6,469,000","-16,972,000","-19,509,000","-21,439,000","-21,558,000","-22,903,000","-15,920,000","-20,872,000","-15,024,000","-16,441,000","-15,697,000","-14,212,000","-11,853,000","-8,142,000","-9,413,000","-10,168,000","-9,851,000","-12,269,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-97.660%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
