Fiscal Year,TTM,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","1,591,471","1,312,025","1,008,365",Financials in USD,Fiscal year is January - December
Research & Development,"977,463","1,301,437","928,957",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,568,934","2,613,462","1,937,322",Financials in USD,Fiscal year is January - December
Operating Income,"-2,568,934","-2,613,462","-1,937,322",Financials in USD,Fiscal year is January - December
Interest Expense,"-134,464","-25,699",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"142,818","17,237",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,600,580","-2,621,924","-1,937,322",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-2,527,078","-2,527,078",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,127,658","-5,149,002","-1,937,322",Financials in USD,Fiscal year is January - December
Net Income,"-5,127,658","-5,149,002","-1,937,322",Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,127,658","-5,149,002","-1,937,322",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"98,682,363","47,535,953","45,075,538",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"98,682,363","47,535,953","45,075,538",Financials in USD,Fiscal year is January - December
Shares Change (YoY),118.927%,5.458%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.052,-0.108,-0.043,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.053,-0.110,-0.043,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,785,943","-2,306,385","-1,649,361",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.028,-0.049,-0.037,Financials in USD,Fiscal year is January - December
EBIT,"-2,568,934","-2,613,462","-1,937,322",Financials in USD,Fiscal year is January - December
