Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2014,Currency,Fiscal_Year_period
Period Ending,"Feb '23 Feb 28, 2023","Nov '22 Nov 30, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020","Nov '19 Nov 30, 2019","Nov '18 Nov 30, 2018",2017 - 2014,,
Revenue,"209,293","284,352","195,597","30,000",-,-,Upgrade,Financials in USD,Fiscal year is December - November
Revenue Growth (YoY),-22.672%,45.376%,551.990%,-,-,-,Upgrade,Financials in USD,Fiscal year is December - November
Cost of Revenue,"221,895","293,340","246,846","326,009",-,-,Upgrade,Financials in USD,Fiscal year is December - November
Gross Profit,"-12,602","-8,988","-51,249","-296,009",-,-,Upgrade,Financials in USD,Fiscal year is December - November
"Selling, General & Admin","2,654,767","3,311,249","6,263,475","10,969,253","4,480,577","5,781,613",Upgrade,Financials in USD,Fiscal year is December - November
Research & Development,"58,801","125,378","1,073,841","1,880,152","3,539,381","3,238,060",Upgrade,Financials in USD,Fiscal year is December - November
Operating Expenses,"2,713,568","3,436,627","7,337,316","12,849,405","8,019,958","9,019,673",Upgrade,Financials in USD,Fiscal year is December - November
Operating Income,"-2,726,170","-3,445,615","-7,388,565","-13,145,414","-8,019,958","-9,019,673",Upgrade,Financials in USD,Fiscal year is December - November
Interest Expense,"-1,246,690","-1,384,465","-506,922","-296,215","-1,460,384","-162,104",Upgrade,Financials in USD,Fiscal year is December - November
Other Non Operating Income (Expenses),"3,652,798","3,416,982","-304,153","-19,163","-208,240","-89,000",Upgrade,Financials in USD,Fiscal year is December - November
EBT Excluding Unusual Items,"-320,062","-1,413,098","-8,199,640","-13,460,792","-9,688,582","-9,270,777",Upgrade,Financials in USD,Fiscal year is December - November
Other Unusual Items,"-165,020","-638,995","-40,910","-31,399","-591,148",-,Upgrade,Financials in USD,Fiscal year is December - November
Pretax Income,"-485,082","-2,052,093","-8,240,550","-13,492,191","-10,279,730","-9,270,777",Upgrade,Financials in USD,Fiscal year is December - November
Net Income,"-485,082","-2,052,093","-8,240,550","-13,492,191","-10,279,730","-9,270,777",Upgrade,Financials in USD,Fiscal year is December - November
Preferred Dividends & Other Adjustments,"1,423,983","1,441,991","500,724","858,024",-,-,Upgrade,Financials in USD,Fiscal year is December - November
Net Income to Common,"-1,909,065","-3,494,084","-8,741,274","-14,350,215","-10,279,730","-9,270,777",Upgrade,Financials in USD,Fiscal year is December - November
Shares Outstanding (Basic),"64,540,681","44,756,818","26,779,270","22,160,426","15,040,513","13,735,134",Upgrade,Financials in USD,Fiscal year is December - November
Shares Outstanding (Diluted),"64,540,681","44,756,818","26,779,270","22,160,426","15,040,513","13,735,134",Upgrade,Financials in USD,Fiscal year is December - November
Shares Change (YoY),130.364%,67.132%,20.843%,47.338%,9.504%,31.228%,Upgrade,Financials in USD,Fiscal year is December - November
EPS (Basic),-0.030,-0.078,-0.326,-0.648,-0.683,-0.675,Upgrade,Financials in USD,Fiscal year is December - November
EPS (Diluted),-0.031,-0.080,-0.330,-0.648,-0.683,-0.675,Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow,"2,180,073","1,941,404","-4,302,036","-6,233,441","-4,105,027","-6,450,621",Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow Per Share,0.034,0.043,-0.161,-0.281,-0.273,-0.470,Upgrade,Financials in USD,Fiscal year is December - November
Gross Margin,-6.021%,-3.161%,-26.201%,-,-,-,Upgrade,Financials in USD,Fiscal year is December - November
Operating Margin,-1302.561%,-1211.743%,-3777.443%,-43818.047%,-,-,Upgrade,Financials in USD,Fiscal year is December - November
Profit Margin,-912.149%,-1228.788%,-4469.023%,-47834.050%,-,-,Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow Margin,1041.637%,682.747%,-2199.439%,-20778.137%,-,-,Upgrade,Financials in USD,Fiscal year is December - November
EBITDA,"-2,676,170","-3,395,615","-7,338,565","-13,095,414","-7,969,958",-,Upgrade,Financials in USD,Fiscal year is December - November
D&A For EBITDA,"50,000","50,000","50,000","50,000","50,000",-,Upgrade,Financials in USD,Fiscal year is December - November
EBIT,"-2,726,170","-3,445,615","-7,388,565","-13,145,414","-8,019,958","-9,019,673",Upgrade,Financials in USD,Fiscal year is December - November
