Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Operating Revenue,-,-,-,"12,630","48,044","7,120",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,-,-,-,"12,630","48,044","7,120",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-73.712%,574.775%,-92.535%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,000","5,000","5,000","17,655","52,673","73,125",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-5,000","-5,000","-5,000","-5,025","-4,629","-66,005",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","120,000","120,000","120,000","151,000","204,000","204,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"37,678","50,364","52,035","187,121","85,828","97,439",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"157,678","170,364","172,035","338,121","289,828","389,569",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-162,678","-175,364","-177,035","-343,146","-294,457","-455,574",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-19,876","-13,038","-122,733","-287,017","-1,105,369","-499,266",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"407,371","1,218,090","-303,981",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-182,554","-188,402","-299,768","-222,792","-181,736","-1,258,821",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-69,749",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-60,500","-379,434","-769,434","-320,025",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-182,554","-188,402","-360,268","-602,226","-951,170","-1,648,595",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-182,554","-188,402","-360,268","-602,226","-951,170","-1,648,595",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-182,554","-188,402","-360,268","-602,226","-951,170","-1,648,595",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"800,653,536","755,154,636","587,774,769","489,502,790","145,332,999","34,980,133",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"800,653,536","755,154,636","587,774,769","489,502,790","145,332,999","34,980,133",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.951%,28.477%,20.076%,236.815%,315.473%,16.737%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.001,-0.001,-0.007,-0.047,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.001,-0.001,-0.007,-0.047,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-137,250","-103,171","-107,490","-235,433","-289,627","-285,229",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.002,-0.008,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-39.786%,-9.635%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-2716.912%,-612.890%,-6398.511%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-4768.219%,-1979.789%,-23154.424%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-1864.078%,-602.837%,-4006.025%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-157,678","-170,364","-172,035","-338,146","-289,874","-435,574",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,000","5,000","5,000","5,000","4,583","20,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-162,678","-175,364","-177,035","-343,146","-294,457","-455,574",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,"12,630","48,044","7,120",Upgrade,Financials in USD,Fiscal year is January - December
