Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"259,435,000","269,445,000","284,284,000","209,292,000","80,772,000","10,229,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-6.845%,-5.220%,35.831%,159.115%,689.637%,1691.601%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"139,321,000","153,217,000","188,806,000","125,898,000","42,431,000","6,226,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"120,114,000","116,228,000","95,478,000","83,394,000","38,341,000","4,003,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","101,482,000","110,472,000","154,962,000","112,465,000","40,591,000","30,627,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,"9,648,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"105,370,000","110,472,000","154,962,000","112,465,000","54,393,000","35,495,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"14,744,000","5,756,000","-59,484,000","-29,071,000","-16,052,000","-31,492,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-37,835,000","-37,057,000","-45,733,000","-30,853,000","-15,564,000","-2,202,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"527,000","91,000","142,000","243,000","231,000","378,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"9,809,000","7,665,000","91,405,000","105,728,000","-173,611,000","-193,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,755,000","-23,545,000","-13,670,000","46,047,000","-204,996,000","-33,509,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-1,204,000","-350,000","-502,000","-6,663,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-7,329,000","-7,329,000","-39,643,000","-1,783,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-977,000","-777,000","-523,000","1,216,000","-2,473,000","11,321,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,245,000","-1,245,000","-120,002,000","-4,561,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-400,000","-400,000","24,000","10,350,000","-2,217,000","5,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-361,000",-,"-18,858,000","-3,815,000","8,296,000","-2,411,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,171,000","-33,296,000","-193,876,000","47,104,000","-201,892,000","-26,262,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"33,142,000","31,806,000","8,448,000","29,625,000","10,623,000","4,509,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-54,313,000","-65,102,000","-202,324,000","17,479,000","-212,515,000","-30,771,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,"2,772,000","1,908,000","160,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-54,313,000","-65,102,000","-202,324,000","20,251,000","-210,607,000","-30,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-54,313,000","-65,102,000","-202,324,000","20,251,000","-210,607,000","-30,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"195,142,485","194,770,212","190,021,550","170,292,035","108,485,158","82,058,059",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"195,142,485","194,770,212","204,235,432","201,610,251","108,485,158","82,058,059",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.501%,-4.634%,1.302%,85.841%,32.205%,90.593%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.278,-0.334,-1.065,0.119,-1.941,-0.373,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.278,-0.334,-1.441,-0.418,-1.941,-0.373,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"14,032,000","-14,061,000","-78,297,000","-89,600,000","-35,144,000","-30,941,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.072,-0.072,-0.383,-0.444,-0.324,-0.377,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,46.298%,43.136%,33.585%,39.846%,47.468%,39.134%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,5.683%,2.136%,-20.924%,-13.890%,-19.873%,-307.870%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-20.935%,-24.162%,-71.170%,9.676%,-260.743%,-299.257%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,5.409%,-5.219%,-27.542%,-42.811%,-43.510%,-302.483%,Upgrade,Financials in USD,Fiscal year is January - December
