Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,-,"-1,000","50,000",-,"17,000",-,"117,000","440,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-57.265%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,"9,000","1,927,000","1,000",-,"-178,000","229,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,"-1,000","41,000","-1,927,000","16,000",-,"295,000","211,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,430,000","5,535,000","6,082,000","7,384,000","7,806,000","7,300,000","6,560,000","6,686,000","30,695,000","6,873,000","5,924,000","8,584,000","2,764,000","5,122,000","3,614,000","717,000",Financials in USD,Fiscal year is January - December
Research & Development,"8,220,000","7,910,000","8,345,000","11,424,000","13,018,000","12,468,000","10,664,000","11,478,000","17,055,000","23,443,000","18,944,000","11,688,000","8,461,000","7,867,000","2,414,000","1,828,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"11,650,000","13,445,000","14,427,000","18,808,000","20,824,000","19,768,000","17,224,000","18,164,000","47,750,000","30,316,000","24,868,000","20,272,000","11,225,000","12,989,000","6,028,000","2,545,000",Financials in USD,Fiscal year is January - December
Operating Income,"-11,650,000","-13,445,000","-14,427,000","-18,808,000","-20,824,000","-19,768,000","-17,224,000","-18,164,000","-47,751,000","-30,275,000","-26,795,000","-20,256,000","-11,225,000","-12,694,000","-5,817,000","-2,545,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-182,000","-176,000","-146,000","-192,000","-250,000","-54,000","-105,000","-105,000","-108,000","-112,000","-107,000","-511,000","-445,000","-331,000","-216,000","-189,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"433,000","512,000","578,000","567,000","634,000","545,000","75,000","5,000","3,000","3,000",-,-,"1,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"7,000","-36,000","18,000","12,000","-16,000","25,000","2,000","1,000","1,000","-5,000","-8,000","-8,000","-29,000","-39,000","-3,000","-6,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,"-11,246,000","-1,021,000","-3,401,000","-1,025,000","-971,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-11,392,000","-13,145,000","-13,977,000","-18,421,000","-20,456,000","-19,252,000","-17,252,000","-18,263,000","-47,855,000","-30,389,000","-26,910,000","-32,021,000","-12,719,000","-16,465,000","-7,061,000","-3,711,000",Financials in USD,Fiscal year is January - December
Net Income,"-11,392,000","-13,145,000","-13,977,000","-18,421,000","-20,456,000","-19,252,000","-17,252,000","-18,263,000","-47,855,000","-30,389,000","-26,910,000","-32,021,000","-12,719,000","-16,465,000","-7,061,000","-3,711,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,392,000","-13,145,000","-13,977,000","-18,421,000","-20,456,000","-19,252,000","-17,252,000","-18,263,000","-47,855,000","-30,389,000","-26,910,000","-32,021,000","-12,719,000","-16,465,000","-7,061,000","-3,711,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"127,218,030","126,736,784","126,481,497","126,061,273","126,056,241","126,036,865","125,948,595","125,709,613","100,344,322","68,728,509","68,702,833","68,550,993","88,090,916","68,138,651","54,284,195","34,927,467",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"127,218,030","126,736,784","126,481,497","126,061,273","126,056,241","126,036,865","125,948,595","125,709,613","100,344,322","68,728,509","68,702,833","68,550,993","88,090,916","68,138,651","54,284,195","34,927,467",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.922%,0.555%,0.423%,0.280%,25.624%,83.384%,83.324%,83.381%,13.910%,0.866%,26.561%,96.267%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.090,-0.104,-0.111,-0.146,-0.162,-0.153,-0.137,-0.145,-0.477,-0.442,-0.392,-0.467,-0.144,-0.242,-0.130,-0.106,Financials in USD,Fiscal year is January - December
