Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"2,014,000","2,203,000",-,-,-,"375,000",Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,449,000","30,117,000","58,620,000",-,-,"22,563,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-18,435,000","-27,914,000","-58,620,000",-,-,"-22,188,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,391,000","12,585,000","12,296,000","15,020,000","7,775,000","5,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-18,000",-,-,"46,649,000","10,984,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"11,373,000","12,585,000","12,296,000","61,669,000","18,759,000","5,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-29,808,000","-40,499,000","-70,916,000","-61,669,000","-18,759,000","-27,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-107,000","-75,000","-14,000","-1,598,000","-164,000","-29,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"58,000","198,000","121,000","113,000","45,000","151,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"39,375,000","13,694,000","292,000","-886,000","-223,000","-21,521,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"9,518,000","-26,682,000","-70,517,000","-64,040,000","-19,101,000","-49,146,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,"-2,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-5,427,000","-11,200,000","-3,017,000","-2,008,000",-,"-109,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"4,091,000","-37,882,000","-73,534,000","-66,048,000","-19,101,000","-51,255,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"4,091,000","-37,882,000","-73,534,000","-66,048,000","-19,101,000","-51,255,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"4,091,000","-37,882,000","-73,534,000","-66,048,000","-19,101,000","-51,255,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"4,091,000","-37,882,000","-73,534,000","-66,048,000","-19,101,000","-51,255,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"86,931","38,283","27,701","23,669","11,658",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"86,931","38,283","27,701","23,669","11,658",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),191.236%,38.201%,17.035%,103.028%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),47.060,-989.525,-2654.561,-2790.485,-1638.446,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),47.060,-989.525,-2654.720,-2790.485,-1638.446,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,274,000","-23,912,000","-61,604,000","-48,995,000","-20,913,000","-19,305,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-152.696,-624.611,-2223.891,-2070.007,-1793.875,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1480.040%,-1838.357%,-,-,-,-7399.200%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,203.128%,-1719.564%,-,-,-,-13668.000%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-659.086%,-1085.429%,-,-,-,-5148.000%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,"-27,706,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,"41,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-29,808,000","-40,499,000","-70,916,000","-61,669,000","-18,759,000","-27,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,014,000","2,203,000",-,-,-,"375,000",Upgrade,Financials in USD,Fiscal year is January - December
