Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","May '24 May 31, 2024","May '23 May 31, 2023","May '22 May 31, 2022","May '21 May 31, 2021","May '20 May 31, 2020",2019 - 2015,,
Revenue,-,-,-,"266,000",-,-,Upgrade,Financials in USD,Fiscal year is June - May
Cost of Revenue,-,-,"20,633,000","73,543,000","5,027,000",-,Upgrade,Financials in USD,Fiscal year is June - May
Gross Profit,-,-,"-20,633,000","-73,277,000","-5,027,000",-,Upgrade,Financials in USD,Fiscal year is June - May
"Selling, General & Admin","9,705,000","10,789,000","17,136,000","44,303,000","34,320,000","19,973,000",Upgrade,Financials in USD,Fiscal year is June - May
Research & Development,"6,265,000","7,240,000","2,632,000","27,043,000","53,403,000","52,640,000",Upgrade,Financials in USD,Fiscal year is June - May
Operating Expenses,"15,994,000","18,058,000","19,943,000","72,127,000","89,520,000","74,647,000",Upgrade,Financials in USD,Fiscal year is June - May
Operating Income,"-15,994,000","-18,058,000","-40,576,000","-145,404,000","-94,547,000","-74,647,000",Upgrade,Financials in USD,Fiscal year is June - May
Interest Expense,"-7,103,000","-8,674,000","-15,508,000","-24,182,000","-22,110,000","-33,247,000",Upgrade,Financials in USD,Fiscal year is June - May
Interest & Investment Income,"126,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Other Non Operating Income (Expenses),"-3,911,000","-3,055,000","-18,428,000",-,-,"-9,542,000",Upgrade,Financials in USD,Fiscal year is June - May
EBT Excluding Unusual Items,"-26,882,000","-29,787,000","-74,512,000","-169,586,000","-116,657,000","-117,436,000",Upgrade,Financials in USD,Fiscal year is June - May
Asset Writedown,-,-,-,-,"-10,049,000",-,Upgrade,Financials in USD,Fiscal year is June - May
Legal Settlements,"24,985,000",-,-,"-3,853,000","-10,628,000","-22,500,000",Upgrade,Financials in USD,Fiscal year is June - May
Other Unusual Items,"-17,146,000","-20,054,000","-5,312,000","-37,381,000","-39,131,000",-,Upgrade,Financials in USD,Fiscal year is June - May
Pretax Income,"-19,043,000","-49,841,000","-79,824,000","-210,820,000","-176,465,000","-139,936,000",Upgrade,Financials in USD,Fiscal year is June - May
Net Income,"-19,043,000","-49,841,000","-79,824,000","-210,820,000","-176,465,000","-139,936,000",Upgrade,Financials in USD,Fiscal year is June - May
Preferred Dividends & Other Adjustments,"1,482,000","1,483,000","6,912,000","1,628,000","1,687,000","708,000",Upgrade,Financials in USD,Fiscal year is June - May
Net Income to Common,"-20,525,000","-51,324,000","-86,736,000","-212,448,000","-178,152,000","-140,644,000",Upgrade,Financials in USD,Fiscal year is June - May
Shares Outstanding (Basic),"1,022,373,000","969,509,000","836,528,000","676,900,000","587,590,000","421,078,000",Upgrade,Financials in USD,Fiscal year is June - May
Shares Outstanding (Diluted),"1,022,373,000","969,509,000","836,528,000","676,900,000","587,590,000","421,078,000",Upgrade,Financials in USD,Fiscal year is June - May
Shares Change (YoY),17.452%,15.897%,23.582%,15.199%,39.544%,54.785%,Upgrade,Financials in USD,Fiscal year is June - May
EPS (Basic),-0.020,-0.053,-0.104,-0.314,-0.303,-0.334,Upgrade,Financials in USD,Fiscal year is June - May
EPS (Diluted),-0.020,-0.053,-0.104,-0.314,-0.303,-0.334,Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow,"-1,047,000","-10,982,000","-25,110,000","-77,723,000","-117,695,000","-68,845,000",Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow Per Share,-0.001,-0.011,-0.030,-0.115,-0.200,-0.163,Upgrade,Financials in USD,Fiscal year is June - May
Operating Margin,-,-,-,-54663.158%,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Profit Margin,-,-,-,-79867.669%,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow Margin,-,-,-,-29219.173%,-,-,Upgrade,Financials in USD,Fiscal year is June - May
EBITDA,"-15,970,000","-18,029,000","-40,401,000","-144,623,000","-92,750,000","-72,613,000",Upgrade,Financials in USD,Fiscal year is June - May
D&A For EBITDA,"24,000","29,000","175,000","781,000","1,797,000","2,034,000",Upgrade,Financials in USD,Fiscal year is June - May
EBIT,"-15,994,000","-18,058,000","-40,576,000","-145,404,000","-94,547,000","-74,647,000",Upgrade,Financials in USD,Fiscal year is June - May
