Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,FY 2017,2016,Currency,Fiscal_Year_period
Period Ending,"Dec '21 Dec 31, 2021","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017",2016,,
Revenue,"1,104,000","1,104,000","975,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),13.231%,13.231%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"67,803,000","67,803,000","55,967,000","64,232,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-66,699,000","-66,699,000","-54,992,000","-64,232,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","20,968,000","20,968,000","23,882,000","22,428,000","18,621,000","6,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,"42,062,000","20,992,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-145,000","-145,000","193,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,823,000","20,823,000","24,075,000","22,428,000","60,683,000","27,030,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-87,522,000","-87,522,000","-79,067,000","-86,660,000","-60,683,000","-27,030,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,838,000","-2,838,000","-2,802,000","-977,000","-1,005,000","-435,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"72,000","72,000","249,000","1,693,000","1,118,000","32,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"193,000","-1,174,000","-126,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-90,288,000","-90,288,000","-81,620,000","-85,751,000","-61,744,000","-27,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-580,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-90,288,000","-90,288,000","-81,620,000","-86,331,000","-61,744,000","-27,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-90,288,000","-90,288,000","-81,620,000","-86,331,000","-61,744,000","-27,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-90,288,000","-90,288,000","-81,620,000","-86,331,000","-61,744,000","-27,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"41,859,993","41,859,993","33,450,213","25,703,269","5,108,147","4,469,614",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"41,859,993","41,859,993","33,450,213","25,703,269","5,108,147","4,469,614",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),25.141%,25.141%,30.140%,403.182%,14.286%,19.126%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.157,-2.157,-2.440,-3.359,-12.087,-6.166,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.157,-2.157,-2.440,-3.359,-12.087,-6.166,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-78,223,000","-78,223,000","-65,542,000","-79,382,000","-49,318,000","-23,901,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.869,-1.869,-1.959,-3.088,-9.655,-5.347,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-7927.717%,-7927.717%,-8109.436%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-8178.261%,-8178.261%,-8371.282%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-7085.417%,-7085.417%,-6722.256%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-85,164,000","-85,164,000","-77,244,000","-85,342,000","-59,891,000","-26,714,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,358,000","2,358,000","1,823,000","1,318,000","792,000","316,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-87,522,000","-87,522,000","-79,067,000","-86,660,000","-60,683,000","-27,030,000",Upgrade,Financials in USD,Fiscal year is January - December
