Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters,,
Revenue,"17,132,000","18,656,000","18,842,000","20,979,000","23,002,000","27,175,000","26,279,000","27,836,000","28,100,000",-,"26,048,000","28,534,000","25,941,000","27,121,000","22,970,000","16,989,000","15,293,000","12,701,000","12,652,000","8,946,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-25.520%,-31.349%,-28.300%,-24.634%,-18.142%,-,0.887%,-2.446%,8.323%,-,13.400%,67.956%,69.627%,113.534%,81.552%,89.906%,179.018%,404.408%,506.229%,220.094%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"13,468,000","11,317,000","11,268,000","12,659,000","13,722,000","12,449,000","12,713,000","20,559,000","11,039,000",-,"12,594,000","24,960,000","10,269,000","10,816,000","9,125,000","2,368,000","6,061,000","8,046,000","4,649,000","4,999,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"3,664,000","7,339,000","7,574,000","8,320,000","9,280,000","14,726,000","13,566,000","7,277,000","17,061,000",-,"13,454,000","3,574,000","15,672,000","16,305,000","13,845,000","14,621,000","9,232,000","4,655,000","8,003,000","3,947,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,919,000","11,085,000","11,714,000","18,896,000","22,407,000","12,806,000","14,210,000","20,901,000","12,938,000",-,"12,763,000","12,806,000","13,162,000","11,797,000","10,322,000","15,203,000","7,980,000","8,561,000","11,924,000","10,569,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,244,000","11,729,000","12,345,000","14,698,000","23,224,000","13,598,000","15,007,000","18,803,000","14,660,000",-,"14,648,000","17,545,000","16,596,000","15,637,000","13,492,000","18,110,000","10,277,000","10,584,000","14,064,000","12,915,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,580,000","-4,390,000","-4,771,000","-6,378,000","-13,944,000","1,128,000","-1,441,000","-11,526,000","2,401,000",-,"-1,194,000","-13,971,000","-924,000","668,000","353,000","-3,489,000","-1,045,000","-5,929,000","-6,061,000","-8,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,141,000","-1,702,000","-2,489,000","-4,244,000","-3,322,000","-3,075,000","-3,164,000","-3,548,000","-3,642,000",-,"-2,620,000","-2,895,000","-2,532,000","-2,901,000","-5,376,000","-4,088,000","-4,678,000","-4,877,000","-2,136,000","-1,852,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,000","5,000","5,000","3,000",-,"7,000","14,000","24,000","6,000",-,"2,000","2,000","2,000","8,000","3,000","6,000","7,000","8,000","56,000","70,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,000",-,-,-,"-113,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,383,000","845,000","664,000","11,698,000","-13,006,000","-1,417,000","-150,000","5,620,000","876,000",-,"1,356,000","89,000","3,401,000","-311,000","-2,532,000","1,093,000","8,000","182,000","37,000","119,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,333,000","-5,242,000","-6,591,000","1,079,000","-30,272,000","-3,357,000","-4,741,000","-9,430,000","-359,000",-,"-2,456,000","-16,775,000","-53,000","-2,536,000","-7,552,000","-6,459,000","-5,708,000","-10,616,000","-8,104,000","-10,744,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-195,000","-17,000",-,"-288,000","-60,000",-,-,-,-,-,-,-,-,-,-,"-2,353,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-13,400,000",-,-,-,"-138,908,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-759,000",-,-,-,"-529,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"1,213,000",-,"-5,000","11,000","-160,000",-,-,"-228,000",-,-,-,-,-,-,-,"3,345,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-6,484,000",-,-,-,-,-,-,-,"-3,348,000",-,-,-,"-6,295,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,"-3,000",-,"-250,000",-,-,"3,768,000",-,-,-,-,-,"2,500,000",-,"2,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,343,000",-,"-11,752,000","29,000",-,-,-,"5,007,000",-,-,-,-,-,"-331,000","-879,000","-1,876,000","-518,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-6,463,000","-5,242,000","-18,348,000","1,119,000","-30,627,000","-3,374,000","-4,744,000","-11,423,000","-669,000",-,"-2,456,000","-13,007,000","-53,000","-2,867,000","-8,431,000","-22,497,000","-6,226,000","-8,116,000","-8,104,000","-156,329,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"6,274,000","-4,199,000","1,951,000","3,066,000","276,000","3,321,000",-,"3,438,000","3,386,000","4,541,000","3,351,000","2,653,000","9,622,000","2,504,000","2,373,000","550,000","526,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-6,463,000","-5,242,000","-18,348,000","-5,155,000","-26,428,000","-5,325,000","-7,810,000","-11,699,000","-3,990,000",-,"-5,894,000","-16,393,000","-4,594,000","-6,218,000","-11,084,000","-32,119,000","-8,730,000","-10,489,000","-8,654,000","-156,855,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"60,000","375,000","-105,000","-1,525,000","-35,668,000","-6,139,000","-3,582,000","-14,137,000","-4,611,000",-,-,-,-,-,-,"-2,486,000","4,761,000","9,840,000","872,000","-1,909,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-6,403,000","-4,867,000","-18,453,000","-6,680,000","-62,096,000","-11,464,000","-11,392,000","-25,836,000","-8,601,000",-,"-5,894,000","-16,393,000","-4,594,000","-6,218,000","-11,084,000","-34,605,000","-3,969,000","-649,000","-7,782,000","-158,764,000",Upgrade,Financials in USD,Fiscal year is January - December
