Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters,,
Revenue,"17,479","52,979","12,859","9,581","9,929","7,397","7,561","1,314",-,-,"4,809","8,127","14,875","32,649",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),76.040%,616.223%,70.070%,629.148%,-,-,57.226%,-83.832%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,744",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"15,735","52,979","12,859","9,581","9,929","7,397","7,561","1,314",-,-,"4,809","8,127","14,875","32,649",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","472,984","333,840","623,671","456,648","566,829","590,940","998,475","1,182,768","918,708","982,235","855,660","2,519,527","1,499,917","793,346","2,067,027","1,184,267","534,015","687,761","570,804","482,833",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,063","15,495","36,373","34,713","34,074","20,336","44,611","29,722","35,171","44,193","68,587","67,263","48,066","100,953","191,277","109,139","121,437",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"585,176","457,342","766,799","598,116","707,658","718,031","1,149,926","1,319,234","1,059,893","1,132,955","1,685,861","3,286,583","2,195,913","900,649","2,263,808","1,298,778","659,737","688,726","571,643","483,672",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-569,441","-404,363","-753,940","-588,535","-697,729","-710,634","-1,142,365","-1,317,920","-1,059,893","-1,132,955","-1,681,052","-3,278,456","-2,181,038","-868,000","-2,263,808","-1,298,778","-659,737","-688,726","-571,643","-483,672",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-238,858","-223,681","-204,290","-114,478","-792,985","-93,011","-114,541","-103,922","-110,665","-1,557,996","-89,332","-73,463","-240,871","-82,159","-77,724","-95,581","-78,028","-75,990","-93,784","-68,174",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,1,-,-,256,257,256,257,256,256,260,158,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,424,228","329,345","11,001","1,041,403","-2,232,581","-2,131,714","346,787","-500,887","332,579","587,077","-257,466","59,986","129,995","90,000","90,000","25,899",-,-,-,"57,400",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,232,527","-298,699","-947,229","338,390","-3,723,295","-2,935,359","-910,118","-1,922,729","-837,979","-2,103,618","-2,027,593","-3,291,677","-2,291,657","-859,903","-2,251,276","-1,368,200","-737,607","-764,716","-665,427","-494,446",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-109,040","-104,705","-82,158","325,780",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,"-5,966,452",-,-,-,"3,158",-,"-3,125",-,"3,158",-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,"-955,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-37,288","6,400",-,"-9,920",-,"172,731","11,068","-111,818","-384,659","16,904","-51,763",-,"-1,535,264",-,-1,"-923,604",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,269,815","-292,299","-1,902,229","328,470","-3,723,295","-2,762,628","-899,050","-2,034,547","-1,222,638","-2,086,714","-8,045,808","-3,291,677","-3,826,921","-859,903","-2,248,119","-2,291,804","-849,772","-869,421","-744,427","-168,666",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,269,815","-292,299","-1,902,229","328,470","-3,723,295","-2,762,628","-899,050","-2,034,547","-1,222,638","-2,086,714","-8,045,808","-3,291,677","-3,826,921","-859,903","-2,248,119","-2,291,804","-849,772","-869,421","-744,427","-168,666",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,"-3,363",-,-,"-4,633","-148,437","386,237","770,383","-1,158,946","-691,684","-694,952",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,269,815","-292,299","-1,902,229","328,470","-3,723,295","-2,762,628","-899,050","-2,034,547","-1,222,638","-2,086,714","-8,049,171","-3,291,677","-3,826,921","-864,536","-2,396,556","-1,905,567","-79,389","-2,028,367","-1,436,111","-863,618",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,269,815","-292,299","-1,902,229","328,470","-3,723,295","-2,762,628","-899,050","-2,034,547","-1,222,638","-2,086,714","-8,049,171","-3,291,677","-3,826,921","-864,536","-2,396,556","-1,905,567","-79,389","-2,028,367","-1,436,111","-863,618",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"288,913,074","261,396,070","238,470,662","232,361,241","226,264,788","214,494,489","187,598,309","171,893,796","154,945,617","147,163,570","136,747,836","133,663,974","129,741,614","125,909,597","125,394,171","123,496,143","128,464,227","75,052,908","63,410,439","62,490,798",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"288,913,074","261,396,070","238,470,662","478,507,054","226,264,788","214,494,489","187,598,309","171,893,796","154,945,617","147,163,570","136,747,836","133,663,974","129,741,614","125,909,597","125,394,171","123,496,143","128,464,227","75,052,908","63,410,439","62,490,798",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),27.688%,21.866%,27.118%,178.374%,46.029%,45.752%,37.186%,28.601%,19.426%,16.880%,9.054%,8.233%,0.994%,67.761%,97.750%,97.623%,108.508%,24.565%,14.661%,7.847%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.008,-0.001,-0.008,0.001,-0.016,-0.013,-0.005,-0.012,-0.008,-0.014,-0.059,-0.025,-0.029,-0.007,-0.019,-0.015,-0.001,-0.027,-0.023,-0.014,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.010,-0.001,-0.013,0.001,-0.020,-0.013,-0.007,-0.012,-0.010,-0.014,-0.059,-0.030,-0.030,-0.010,-0.020,-0.017,-0.004,-0.027,-0.023,-0.014,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"553,013","-1,069,900","19,556","-264,503","-643,594","-141,959","-315,505","-323,935","-709,879","-703,717","-813,405","-532,840","-595,915","-585,100","-626,070","-805,508","-804,589","-1,076,856","-1,409,072","-1,751,424",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.002,-0.004,0.000,-0.001,-0.003,-0.001,-0.002,-0.002,-0.005,-0.005,-0.006,-0.004,-0.005,-0.005,-0.005,-0.007,-0.006,-0.014,-0.022,-0.028,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,90.022%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,-,100.000%,100.000%,100.000%,100.000%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-3257.858%,-763.251%,-5863.131%,-6142.730%,-7027.183%,-9607.057%,-15108.650%,-100298.326%,-,-,-34956.373%,-40340.298%,-14662.440%,-2658.581%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-12985.955%,-551.726%,-14792.978%,3428.348%,-37499.194%,-37347.952%,-11890.623%,-154836.149%,-,-,-167377.230%,-40502.978%,-25727.200%,-2647.971%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,3163.871%,-2019.479%,152.080%,-2760.703%,-6481.962%,-1919.143%,-4172.795%,-24652.588%,-,-,-16914.223%,-6556.417%,-4006.151%,-1792.092%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-461,312","-296,356","-647,186","-481,780","-590,974","-603,879","-1,035,524","-1,211,176","-953,879","-1,026,428","-919,438","-2,578,663","-1,533,108","-861,650","-2,258,303","-1,297,011","-648,689","-687,887","-570,804","-482,833",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"108,129","108,007","106,754","106,755","106,755","106,755","106,841","106,744","106,014","106,527","761,614","699,793","647,930","6,350","5,505","1,767","11,048",839,839,839,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-569,441","-404,363","-753,940","-588,535","-697,729","-710,634","-1,142,365","-1,317,920","-1,059,893","-1,132,955","-1,681,052","-3,278,456","-2,181,038","-868,000","-2,263,808","-1,298,778","-659,737","-688,726","-571,643","-483,672",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,-,"14,875",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"70,324","42,476","320,011",-,"43,578",Upgrade,Financials in USD,Fiscal year is January - December
