Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+10 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+10 Quarters,,
Operating Revenue,"57,000","49,000","29,000","361,000","400,000","542,000","1,327,000","436,000","2,761,000","4,745,000","1,780,000","2,401,000","2,843,000","39,693,000","918,000","795,000","488,000","1,262,000","884,000","984,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"864,000","1,693,000","10,354,000","1,204,000","1,555,000","1,901,000","2,935,000","2,585,000","2,710,000","2,446,000","1,284,000","213,000",-,-,"431,000","144,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"921,000","1,742,000","10,383,000","1,565,000","1,955,000","2,443,000","4,262,000","3,021,000","5,471,000","7,191,000","3,064,000","2,614,000","2,843,000","39,693,000","1,349,000","939,000","488,000","1,262,000","884,000","984,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-52.890%,-28.694%,143.618%,-48.196%,-64.266%,-66.027%,39.099%,15.570%,92.438%,-81.883%,127.131%,178.381%,482.582%,3045.246%,52.602%,-4.573%,-57.565%,-6.310%,-18.973%,925.000%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,811,000","33,041,000","32,938,000","32,763,000","30,967,000","30,514,000","29,420,000","26,436,000","27,347,000","28,199,000","26,166,000","24,396,000","22,072,000","24,856,000","22,836,000","22,050,000","21,290,000","22,468,000","23,582,000","24,886,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-19,890,000","-31,299,000","-22,555,000","-31,198,000","-29,012,000","-28,071,000","-25,158,000","-23,415,000","-21,876,000","-21,008,000","-23,102,000","-21,782,000","-19,229,000","14,837,000","-21,487,000","-21,111,000","-20,802,000","-21,206,000","-22,698,000","-23,902,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,698,000","8,502,000","7,916,000","7,406,000","6,716,000","6,745,000","6,761,000","6,462,000","7,792,000","7,955,000","6,682,000","6,373,000","5,937,000","6,941,000","5,660,000","5,031,000","5,255,000","5,465,000","5,615,000","4,582,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,698,000","8,502,000","7,916,000","7,406,000","6,716,000","6,745,000","6,761,000","6,462,000","7,792,000","7,955,000","6,682,000","6,373,000","5,937,000","6,941,000","5,660,000","5,031,000","5,255,000","5,465,000","5,615,000","4,582,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-27,588,000","-39,801,000","-30,471,000","-38,604,000","-35,728,000","-34,816,000","-31,919,000","-29,877,000","-29,668,000","-28,963,000","-29,784,000","-28,155,000","-25,166,000","7,896,000","-27,147,000","-26,142,000","-26,057,000","-26,671,000","-28,313,000","-28,484,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,304,000","-1,296,000","-1,218,000","-991,000","-985,000","-844,000","-684,000","-551,000",-,"-24,000","-37,000",-,-,-,"-142,000",-,-,-,"-740,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"691,000","712,000","875,000","1,167,000","1,479,000","1,678,000","1,313,000","462,000","153,000","71,000","52,000","37,000","48,000","27,000",-,"69,000","189,000","465,000",-,"936,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,805,000",-,"-4,000","-6,000","-22,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,396,000","-40,385,000","-30,818,000","-38,434,000","-35,256,000","-33,982,000","-31,290,000","-29,966,000","-29,515,000","-28,916,000","-29,769,000","-28,118,000","-25,118,000","7,923,000","-27,289,000","-26,073,000","-25,868,000","-26,206,000","-29,053,000","-27,548,000",Upgrade,Financials in USD,Fiscal year is January - December
