Fiscal Quarter,Q4 2020,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Currency,Fiscal_Year_period
Period Ending,"Dec '20 Dec 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014",,
Revenue,"334,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"-848,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"1,182,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,698,000","25,240","36,932","21,774","15,084","16,094","15,025","30,858","1,780","3,296","7,718","14,667","1,592","1,975","5,006",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,698,000","3,500,919","1,519,778","21,774","15,084","16,094","15,025","30,858","1,780","3,296","7,718","14,667","1,592","1,975","5,006",Financials in USD,Fiscal year is January - December
Operating Income,"-3,516,000","-3,500,919","-1,519,778","-21,774","-15,084","-16,094","-15,025","-30,858","-1,780","-3,296","-7,718","-14,667","-1,592","-1,975","-5,006",Financials in USD,Fiscal year is January - December
Interest Expense,"-340,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"609,459",-,-,-,-,-,-,-,-,-,-,-,-,-,-17,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,246,541","-3,500,919","-1,519,778","-21,774","-15,084","-16,094","-15,025","-30,858","-1,780","-3,296","-7,718","-14,667","-1,592","-1,975","-5,023",Financials in USD,Fiscal year is January - December
Other Unusual Items,"3,775,541",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"529,000","-3,500,919","-1,519,778","-21,774","-15,084","-16,094","-15,025","-30,858","-1,780","-3,296","-7,718","-14,667","-1,592","-1,975","-5,023",Financials in USD,Fiscal year is January - December
Net Income,"529,000","-3,500,919","-1,519,778","-21,774","-15,084","-16,094","-15,025","-30,858","-1,780","-3,296","-7,718","-14,667","-1,592","-1,975","-5,023",Financials in USD,Fiscal year is January - December
Net Income to Common,"529,000","-3,500,919","-1,519,778","-21,774","-15,084","-16,094","-15,025","-30,858","-1,780","-3,296","-7,718","-14,667","-1,592","-1,975","-5,023",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,796,485","782,958","729,539","725,000","725,000","725,000","725,000","725,000","725,000","701,692","701,692","983,780","725,000","725,000","609,056",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,796,485","782,958","729,539","725,000","725,000","725,000","725,000","725,000","725,000","701,692","701,692","983,780","725,000","725,000","609,056",Financials in USD,Fiscal year is January - December
Shares Change (YoY),285.722%,7.994%,0.626%,-,-,3.322%,3.322%,-26.305%,-,-3.215%,15.210%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.189,-4.471,-2.083,-0.030,-0.021,-0.022,-0.021,-0.043,-0.002,-0.005,-0.011,-0.015,-0.002,-0.003,-0.008,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.189,-4.471,-2.083,-0.030,-0.021,-0.022,-0.021,-0.043,-0.002,-0.005,-0.011,-0.015,-0.002,-0.003,-0.008,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-148,000","-31,648","-20,578","-23,706","-8,399","-5,101","-26,264","-29,734","-1,375","-4,671","-9,093","-14,667","-1,592","-1,975","-3,773",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.053,-0.040,-0.028,-0.033,-0.012,-0.007,-0.036,-0.041,-0.002,-0.007,-0.013,-0.015,-0.002,-0.003,-0.006,Financials in USD,Fiscal year is January - December
Gross Margin,353.892%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1052.695%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,158.383%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-44.311%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-3,479,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"37,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-3,516,000","-3,500,919","-1,519,778","-21,774","-15,084","-16,094","-15,025","-30,858","-1,780","-3,296","-7,718","-14,667","-1,592","-1,975","-5,006",Financials in USD,Fiscal year is January - December
