Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"18,461,000","22,798,000","19,931,000","23,363,000","20,454,000","20,751,000","20,251,000","31,447,000","12,537,000","10,797,000","10,486,000","9,598,000","8,965,000","10,951,000","5,383,000","20,750,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-9.744%,9.865%,-1.580%,-25.707%,63.149%,92.192%,93.124%,227.641%,39.844%,-1.406%,94.798%,-53.745%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,248,000","3,014,000","2,147,000","2,039,000","2,645,000","4,649,000","2,083,000","2,020,000","2,475,000","1,240,000","1,831,000","1,461,000","550,000","410,000","93,000","2,203,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"16,213,000","19,784,000","17,784,000","21,324,000","17,809,000","16,102,000","18,168,000","29,427,000","10,062,000","9,557,000","8,655,000","8,137,000","8,415,000","10,541,000","5,290,000","18,547,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,064,000","17,402,000","11,593,000","11,308,000","10,361,000","11,433,000","11,398,000","11,260,000","14,283,000","12,848,000","14,076,000","15,747,000","14,572,000","14,062,000","12,557,000","15,215,000","11,916,000","10,517,000","8,248,000","7,057,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"10,999,000","12,171,000","13,099,000","13,215,000","15,197,000","11,892,000","9,789,000","18,703,000","21,796,000","25,779,000","22,274,000","28,148,000","22,547,000","19,191,000","20,992,000","23,426,000","20,725,000","29,935,000","18,499,000","16,701,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"24,063,000","29,573,000","24,692,000","24,523,000","25,558,000","23,325,000","21,187,000","29,963,000","36,079,000","38,627,000","36,350,000","43,895,000","37,119,000","33,253,000","33,549,000","38,641,000","32,641,000","40,452,000","26,747,000","23,758,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,850,000","-9,789,000","-6,908,000","-3,199,000","-7,749,000","-7,223,000","-3,019,000","-536,000","-26,017,000","-29,070,000","-27,695,000","-35,758,000","-28,704,000","-22,712,000","-28,259,000","-20,094,000","-32,641,000","-40,452,000","-26,747,000","-23,758,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,"-1,509,000","-1,186,000","-373,000","-1,135,000","-154,000","-225,000","-338,000","-415,000","-191,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,916,000","640,000","439,000","2,406,000","189,000","1,100,000","1,111,000","3,710,000",-,-,-,-,-,-,-,-,-,"59,000","568,000","665,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"576,000",-,-,-,"-43,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,934,000","-9,149,000","-6,469,000","-793,000","-7,560,000","-6,123,000","-1,908,000","3,174,000","-27,526,000","-30,256,000","-28,068,000","-36,893,000","-28,858,000","-22,937,000","-28,597,000","-19,933,000","-32,832,000","-40,393,000","-26,179,000","-23,136,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,"-4,482,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"62,010,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-617,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
