Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"2,336,000","2,045,000","3,543,000","2,193,000","2,818,000","2,316,000","2,233,000","2,769,000","2,482,000","2,178,000","1,795,000","1,852,000","2,163,000","2,607,000","2,704,000","2,142,000","1,746,000","1,541,000","1,358,000","1,445,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-17.104%,-11.701%,58.665%,-20.802%,13.537%,6.336%,24.401%,49.514%,14.748%,-16.456%,-33.617%,-13.539%,23.883%,69.176%,99.116%,48.235%,168.615%,587.946%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"77,197,000","63,940,000","66,832,000","52,817,000","47,714,000","42,672,000","47,765,000","45,610,000","37,317,000","39,789,000","27,688,000","32,968,000","24,831,000","22,706,000","20,677,000","13,619,000","9,455,000","8,984,000","5,544,000","5,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-74,861,000","-61,895,000","-63,289,000","-50,624,000","-44,896,000","-40,356,000","-45,532,000","-42,841,000","-34,835,000","-37,611,000","-25,893,000","-31,116,000","-22,668,000","-20,099,000","-17,973,000","-11,477,000","-7,709,000","-7,443,000","-4,186,000","-4,200,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","23,273,000","20,731,000","13,898,000","16,119,000","13,729,000","12,278,000","12,064,000","10,384,000","10,094,000","8,688,000","8,567,000","7,431,000","6,612,000","6,268,000","5,884,000","4,816,000","3,757,000","2,925,000","1,964,000","1,847,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"23,273,000","20,731,000","13,898,000","16,119,000","13,729,000","12,278,000","12,064,000","10,384,000","10,094,000","8,688,000","8,567,000","7,431,000","6,612,000","6,268,000","5,884,000","4,816,000","3,757,000","2,925,000","1,964,000","1,847,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-98,134,000","-82,626,000","-77,187,000","-66,743,000","-58,625,000","-52,634,000","-57,596,000","-53,225,000","-44,929,000","-46,299,000","-34,460,000","-38,547,000","-29,280,000","-26,367,000","-23,857,000","-16,293,000","-11,466,000","-10,368,000","-6,150,000","-6,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-131,000","-78,000","-4,338,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"17,968,000","11,949,000","8,433,000","6,405,000","6,280,000","5,771,000","5,516,000","2,772,000","1,342,000","611,000","250,000","55,000","17,000","16,000","16,000","18,000","27,000","18,000","143,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-232,000","-116,000","-101,000","-105,000","-13,000","-162,000","-314,000","-18,000","-12,000","-2,000","-25,000","-46,000","-11,000","-2,000","-3,000",-,-,"-75,000",-,"-16,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-80,398,000","-70,793,000","-68,855,000","-60,443,000","-52,358,000","-47,025,000","-52,394,000","-50,471,000","-43,599,000","-45,690,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-10,401,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-80,398,000","-70,793,000","-68,855,000","-60,443,000","-52,358,000","-47,025,000","-52,394,000","-50,471,000","-43,599,000","-45,690,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-10,401,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-80,398,000","-70,793,000","-68,855,000","-60,443,000","-52,358,000","-47,025,000","-52,394,000","-50,471,000","-43,599,000","-45,690,000","-34,235,000","-38,538,000","-29,274,000","-26,353,000","-23,844,000","-16,275,000","-11,439,000","-10,556,000","-6,085,000","-10,401,000",Upgrade,Financials in USD,Fiscal year is January - December
