Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+16 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+16 Quarters,,
"Selling, General & Admin","2,172,000","2,064,000","2,393,000","2,252,000","2,635,000","2,492,000","2,637,000","2,838,000","3,087,000","3,196,000","2,422,000","1,992,000","2,021,000","2,434,000","1,939,000","1,663,000","1,659,000","1,653,000","1,810,000","1,564,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,932,000","4,090,000","4,252,000","6,632,000","3,280,000","3,888,000","5,687,000","4,178,000","5,965,000","4,204,000","4,620,000","3,179,000","4,095,000","3,039,000","4,105,000","1,786,000","4,435,000","3,329,000","3,206,000","3,197,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,135,000","6,185,000","6,677,000","8,919,000","5,947,000","6,411,000","8,354,000","7,048,000","9,084,000","7,434,000","7,074,000","5,205,000","6,157,000","5,517,000","6,088,000","3,495,000","6,151,000","5,034,000","5,062,000","4,813,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,135,000","-6,185,000","-6,677,000","-8,919,000","-5,947,000","-6,411,000","-8,354,000","-7,048,000","-9,084,000","-7,434,000","-7,074,000","-5,205,000","-6,157,000","-5,517,000","-6,088,000","-3,495,000","-6,151,000","-5,034,000","-5,062,000","-4,813,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"102,000","159,000","241,000","262,000","324,000","390,000","392,000","126,000","33,000","39,000","42,000","70,000","87,000","92,000","57,000","3,000","3,000","4,000","3,000","3,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,559,000","1,707,000","1,466,000","-1,612,000","14,000","45,000","47,000","152,000","440,000","618,000","165,000","2,310,000","1,691,000","1,181,000","1,586,000","853,000","2,753,000","-5,082,000","3,850,000","1,013,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,592,000","-4,319,000","-4,970,000","-10,269,000","-5,609,000","-5,976,000","-7,915,000","-6,770,000","-8,611,000","-6,777,000","-6,867,000","-2,825,000","-4,379,000","-4,244,000","-4,445,000","-2,639,000","-3,395,000","-10,112,000","-1,209,000","-3,797,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,592,000","-4,319,000","-4,970,000","-10,269,000","-5,609,000","-5,976,000","-7,915,000","-6,770,000","-8,611,000","-6,777,000","-6,867,000","-2,825,000","-4,379,000","-4,244,000","-4,445,000","-2,639,000","-3,395,000","-10,112,000","-1,209,000","-3,797,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-10,592,000","-4,319,000","-4,970,000","-10,269,000","-5,609,000","-5,976,000","-7,915,000","-6,770,000","-8,611,000","-6,777,000","-6,867,000","-2,825,000","-4,379,000","-4,244,000","-4,445,000","-2,639,000","-3,395,000","-10,112,000","-1,209,000","-3,797,000",Upgrade,Financials in USD,Fiscal year is January - December
