Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"155,818,000","110,319,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"148,439,000","110,319,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","84,010,000","66,350,000","41,704,000","18,135,000","7,040,000","2,208,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"133,849,000","133,849,000","149,555,000","46,883,000","25,056,000","15,766,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"217,859,000","200,199,000","191,259,000","65,018,000","32,096,000","17,974,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-69,420,000","-89,880,000","-191,259,000","-65,018,000","-32,096,000","-17,974,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,000,000","-3,842,000","-1,720,000","-10,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"32,183,000","23,695,000","4,300,000","59,000","1,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"2,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-39,237,000","-70,027,000","-188,679,000","-64,969,000","-32,095,000","-17,972,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,186,000","663,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-40,423,000","-70,690,000","-188,679,000","-64,969,000","-32,095,000","-17,972,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-40,423,000","-70,690,000","-188,679,000","-64,969,000","-32,095,000","-17,972,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"52,253,808","48,061,450","36,355,758","446,379","286,105","212,187",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"52,253,808","48,061,450","36,355,758","446,379","286,105","212,187",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.587%,32.198%,8044.594%,56.019%,34.836%,28.147%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.774,-1.471,-5.190,-145.547,-112.179,-84.699,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.774,-1.471,-5.190,-145.547,-112.179,-84.699,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"3,583,000","186,145,000","-101,580,000","-60,021,000","-29,550,000","-22,604,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.069,3.873,-2.794,-134.462,-103.284,-106.529,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,95.264%,100.000%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-44.552%,-81.473%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-25.942%,-64.078%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,2.299%,168.733%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-65,299,000","-87,840,000","-189,938,000","-63,977,000","-31,467,000","-17,648,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-41.907%,-79.624%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,121,000","2,040,000","1,321,000","1,041,000","629,000","326,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-69,420,000","-89,880,000","-191,259,000","-65,018,000","-32,096,000","-17,974,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-44.552%,-81.473%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
