Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,-,-,-,"3,922,000","8,038,000","3,544,000","7,880,000","4,022,000","29,699,000","5,851,000","11,359,000","2,962,000","8,976,000","8,756,000","7,247,000","10,571,000","8,967,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-2.486%,-72.935%,-39.429%,-30.628%,35.787%,230.871%,-33.177%,56.741%,-71.980%,0.100%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"57,152,000","54,533,000","42,805,000","38,770,000","33,701,000","29,178,000","27,859,000","24,713,000","22,372,000","22,796,000","19,656,000","16,110,000","15,503,000","14,979,000","11,566,000","12,051,000","10,025,000","8,596,000","9,026,000","8,541,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-57,152,000","-54,533,000","-42,805,000","-34,848,000","-25,663,000","-25,634,000","-19,979,000","-20,691,000","7,327,000","-16,945,000","-8,297,000","-13,148,000","-6,527,000","-6,223,000","-4,319,000","-1,480,000","-1,058,000","-8,596,000","-9,026,000","-8,541,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,741,000","10,394,000","8,212,000","7,069,000","7,863,000","7,075,000","6,300,000","5,752,000","6,667,000","5,554,000","5,923,000","5,221,000","5,186,000","4,828,000","4,816,000","3,800,000","3,938,000","3,994,000","3,452,000","2,778,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,741,000","10,394,000","8,212,000","7,069,000","7,863,000","7,075,000","6,300,000","5,752,000","6,667,000","5,554,000","5,923,000","5,221,000","5,186,000","4,828,000","4,816,000","3,800,000","3,938,000","3,994,000","3,452,000","2,778,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-66,893,000","-64,927,000","-51,017,000","-41,917,000","-33,526,000","-32,709,000","-26,279,000","-26,443,000","660,000","-22,499,000","-14,220,000","-18,369,000","-11,713,000","-11,051,000","-9,135,000","-5,280,000","-4,996,000","-12,590,000","-12,478,000","-11,319,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"15,072,000","12,155,000","11,445,000","7,962,000","6,086,000","4,783,000","2,639,000","2,242,000","955,000","443,000","207,000","157,000","131,000","104,000","114,000","127,000","70,000","199,000","435,000","530,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-51,821,000","-52,772,000","-39,572,000","-33,955,000","-27,440,000","-27,926,000","-23,640,000","-24,201,000","1,615,000","-22,056,000","-14,013,000","-18,212,000","-11,582,000","-10,947,000","-9,021,000","-5,153,000","-4,926,000","-12,391,000","-12,043,000","-10,789,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,000",-,-,-,"8,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-51,821,000","-52,772,000","-39,572,000","-33,955,000","-27,440,000","-27,926,000","-23,640,000","-24,201,000","1,615,000","-22,056,000","-14,013,000","-18,212,000","-11,582,000","-10,947,000","-9,021,000","-5,135,000","-4,926,000","-12,391,000","-12,043,000","-10,781,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-51,821,000","-52,772,000","-39,572,000","-33,955,000","-27,440,000","-27,926,000","-23,640,000","-24,201,000","1,615,000","-22,056,000","-14,013,000","-18,212,000","-11,582,000","-10,947,000","-9,021,000","-5,135,000","-4,926,000","-12,391,000","-12,043,000","-10,781,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-51,821,000","-52,772,000","-39,572,000","-33,955,000","-27,440,000","-27,926,000","-23,640,000","-24,201,000","1,615,000","-22,056,000","-14,013,000","-18,212,000","-11,582,000","-10,947,000","-9,021,000","-5,135,000","-4,926,000","-12,391,000","-12,043,000","-10,781,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"86,188,510","77,962,730","75,108,484","65,246,361","59,999,449","56,251,130","48,370,074","48,132,003","40,301,568","38,660,971","38,591,966","38,501,335","37,769,910","32,854,926","31,761,207","29,149,106","28,396,670","21,001,730","20,250,549","20,216,275",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"86,188,510","77,962,730","75,108,484","65,246,361","59,999,449","56,251,130","48,370,074","48,132,003","41,109,571","38,660,971","38,591,966","38,501,335","37,769,910","32,854,926","31,761,207","29,149,106","28,396,670","21,001,730","20,250,549","20,216,275",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),43.649%,38.598%,55.279%,35.557%,45.950%,45.498%,25.337%,25.014%,8.842%,17.672%,21.507%,32.084%,33.008%,56.439%,56.841%,44.186%,40.869%,155.557%,1739.108%,1812.580%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.601,-0.677,-0.527,-0.520,-0.457,-0.496,-0.489,-0.503,0.040,-0.570,-0.363,-0.473,-0.307,-0.333,-0.284,-0.176,-0.173,-0.590,-0.595,-0.533,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.601,-0.677,-0.527,-0.520,-0.457,-0.496,-0.489,-0.506,0.040,-0.570,-0.363,-0.475,-0.310,-0.333,-0.284,-0.176,-0.173,-0.590,-0.595,-0.533,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-49,691,000","-33,855,000","-45,138,000","-24,586,000","-30,777,000","-34,344,000","-27,885,000","-23,370,000","-25,267,000","-21,933,000","-20,048,000","-17,262,000","-12,926,000","-13,508,000","-14,727,000","-11,775,000","89,965,000","-13,675,000","-9,545,000","-8,922,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.577,-0.434,-0.601,-0.377,-0.513,-0.611,-0.576,-0.486,-0.615,-0.567,-0.519,-0.448,-0.342,-0.411,-0.464,-0.404,3.168,-0.651,-0.471,-0.441,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-253.541%,-,24.671%,-289.609%,-73.043%,-,-72.716%,-71.071%,-59.597%,-14.001%,-11.799%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-1068.766%,-417.094%,-922.940%,-333.490%,-657.459%,2.222%,-384.533%,-125.187%,-620.155%,-130.492%,-126.211%,-126.052%,-49.948%,-55.715%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-865.757%,-341.378%,-787.980%,-300.000%,-601.716%,5.438%,-376.961%,-123.365%,-614.855%,-129.033%,-125.023%,-124.479%,-48.576%,-54.935%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-626.874%,-382.894%,-969.074%,-353.871%,-581.054%,-85.077%,-374.859%,-176.494%,-582.782%,-144.006%,-154.271%,-203.215%,-111.390%,1003.290%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
