Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+16 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+16 Quarters,,
"Selling, General & Admin","829,000","1,462,000","1,316,000","1,137,000","1,161,000","896,000","984,000","3,367,000","469,000","454,000","1,055,000","524,000","594,000","623,000","743,000","515,000","571,000","684,000","577,000","619,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,327,000","1,361,000","2,391,000","982,000","907,000","3,027,000","5,445,000","545,000","194,000","151,000","1,808,000","390,000","278,000","328,000","258,000","484,000","466,000","1,219,000","697,000","4,855,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,156,000","2,823,000","3,707,000","2,119,000","2,068,000","3,923,000","6,429,000","3,912,000","663,000","605,000","2,863,000","914,000","872,000","951,000","1,001,000","999,000","1,037,000","1,903,000","1,274,000","5,474,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,156,000","-2,823,000","-3,707,000","-2,119,000","-2,068,000","-3,923,000","-6,429,000","-3,912,000","-663,000","-605,000","-2,863,000","-914,000","-872,000","-951,000","-1,001,000","-999,000","-1,037,000","-1,903,000","-1,274,000","-5,474,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"51,000","52,000","48,000","22,000","9,000","57,000","37,000","16,000","1,000","1,000","2,000","1,000","1,000","2,000","3,000","6,000","9,000","15,000","32,000","59,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"18,000","70,000","-690,000","2,714,000","2,572,000","-150,000","-1,210,000","4,420,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,087,000","-2,701,000","-4,349,000","617,000","513,000","-4,016,000","-7,602,000","524,000","-662,000","-604,000","-2,861,000","-913,000","-871,000","-949,000","-998,000","-993,000","-1,028,000","-1,888,000","-1,242,000","-5,415,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,087,000","-2,701,000","-4,349,000","617,000","513,000","-4,016,000","-7,602,000","524,000","-662,000","-604,000","-2,861,000","-913,000","-871,000","-949,000","-998,000","-993,000","-1,028,000","-1,888,000","-1,242,000","-5,415,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,087,000","-2,701,000","-4,349,000","617,000","513,000","-4,016,000","-7,602,000","524,000","-662,000","-604,000","-2,861,000","-913,000","-871,000","-949,000","-998,000","-993,000","-1,028,000","-1,888,000","-1,242,000","-5,415,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"11,000","9,000","9,000","23,000","13,000","9,000","66,000","51,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,076,000","-2,692,000","-4,340,000","640,000","526,000","-4,007,000","-7,536,000","575,000","-662,000","-604,000","-2,861,000","-913,000","-871,000","-949,000","-998,000","-993,000","-1,028,000","-1,888,000","-1,242,000","-5,415,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"4,494,000","4,316,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,076,000","-7,186,000","-8,656,000","640,000","526,000","-4,007,000","-7,536,000","575,000","-662,000","-604,000","-2,861,000","-913,000","-871,000","-949,000","-998,000","-993,000","-1,028,000","-1,888,000","-1,242,000","-5,415,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,11.304%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,600,189","1,117,769","562,031","278,684","108,210","103,442","74,198","58,877","19,542","19,481","18,629","16,222","14,780","14,717","14,717","14,717","14,684","14,644","14,644","14,599",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,600,189","1,117,769","562,031","278,684","108,210","103,442","74,198","58,877","19,542","19,481","18,629","16,222","14,780","14,717","14,717","14,717","14,684","14,644","14,644","14,599",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1378.781%,980.576%,657.475%,373.333%,453.730%,430.989%,298.293%,262.945%,32.219%,32.371%,26.582%,10.226%,0.654%,0.498%,0.498%,0.808%,0.872%,0.979%,19.876%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.922,-6.429,-15.401,2.297,4.861,-38.737,-101.566,9.766,-33.876,-31.005,-153.578,-56.282,-58.931,-64.483,-67.813,-67.473,-70.008,-128.927,-84.813,-370.916,Upgrade,Financials in USD,Fiscal year is January - December
