Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Jan '20 Jan 1, 2020",,
Revenue,"7,345,000","6,769,000","19,391,000","5,350,000","3,747,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-18.894%,-65.092%,262.449%,42.781%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"154,000","3,482,000",-,-,"15,701,000","8,347,000",Financials in USD,Fiscal year is January - December
Gross Profit,"7,191,000","3,287,000","19,391,000","5,350,000","-11,954,000","-8,347,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,026,000","12,726,000","14,124,000","12,018,000","2,719,000","1,236,000",Financials in USD,Fiscal year is January - December
Research & Development,"24,204,000","33,814,000","40,105,000","36,945,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"35,230,000","46,540,000","54,229,000","48,963,000","2,719,000","1,236,000",Financials in USD,Fiscal year is January - December
Operating Income,"-28,039,000","-43,253,000","-34,838,000","-43,613,000","-14,673,000","-9,583,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-625,000","-342,000","-86,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,272,000","2,970,000","257,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,564,000","-1,412,000","2,923,000","2,040,000","-869,000","-18,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-27,331,000","-41,695,000","-31,658,000","-42,198,000","-15,884,000","-9,687,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"311,000","279,000","249,000","157,000","43,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-27,642,000","-41,974,000","-31,907,000","-42,355,000","-15,927,000","-9,687,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,642,000","-41,974,000","-31,907,000","-42,355,000","-15,927,000","-9,687,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"27,126,326","26,732,556","25,924,005","19,758,169","399,126","447,525",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"27,126,326","26,732,556","25,924,005","19,758,169","399,126","447,525",Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.181%,3.119%,31.207%,4850.359%,-10.815%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.019,-1.570,-1.231,-2.144,-39.905,-21.646,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.019,-1.570,-1.231,-2.144,-39.905,-21.650,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-28,627,000","-39,702,000","3,456,000","-29,411,000","-9,809,000","-9,377,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.055,-1.485,0.133,-1.489,-24.576,-20.953,Financials in USD,Fiscal year is January - December
Gross Margin,97.903%,48.560%,100.000%,100.000%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-381.743%,-638.987%,-179.661%,-815.196%,-391.593%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-376.338%,-620.092%,-164.545%,-791.682%,-425.060%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-389.748%,-586.527%,17.823%,-549.738%,-261.783%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-27,476,000","-42,637,000","-34,334,000","-43,282,000","-14,460,000","-9,484,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-177.061%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"563,000","616,000","504,000","331,000","213,000","99,000",Financials in USD,Fiscal year is January - December
EBIT,"-28,039,000","-43,253,000","-34,838,000","-43,613,000","-14,673,000","-9,583,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-179.661%,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"3,747,000",-,Financials in USD,Fiscal year is January - December
