Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","3,136,000","2,744,000","2,682,000","3,235,000","3,507,000","2,833,000","2,321,000","1,671,000","1,177,000","1,191,000","1,591,284","1,097,329","1,638,739","633,771",Financials in USD,Fiscal year is January - December
Research & Development,"7,208,000","8,180,000","7,559,000","6,157,000","7,264,000","4,944,000","5,484,000","4,290,000","4,593,000","5,041,000","4,179,087","4,583,950","4,554,065","2,376,499",Financials in USD,Fiscal year is January - December
Operating Expenses,"10,344,000","10,924,000","10,241,000","9,392,000","10,771,000","7,777,000","7,805,000","5,961,000","5,770,000","6,232,000","5,770,371","5,681,279","6,192,804","3,010,270",Financials in USD,Fiscal year is January - December
Operating Income,"-10,344,000","-10,924,000","-10,241,000","-9,392,000","-10,771,000","-7,777,000","-7,805,000","-5,961,000","-5,770,000","-6,232,000","-5,770,371","-5,681,279","-6,192,804","-3,010,270",Financials in USD,Fiscal year is January - December
Interest Expense,"-137,000","-49,000","-36,000","-2,000","-1,000","-714,000","-342,000","-92,000","-1,078,000","-1,067,000","-1,364,273","-876,442",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"185,000","137,000","150,000","75,000","246,000","39,000","10,000","55,000","10,000",-,-,192,"1,797","3,018",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,000","-9,000","153,000","249,000","-33,000","-9,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-8,541,000","3,616,000","-1,856,000","15,000","6,000","298,000","108,000","-659,000","-360,000",-,"74,147","-52,962",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,838,000","-7,229,000","-11,830,000","-9,055,000","-10,553,000","-8,163,000","-8,029,000","-6,657,000","-7,198,000","-7,299,000","-7,060,497","-6,610,491","-6,191,007","-3,007,252",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"3,000","105,000","-105,000",-,-,"4,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,000",-,"604,000",-,"2,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-18,838,000","-7,229,000","-11,827,000","-8,949,000","-10,658,000","-7,559,000","-8,029,000","-6,651,000","-7,198,000","-7,299,000","-7,060,497","-6,610,491","-6,191,007","-3,007,252",Financials in USD,Fiscal year is January - December
Net Income,"-18,838,000","-7,229,000","-11,827,000","-8,949,000","-10,658,000","-7,559,000","-8,029,000","-6,651,000","-7,198,000","-7,299,000","-7,060,497","-6,610,491","-6,191,007","-3,007,252",Financials in USD,Fiscal year is January - December
Net Income to Common,"-18,838,000","-7,229,000","-11,827,000","-8,949,000","-10,658,000","-7,559,000","-8,029,000","-6,651,000","-7,198,000","-7,299,000","-7,060,497","-6,610,491","-6,191,007","-3,007,252",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,582,345","11,284,853","10,273,925","9,603,723","8,376,384","2,893,244","324,106","320,135","317,512","314,572","17,221,483","17,129,489","13,311,127","6,780,035",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,582,345","11,284,853","10,273,925","9,603,723","8,376,384","2,893,244","324,106","320,135","317,512","314,572","17,221,483","17,129,489","13,311,127","6,780,035",Financials in USD,Fiscal year is January - December
Shares Change (YoY),62.150%,290.042%,3069.927%,2899.898%,2538.131%,819.740%,-98.118%,-98.131%,-97.615%,-95.360%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.387,-0.641,-1.151,-0.932,-1.272,-2.613,-24.773,-20.776,-22.670,-23.203,-0.410,-0.386,-0.465,-0.444,Financials in USD,Fiscal year is January - December
