Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"18,464,000","17,410,000","18,053,000","16,790,000","14,493,000","19,283,000","18,992,000","69,798,000","76,321,000","17,291,000","46,498,000","17,010,000","13,147,000","3,760,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),27.399%,-9.713%,-4.944%,-75.945%,-81.010%,11.520%,-59.155%,310.335%,480.520%,359.867%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,842,000","25,512,000","2,510,000","27,517,000","365,000","32,474,000","-27,000","46,503,000","42,971,000","50,803,000","49,481,000","43,262,000","37,307,000","39,654,000","39,172,000","48,336,000","32,155,000","25,950,000","35,375,000","30,424,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"16,622,000","-8,102,000","15,543,000","-10,727,000","14,128,000","-13,191,000","19,019,000","23,295,000","33,350,000","-33,512,000","-2,983,000","-26,252,000","-24,160,000","-35,894,000","-39,172,000","-48,336,000","-32,155,000","-25,950,000","-35,375,000","-30,424,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","20,675,000","20,939,000","23,421,000","26,494,000","23,354,000","26,458,000","30,854,000","33,750,000","36,464,000","35,899,000","37,381,000","36,529,000","33,632,000","34,588,000","31,493,000","29,449,000","20,273,000","18,999,000","8,510,000","5,308,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"31,511,000",-,"25,735,000",-,"26,923,000",-,"38,375,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"52,186,000","20,939,000","49,156,000","26,494,000","50,277,000","26,458,000","69,229,000","33,750,000","36,464,000","35,899,000","37,381,000","36,529,000","33,632,000","34,588,000","31,493,000","29,449,000","20,273,000","18,999,000","8,510,000","5,308,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-35,564,000","-29,041,000","-33,613,000","-37,221,000","-36,149,000","-39,649,000","-50,210,000","-10,455,000","-3,114,000","-69,411,000","-40,364,000","-62,781,000","-57,792,000","-70,482,000","-70,665,000","-77,785,000","-52,428,000","-44,949,000","-43,885,000","-35,732,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-13,117,000","-12,679,000","-12,496,000","-7,675,000","-12,816,000","-10,309,000","-10,291,000","-23,386,000","-11,356,000","-8,801,000","-9,217,000","-9,520,000","-4,265,000","-2,555,000","-2,000,000","-2,047,000","-1,940,000","-897,000","-42,000","-51,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,438,000","3,253,000","2,948,000","3,290,000","2,703,000","2,372,000","2,175,000",-,"273,000","16,000","20,000","20,000","16,000","15,000","15,000","100,000","163,000","195,000","374,000","218,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-260,000","-597,000","-1,374,000","-1,989,000","-1,409,000","-767,000","-2,726,000","-3,535,000","-2,130,000","-1,917,000","-2,502,000","-2,766,000","-2,210,000","-1,169,000","-527,000","24,368,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"21,000","-59,000","-37,000","-57,000","39,000","15,000","-52,000","-357,000","-56,000","223,000","81,000","-95,000","-7,000","-242,000","394,000","-366,000","-139,000","-100,000","29,000","173,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,603,000","2,813,000","-1,871,000","4,013,000","821,000","-5,082,000","2,248,000","15,303,000","7,178,000","14,569,000","34,151,000","18,790,000","-7,146,000","2,104,000","21,363,000","-46,821,000","145,000","130,000","148,000","222,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-43,879,000","-36,310,000","-46,443,000","-39,639,000","-46,811,000","-53,420,000","-58,856,000","-22,430,000","-9,205,000","-65,321,000","-17,831,000","-56,352,000","-71,404,000","-72,329,000","-51,420,000","-102,551,000","-54,199,000","-45,621,000","-43,376,000","-35,170,000",Upgrade,Financials in USD,Fiscal year is January - December
