Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"6,854","44,276","79,680","81,297","124,486","220,978","218,415","185,596","323,125","214,715","210,279","105,034",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-94.494%,-79.964%,-63.519%,-56.197%,-61.474%,2.917%,3.869%,76.701%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"467,536","23,134","65,799","285,867","106,922","185,738","178,309","170,166","233,684","174,858","188,071","77,979",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-460,682","21,142","13,881","-204,570","17,564","35,240","40,106","15,430","89,441","39,857","22,208","27,055",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,748,804","4,443,763","3,404,261","3,443,075","7,214,049","3,784,842","4,434,460","4,590,296","3,911,065","4,622,894","4,710,757","7,818,429","4,601,601","4,842,256","5,157,080","4,248,905","2,458,725","370,186","856,427","923,643",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"491,552","1,553,360","8,145,266","4,303,239","898,724","484,835","1,387,541","3,081,242","1,570,540","1,187,920","1,428,382","1,702,370","1,471,544","932,751","935,952","423,488","285,813","28,294","200,371","66,992",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,240,356","5,997,123","11,549,527","7,746,314","8,112,773","4,269,677","5,822,001","7,671,538","5,481,605","5,810,814","6,139,139","9,520,799","6,073,145","5,775,007","6,093,032","4,672,393","2,744,538","398,480","1,056,798","990,635",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,701,038","-5,975,981","-11,535,646","-7,950,884","-8,095,209","-4,234,437","-5,781,895","-7,656,108","-5,392,164","-5,770,957","-6,116,931","-9,493,744","-6,073,145","-5,775,007","-6,093,032","-4,672,393","-2,744,538","-398,480","-1,056,798","-990,635",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,279,651","-1,648,276","-3,124,755","-3,079,031","-1,651,060","-1,447,924","-211,885","-10,337","-2,175,483","-85,056","-15,210","-58,788","-1,229,452","-403,609","-286,884","-9,179",-,"-135,837","-165,065",-449,Upgrade,Financials in USD,Fiscal year is January - December
