Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+6 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+6 Quarters,,
"Selling, General & Admin","680,000","823,000","818,000","763,000","1,006,000","962,000","1,307,000","1,046,000","1,102,000","992,000","1,185,000","1,195,000","958,000","1,010,000","429,000","673,000","107,000","108,000","171,500","171,500",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"6,665,000","4,742,000","2,746,000","589,000","1,246,000","1,454,000","1,949,000","1,050,000","743,000","680,000","556,000","573,000","702,000","1,029,000","262,000","27,000","41,000","24,000","52,500","52,500",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,345,000","5,565,000","3,564,000","1,352,000","2,252,000","2,416,000","3,256,000","2,096,000","1,845,000","1,672,000","1,741,000","1,768,000","1,660,000","2,039,000","691,000","700,000","148,000","132,000","224,000","224,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,345,000","-5,565,000","-3,564,000","-1,352,000","-2,252,000","-2,416,000","-3,256,000","-2,096,000","-1,845,000","-1,672,000","-1,741,000","-1,768,000","-1,660,000","-2,039,000","-691,000","-700,000","-148,000","-132,000","-224,000","-224,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-65,000","-366,000","-259,000","-362,000","-202,000","-202,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"34,000","64,000","101,000","115,000","81,000","109,000","95,000","65,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"3,000",-,"7,000","-2,000","-6,000","3,000","8,000","-76,000","26,000","-19,000","18,000",-,"-40,000",-,"15,000","-21,000","4,000",-,"1,500","1,500",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-4,000","-5,000","-1,427,000","1,275,000","-4,000","-4,000","-4,000","-2,000","-4,000","-3,000","-4,000","-3,000","-1,000","-2,000","-40,000","-2,000","-264,000","-802,000","-2,000","-2,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,312,000","-5,506,000","-4,883,000","36,000","-2,181,000","-2,308,000","-3,157,000","-2,109,000","-1,823,000","-1,694,000","-1,727,000","-1,771,000","-1,701,000","-2,041,000","-781,000","-1,089,000","-667,000","-1,296,000","-426,500","-426,500",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"8,000",-,-,-,"9,000",-,-,-,"6,000",-,-,-,"220,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-7,312,000","-5,506,000","-4,891,000","36,000","-2,181,000","-2,308,000","-3,166,000","-2,109,000","-1,823,000","-1,694,000","-1,733,000","-1,771,000","-1,701,000","-2,041,000","-1,001,000","-1,089,000","-667,000","-1,296,000","-426,500","-426,500",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-597,000","302,000","295,000","290,500","290,500",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,312,000","-5,506,000","-4,891,000","36,000","-2,181,000","-2,308,000","-3,166,000","-2,109,000","-1,823,000","-1,694,000","-1,733,000","-1,771,000","-1,701,000","-2,041,000","-1,001,000","-492,000","-969,000","-1,591,000","-717,000","-717,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"144,510","84,427","65,440","61,840","45,436","45,436","45,073","45,073","46,471","43,675","41,892","41,958","41,973","37,713","36,706","12,554",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"144,510","84,427","65,440","61,840","45,436","45,436","45,073","45,073","46,471","43,675","41,892","41,958","41,973","37,713","36,706","12,554",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),218.052%,85.815%,45.187%,37.200%,-2.227%,4.032%,7.593%,7.424%,10.716%,15.809%,14.128%,234.220%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-50.599,-65.216,-74.740,0.582,-48.002,-50.797,-70.242,-46.791,-39.229,-38.786,-41.368,-42.209,-40.526,-54.119,-27.271,-39.191,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-50.599,-65.216,-74.765,0.582,-48.083,-50.797,-70.300,-46.820,-39.229,-38.786,-41.368,-42.511,-40.526,-54.119,-27.271,-39.191,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,954,000","-3,702,000","-1,553,000","-1,180,000","-2,003,000","-1,952,000","-2,874,000","-889,000","-1,594,000","-1,108,000","-1,799,000","-1,364,000","-1,633,000","-1,807,000","-2,033,000","-219,000","-100,000","-215,000","-208,000","-208,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-34.281,-43.849,-23.732,-19.082,-44.084,-42.962,-63.763,-19.724,-34.301,-25.369,-42.944,-32.509,-38.906,-47.915,-55.386,-17.445,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-7,341,000","-5,561,000","-3,558,000","-1,349,000","-2,248,000","-2,414,000","-3,250,000","-2,089,000","-1,845,000","-1,670,000","-1,738,000","-1,766,000","-1,659,000","-2,038,000","-690,750","-699,750","-147,750","-131,750","-223,750",-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,000","4,000","6,000","3,000","4,000","2,000","6,000","7,000",-,"2,000","3,000","2,000","1,000","1,000",250,250,250,250,250,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-7,345,000","-5,565,000","-3,564,000","-1,352,000","-2,252,000","-2,416,000","-3,256,000","-2,096,000","-1,845,000","-1,672,000","-1,741,000","-1,768,000","-1,660,000","-2,039,000","-691,000","-700,000","-148,000","-132,000","-224,000","-224,000",Upgrade,Financials in USD,Fiscal year is January - December
