Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"48,118,000","40,813,000","27,614,000","13,076,000","1,871,000",-,"2,500,000","10,000,000",-,"15,277,000","539,000","338,000","1,240,000","22,017,000","33,432,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2471.780%,-,1004.560%,30.760%,-,-,363.822%,2858.580%,-,-30.613%,-98.388%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"15,370,000","15,323,000","1,654,000","14,521,000","12,482,000","12,546,000",-,"10,428,000","10,912,000","10,125,000","12,114,000","8,014,000","10,274,000","7,941,000","17,558,000","7,587,000","7,991,000","1,737,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"32,748,000","25,490,000","25,960,000","-1,445,000","-10,611,000","-12,546,000","2,500,000","-428,000","-10,912,000","5,152,000","-11,575,000","-7,676,000","-9,034,000","14,076,000","15,874,000","-7,587,000","-7,991,000","-1,737,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","57,910,000","58,792,000","51,578,000","43,005,000","30,324,000","20,275,000","15,096,000","14,633,000","11,994,000","10,376,000","7,946,000","6,772,000","6,671,000","6,794,000","5,160,000","3,890,000","2,150,000","1,526,000","606,000","387,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,"12,066,000",-,-,-,"12,356,000",-,-,-,-,-,-,-,-,-,-,-,"1,512,000","697,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"57,910,000","58,792,000","63,644,000","43,005,000","30,324,000","20,275,000","27,452,000","14,633,000","11,994,000","10,376,000","7,946,000","6,772,000","6,671,000","6,794,000","5,160,000","3,890,000","2,150,000","1,526,000","2,118,000","1,084,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-25,162,000","-33,302,000","-37,684,000","-44,450,000","-40,935,000","-32,821,000","-24,952,000","-15,061,000","-22,906,000","-5,224,000","-19,521,000","-14,448,000","-15,705,000","7,282,000","10,714,000","-11,477,000","-10,141,000","-3,263,000","-2,118,000","-1,084,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,445,000","-2,109,000","-983,000","-989,000","-858,000","-815,000","-684,000","-692,000","-633,000","-544,000","-316,000",-,-,-,-,-,-,-,-,"-84,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,120,000","4,130,000","3,117,000","2,978,000","2,840,000","2,226,000","2,293,000","2,127,000","1,061,000","297,000",-,"12,000","8,000","7,000","9,000","10,000","4,000","13,000","161,000","60,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"67,000","-59,000","605,000","3,025,000","-48,000","-47,000","6,000","13,000","-7,000","106,000","37,000","65,000","5,000","-39,000","-34,000",-,-,-,-,"-49,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,420,000","-31,340,000","-34,945,000","-39,436,000","-39,001,000","-31,457,000","-23,337,000","-13,613,000","-22,485,000","-5,365,000","-19,800,000","-14,371,000","-15,692,000","7,250,000","10,689,000","-11,467,000","-10,137,000","-3,250,000","-1,957,000","-1,157,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-6,000","-786,000","-2,466,000","-147,000","33,000","-82,000","14,000","-31,000","-378,000","-437,000","-356,000","-346,000","-876,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,"-70,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-1,944,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-255,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,420,000","-33,290,000","-35,731,000","-41,902,000","-39,148,000","-31,424,000","-23,419,000","-13,599,000","-22,516,000","-5,743,000","-20,237,000","-14,797,000","-16,038,000","6,374,000","10,689,000","-11,467,000","-10,137,000","-3,250,000","-1,957,000","-1,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,"-5,000",-,"1,000","54,000","-341,000","29,000","313,000",-,"1,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-23,420,000","-33,290,000","-35,731,000","-41,902,000","-39,148,000","-31,424,000","-23,419,000","-13,599,000","-22,511,000","-5,743,000","-20,238,000","-14,851,000","-15,697,000","6,345,000","10,376,000","-11,467,000","-10,138,000","-3,250,000","-1,957,000","-1,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,"-7,000",-,"46,000","90,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-23,420,000","-33,290,000","-35,731,000","-41,902,000","-39,148,000","-31,424,000","-23,419,000","-13,599,000","-22,511,000","-5,743,000","-20,238,000","-14,844,000","-15,697,000","6,299,000","10,286,000","-11,467,000","-10,138,000","-3,250,000","-1,957,000","-1,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,381,968","37,823,233","35,300,655","31,944,237","30,622,440","26,815,733","26,742,023","26,708,264","26,662,374","24,332,531","20,710,224","20,680,425","20,641,285","20,555,258","20,336,022","16,797,523","2,729,685","2,651,321","2,650,363","2,515,708",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,381,968","37,823,233","35,300,655","31,944,237","30,622,440","26,815,733","26,742,023","26,708,264","26,662,374","24,332,531","20,710,224","20,680,425","20,641,285","21,966,599","21,824,574","16,797,523","2,729,685","2,651,321","2,650,363","2,515,708",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),25.339%,41.049%,32.004%,19.604%,14.853%,10.205%,29.125%,29.148%,29.170%,10.771%,-5.106%,23.116%,656.178%,728.515%,723.456%,567.706%,10.458%,18.773%,18.731%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.610,-0.880,-1.012,-1.312,-1.278,-1.172,-0.876,-0.509,-0.844,-0.236,-0.977,-0.718,-0.760,0.306,0.506,-0.683,-3.714,-1.226,-0.738,-0.561,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.610,-0.880,-1.012,-1.312,-1.278,-1.172,-0.880,-0.509,-0.844,-0.240,-0.980,-0.722,-0.760,0.287,0.472,-0.683,-3.714,-1.230,-0.740,-0.561,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,934,000","-15,443,000","-37,963,000","-39,335,000","-32,737,000","-24,613,000","-22,310,000","-11,001,000","-18,707,000","-4,381,000","-15,447,000","-12,395,000","6,991,000","20,535,000","-11,969,000","-9,963,000","-6,707,000","-2,892,000","-2,032,000","-830,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.233,-0.408,-1.075,-1.231,-1.069,-0.918,-0.834,-0.412,-0.702,-0.180,-0.746,-0.599,0.339,0.935,-0.548,-0.593,-2.457,-1.091,-0.767,-0.330,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,68.058%,62.456%,94.010%,-11.051%,-,-,100.000%,-4.280%,-,33.724%,-,-,-,63.932%,47.481%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-52.292%,-81.597%,-136.467%,-339.936%,-2187.867%,-,-998.080%,-150.610%,-,-34.195%,-3621.707%,-4274.556%,-1266.532%,33.074%,32.047%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-48.672%,-81.567%,-129.395%,-320.450%,-2092.357%,-,-936.760%,-135.990%,-,-37.592%,-3754.731%,-4391.716%,-1265.887%,28.610%,30.767%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-18.567%,-37.838%,-137.477%,-300.818%,-1749.706%,-,-892.400%,-110.010%,-,-28.677%,-2865.863%,-3667.160%,563.790%,93.269%,-35.801%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-24,878,000","-33,063,000","-37,414,000","-44,103,000","-40,691,000","-32,639,000","-24,848,000","-14,963,000","-22,812,000","-5,132,000","-19,480,000","-14,408,000","-15,622,000","7,407,000","10,778,000","-11,437,000","-10,117,000","-3,246,000","-2,103,000","-1,065,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-51.702%,-81.011%,-135.489%,-,-,-,-,-149.630%,-,-33.593%,-,-,-,33.642%,32.239%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"284,000","239,000","270,000","347,000","244,000","182,000","104,000","98,000","94,000","92,000","41,000","40,000","83,000","125,000","64,000","40,000","24,000","17,000","15,000","19,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-25,162,000","-33,302,000","-37,684,000","-44,450,000","-40,935,000","-32,821,000","-24,952,000","-15,061,000","-22,906,000","-5,224,000","-19,521,000","-14,448,000","-15,705,000","7,282,000","10,714,000","-11,477,000","-10,141,000","-3,263,000","-2,118,000","-1,084,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-52.292%,-81.597%,-136.467%,-,-,-,-,-150.610%,-,-34.195%,-,-,-,33.074%,32.047%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,0.455%,2.928%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"48,118,000","40,813,000","27,614,000","13,076,000","1,871,000",-,"2,500,000","10,000,000",-,-,-,"338,000","1,240,000","22,017,000","33,432,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
