Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Operating Revenue,"159,924,000","184,100,000","90,662,000","79,423,000","95,994,000","73,267,000","36,280,000","27,441,000","27,299,000","11,937,000","40,827,000","38,995,000","16,882,000","20,233,000","13,682,000","40,783,000","11,747,000","11,600,000","11,546,000","19,450,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"281,000","2,423,000","3,329,000","41,000","19,000","63,000","56,000","192,000","62,000","34,000","505,000","293,000","155,000","601,000","622,000","417,000","714,000","834,000","1,111,000","1,682,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"160,205,000","186,523,000","93,991,000","79,464,000","96,013,000","73,330,000","36,336,000","27,633,000","27,361,000","11,971,000","41,332,000","39,288,000","17,037,000","20,834,000","14,304,000","41,200,000","12,461,000","12,434,000","12,657,000","21,132,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),66.858%,154.361%,158.672%,187.569%,250.912%,512.564%,-12.087%,-29.666%,60.598%,-42.541%,188.954%,-4.641%,36.723%,67.557%,13.013%,94.965%,-29.495%,23.268%,24.430%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"150,991,000","163,077,000","155,703,000","138,133,000","139,334,000","128,463,000","120,502,000","103,720,000","129,977,000","85,766,000","81,346,000",-,-,-,"71,072,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"9,214,000","23,446,000","-61,712,000","-58,669,000","-43,321,000","-55,133,000","-84,166,000","-76,087,000","-102,616,000","-73,795,000","-40,014,000","39,288,000","17,037,000","20,834,000","-56,768,000","41,200,000","12,461,000","12,434,000","12,657,000","21,132,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","79,570,000","65,416,000","56,152,000","62,384,000","49,202,000","49,182,000","40,159,000","52,504,000","42,095,000","45,490,000","33,959,000","69,953,000","31,338,000","26,031,000","22,159,000","33,353,000","15,325,000","14,065,000","9,975,000","15,422,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,"86,503,000","72,314,000","83,457,000",-,"66,934,000","63,656,000","53,567,000","48,003,000","66,097,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,"250,000","590,000","-840,000",-,"4,000",-,"-4,000",-,"-138,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"79,570,000","65,416,000","56,152,000","62,384,000","49,202,000","49,182,000","40,159,000","52,504,000","42,095,000","45,490,000","33,959,000","156,706,000","104,242,000","108,648,000","22,159,000","100,291,000","78,981,000","67,628,000","57,978,000","81,381,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-70,356,000","-41,970,000","-117,864,000","-121,053,000","-92,523,000","-104,315,000","-124,325,000","-128,591,000","-144,711,000","-119,285,000","-73,973,000","-117,418,000","-87,205,000","-87,814,000","-78,927,000","-59,091,000","-66,520,000","-55,194,000","-45,321,000","-60,249,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-5,484,000","-5,475,000","-5,820,000",-,"-5,185,000","-5,113,000","-4,861,000","-3,248,000","-1,643,000","-994,000","-602,000","-208,000","-52,000","-38,000",-,"-90,000","-88,000","-3,991,000","-84,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"13,870,000","17,302,000",-,-,"6,755,000","4,889,000",-,-,"458,000","423,000","321,000","227,000","100,000","4,292,000","804,000","959,000","849,000","4,581,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"49,056,000","-10,136,000","16,100,000",-,-,-,-,-,-,-,-,-,-,"66,000",-,"-568,000","568,000","250,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-50,530,000","29,484,000","176,000","-26,750,000","13,928,000","-89,338,000","10,005,000","-7,170,000","63,155,000","-72,143,000","33,422,000","29,300,000","-37,363,000","-3,944,000","-2,034,000","-2,985,000","-1,238,000","-37,000","-45,000","-6,654,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-120,886,000","-17,970,000","-60,237,000","-146,457,000","-62,495,000","-198,838,000","-112,678,000","-135,733,000","-84,804,000","-193,071,000","-41,087,000","-88,297,000","-124,455,000","-91,583,000","-80,899,000","-57,718,000","-67,044,000","-54,928,000","-47,940,000","-62,156,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"449,000","-129,000",-,-,"705,000","491,000",-,-,-,"-40,000","40,000",-,-,"7,000","1,000","36,000","3,000","474,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-226,000",-,-,-,"-481,000",-,-,-,"3,000","-977,000",-,-,"-44,000","-11,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-79,984,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-120,886,000","-17,970,000","-59,788,000","-146,812,000","-62,495,000","-198,838,000","-111,973,000","-135,723,000","-84,804,000","-193,071,000","-41,087,000","-88,334,000","-125,392,000","-91,583,000","-80,899,000","-57,755,000","-67,054,000","-134,876,000","-47,937,000","-61,682,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"4,435,000","226,000","5,000","-1,994,000","-288,000","290,000","128,000","153,000","152,000","157,000",-,-,-,"1,000",-,"72,000","-508,000",-,"-3,709,000","2,261,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-125,321,000","-18,196,000","-59,793,000","-144,818,000","-62,207,000","-199,128,000","-112,101,000","-135,876,000","-84,956,000","-193,228,000","-41,087,000","-88,334,000","-125,392,000","-91,584,000","-80,899,000","-57,827,000","-66,546,000","-134,876,000","-44,228,000","-63,943,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-125,321,000","-18,196,000","-59,793,000","-144,818,000","-62,207,000","-199,128,000","-112,101,000","-135,876,000","-84,956,000","-193,228,000","-41,087,000","-88,334,000","-125,392,000","-91,584,000","-80,899,000","-57,827,000","-66,546,000","-134,876,000","-44,228,000","-63,943,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"183,281,244","182,602,077","182,005,215","181,827,659","181,537,605","175,258,715","165,248,536","165,026,798","161,820,505","154,888,908","154,349,517","146,599,517","144,958,746","138,538,021","133,146,957","132,360,294","132,164,315","107,775,944","100,000,000","100,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"183,281,244","182,602,077","182,005,215","181,827,659","181,537,605","175,258,715","165,248,536","165,026,798","161,820,505","154,888,908","154,349,517","146,599,517","144,958,746","138,538,021","133,146,957","132,360,294","132,164,315","107,775,944","100,000,000","100,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.960%,4.190%,10.140%,10.181%,12.185%,13.151%,7.061%,12.570%,11.632%,11.802%,15.924%,10.758%,9.681%,28.543%,33.147%,32.360%,32.164%,7.776%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.684,-0.100,-0.329,-0.796,-0.343,-1.136,-0.678,-0.823,-0.525,-1.248,-0.266,-0.603,-0.865,-0.661,-0.608,-0.437,-0.504,-1.251,-0.442,-0.639,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.684,-0.100,-0.329,-0.798,-0.343,-1.140,-0.680,-0.823,-0.525,-1.248,-0.266,-0.603,-0.865,-0.668,-0.608,-0.437,-0.504,-1.254,-0.442,-0.639,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-77,887,000","-5,068,000","9,273,000","-99,990,000","-66,225,000","-103,656,000","-143,489,000","-56,295,000","-74,690,000","-418,000","-90,805,000","-73,045,000","-56,074,000","-86,464,000","-42,194,000","-68,384,000","-71,467,000","-67,723,000","-61,178,000","-98,623,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.425,-0.028,0.051,-0.550,-0.365,-0.591,-0.868,-0.341,-0.462,-0.003,-0.588,-0.498,-0.387,-0.624,-0.317,-0.517,-0.541,-0.628,-0.612,-0.986,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,5.751%,12.570%,-65.657%,-73.831%,-45.120%,-75.185%,-231.632%,-275.348%,-,-,-96.811%,100.000%,100.000%,100.000%,-,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-43.916%,-22.501%,-125.399%,-152.337%,-96.365%,-142.254%,-342.154%,-465.353%,-528.895%,-996.450%,-178.973%,-298.865%,-511.857%,-421.494%,-551.783%,-143.425%,-533.826%,-443.896%,-358.071%,-285.108%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-78.225%,-9.755%,-63.616%,-182.244%,-64.790%,-271.551%,-308.512%,-491.716%,-310.500%,-1614.134%,-99.407%,-224.837%,-735.998%,-439.589%,-565.569%,-140.357%,-534.034%,-1084.735%,-349.435%,-302.588%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-48.617%,-2.717%,9.866%,-125.831%,-68.975%,-141.356%,-394.895%,-203.724%,-272.980%,-3.492%,-219.697%,-185.922%,-329.131%,-415.014%,-294.980%,-165.981%,-573.525%,-544.660%,-483.353%,-466.700%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-67,975,000","-39,190,000","-115,068,000","-118,327,000","-89,848,000","-102,132,000","-121,205,000","-126,110,000","-141,767,000","-117,716,000","-70,794,000","-114,531,000","-84,437,000","-85,118,500","-76,105,000","-57,735,000","-64,049,000","-52,392,000","-43,702,000","-59,248,750",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-42.430%,-21.011%,-122.424%,-148.906%,-93.579%,-139.277%,-,-,-,-,-171.281%,-291.516%,-,-,-,-140.133%,-,-,-,-280.375%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,381,000","2,780,000","2,796,000","2,726,000","2,675,000","2,183,000","3,120,000","2,481,000","2,944,000","1,569,000","3,179,000","2,887,000","2,768,000","2,695,500","2,822,000","1,356,000","2,471,000","2,802,000","1,619,000","1,000,250",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-70,356,000","-41,970,000","-117,864,000","-121,053,000","-92,523,000","-104,315,000","-124,325,000","-128,591,000","-144,711,000","-119,285,000","-73,973,000","-117,418,000","-87,205,000","-87,814,000","-78,927,000","-59,091,000","-66,520,000","-55,194,000","-45,321,000","-60,249,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-43.916%,-22.501%,-125.399%,-152.337%,-96.365%,-142.254%,-,-,-,-,-178.973%,-298.865%,-,-,-,-143.425%,-,-,-,-285.108%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"160,205,000","186,523,000","93,991,000","79,464,000","96,013,000","73,330,000","36,336,000","27,633,000","27,361,000","11,971,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
