Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,-,-,-,-,-,"115,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-98.244%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,"17,217,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,"-17,102,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","30,317,000","29,577,000","28,058,000","23,017,000","15,288,000","5,247,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"96,939,000","96,773,000","90,897,000","63,412,000","36,220,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"127,256,000","126,350,000","118,955,000","86,429,000","51,508,000","5,247,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-127,256,000","-126,350,000","-118,955,000","-86,429,000","-51,508,000","-22,349,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-473,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"17,879,000","14,107,000","5,588,000","370,000","313,000","304,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-66,000","8,000","20,000","-16,000","-40,166,000","2,194,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-109,443,000","-112,235,000","-113,347,000","-86,075,000","-91,361,000","-20,324,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,200,000","-1,200,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"34,000","34,000","-490,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-4,100,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-752,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-110,609,000","-117,501,000","-113,837,000","-86,075,000","-91,361,000","-21,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-110,609,000","-117,501,000","-113,837,000","-86,075,000","-91,361,000","-21,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-110,609,000","-117,501,000","-113,837,000","-86,075,000","-91,361,000","-21,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"61,731,287","49,014,300","43,631,722","32,856,883","16,806,262","1,462,511",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"61,731,287","49,014,300","43,631,722","32,856,883","16,806,262","1,462,511",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),26.081%,12.336%,32.793%,95.504%,1049.137%,37.329%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.792,-2.397,-2.609,-2.620,-5.436,-14.411,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.792,-2.397,-2.609,-2.620,-5.436,-14.411,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-108,412,000","-114,307,000","-104,111,000","-72,952,000","-51,017,000","-20,295,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.756,-2.332,-2.386,-2.220,-3.036,-13.877,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-19433.913%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-18326.957%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-17647.826%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-118,141,000","-120,481,000","-116,318,000","-84,673,000","-50,722,000","-21,948,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,115,000","5,869,000","2,637,000","1,756,000","786,000","401,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-127,256,000","-126,350,000","-118,955,000","-86,429,000","-51,508,000","-22,349,000",Upgrade,Financials in USD,Fiscal year is January - December
