Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","4,386,360","3,972,140","4,023,445","4,397,524","1,565,034","1,847,328",Financials in USD,Fiscal year is January - December
Research & Development,"7,146,426","4,069,766","5,651,041","3,459,340","1,607,819","2,623,280",Financials in USD,Fiscal year is January - December
Operating Expenses,"11,532,786","8,041,906","9,674,486","7,856,864","3,172,853","4,470,608",Financials in USD,Fiscal year is January - December
Operating Income,"-11,532,786","-8,041,906","-9,674,486","-7,856,864","-3,172,853","-4,470,608",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-45,613","-197,269","-250,748",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"262,290","247,216","63,573",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,270,496","-7,794,690","-9,610,913","-7,902,477","-3,370,122","-4,721,356",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"133,592",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-11,270,496","-7,794,690","-9,610,913","-7,902,477","-3,236,530","-4,721,356",Financials in USD,Fiscal year is January - December
Net Income,"-11,270,496","-7,794,690","-9,610,913","-7,902,477","-3,236,530","-4,721,356",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"2,562,237",-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,270,496","-7,794,690","-9,610,913","-10,464,714","-3,236,530","-4,721,356",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"750,551","194,960","46,044","17,926",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"750,551","194,960","46,044","17,926",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),486.895%,323.421%,156.856%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-15.016,-39.981,-208.733,-583.773,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-15.016,-39.981,-208.733,-583.773,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,396,639","-6,408,931","-8,834,164","-5,693,392","-4,028,541","-3,922,272",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-12.520,-32.873,-191.864,-317.605,-,-,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-7,856,542","-3,172,531","-4,469,253",Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,322,322,"1,355",Financials in USD,Fiscal year is January - December
EBIT,"-11,532,786","-8,041,906","-9,674,486","-7,856,864","-3,172,853","-4,470,608",Financials in USD,Fiscal year is January - December
