Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019 - 2017,,
Revenue,-,-,-,-,-,"328,801",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-,-,-,-,-,-19.974%,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,-,-,-,-,-,"17,601",Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,-,-,-,-,-,"311,200",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","4,132,777","4,132,777","4,428,209","5,035,456","5,734,260","3,382,591",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"2,881,967","2,881,967","4,794,549","13,335,334","17,947,072","3,329,451",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"7,014,744","7,014,744","9,222,758","18,370,790","23,681,332","6,712,042",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-7,014,744","-7,014,744","-9,222,758","-18,370,790","-23,681,332","-6,400,842",Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,"153,498","153,498","289,846","63,523","11,165","37,778",Upgrade,Financials in USD,Fiscal year is October - September
Currency Exchange Gain (Loss),"-21,042","-21,042","-21,742","-21,114","-13,022",-366,Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-6,882,288","-6,882,288","-8,954,654","-18,328,381","-23,683,189","-6,363,430",Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,"713,043","713,043","581,039","780,257","10,340,839",-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-6,169,245","-6,169,245","-8,373,615","-17,548,124","-13,342,350","-6,363,430",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,800,800,800,800,800,800,Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-6,170,045","-6,170,045","-8,374,415","-17,548,924","-13,343,150","-6,364,230",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-6,170,045","-6,170,045","-8,374,415","-17,548,924","-13,343,150","-6,364,230",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"3,197,423","3,197,423","2,858,929","2,096,446","1,725,403","1,229,594",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"3,197,423","3,197,423","2,858,929","2,096,446","1,725,403","1,229,594",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),11.840%,11.840%,36.370%,21.505%,40.323%,87.633%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-1.930,-1.930,-2.929,-8.371,-7.733,-5.176,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-1.930,-1.930,-2.929,-8.371,-7.733,-5.176,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-4,890,205","-4,890,205","-6,636,483","-12,284,958","-13,671,078","-4,991,196",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-1.529,-1.529,-2.321,-5.860,-7.923,-4.059,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,-,-,-,-,-,94.647%,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-,-,-,-,-,-1946.722%,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-,-,-,-,-,-1935.587%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-,-,-,-,-,-1517.999%,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-6,904,870","-6,904,870","-9,117,258","-18,262,627","-23,571,837","-6,345,293",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"109,874","109,874","105,500","108,163","109,495","55,549",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-7,014,744","-7,014,744","-9,222,758","-18,370,790","-23,681,332","-6,400,842",Upgrade,Financials in USD,Fiscal year is October - September
