Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Apr '23 Apr 30, 2023","Apr '22 Apr 30, 2022","Apr '21 Apr 30, 2021","Apr '20 Apr 30, 2020",2019 - 2015,,
Revenue,-,-,-,-,-,"12,690,000",Upgrade,Financials in USD,Fiscal year is May - April
Revenue Growth (YoY),-,-,-,-,-,-21.312%,Upgrade,Financials in USD,Fiscal year is May - April
Cost of Revenue,"90,996,000","86,167,000","80,276,000","70,167,000","41,286,000","40,194,000",Upgrade,Financials in USD,Fiscal year is May - April
Gross Profit,"-90,996,000","-86,167,000","-80,276,000","-70,167,000","-41,286,000","-27,504,000",Upgrade,Financials in USD,Fiscal year is May - April
"Selling, General & Admin","80,636,000","54,278,000","30,595,000","26,446,000","16,637,000","13,029,000",Upgrade,Financials in USD,Fiscal year is May - April
Operating Expenses,"80,636,000","54,278,000","30,595,000","26,446,000","16,637,000","13,029,000",Upgrade,Financials in USD,Fiscal year is May - April
Operating Income,"-171,632,000","-140,445,000","-110,871,000","-96,613,000","-57,923,000","-40,533,000",Upgrade,Financials in USD,Fiscal year is May - April
Interest & Investment Income,"5,247,000","3,896,000","2,232,000","1,090,000","903,000","1,830,000",Upgrade,Financials in USD,Fiscal year is May - April
Currency Exchange Gain (Loss),"1,562,000","138,000","90,000","-1,537,000","847,000","-367,000",Upgrade,Financials in USD,Fiscal year is May - April
Other Non Operating Income (Expenses),"7,054,000","8,442,000","15,781,000","15,302,000","9,929,000","9,530,000",Upgrade,Financials in USD,Fiscal year is May - April
EBT Excluding Unusual Items,"-157,769,000","-127,969,000","-92,768,000","-81,758,000","-46,244,000","-29,540,000",Upgrade,Financials in USD,Fiscal year is May - April
Gain (Loss) on Sale of Investments,"1,382,000","1,325,000","-139,000","-581,000",-,"300,000",Upgrade,Financials in USD,Fiscal year is May - April
Pretax Income,"-156,387,000","-126,644,000","-92,907,000","-82,339,000","-46,244,000","-29,240,000",Upgrade,Financials in USD,Fiscal year is May - April
Income Tax Expense,-,-,-,-,-,"-124,000",Upgrade,Financials in USD,Fiscal year is May - April
Net Income,"-156,387,000","-126,644,000","-92,907,000","-82,339,000","-46,244,000","-29,116,000",Upgrade,Financials in USD,Fiscal year is May - April
Net Income to Common,"-156,387,000","-126,644,000","-92,907,000","-82,339,000","-46,244,000","-29,116,000",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Basic),"42,773,580","36,786,575","27,890,846","24,473,092","19,094,440","17,748,666",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Diluted),"42,773,580","36,786,575","27,890,846","24,473,092","19,094,440","17,748,666",Upgrade,Financials in USD,Fiscal year is May - April
Shares Change (YoY),30.218%,31.895%,13.965%,28.169%,7.582%,17.690%,Upgrade,Financials in USD,Fiscal year is May - April
EPS (Basic),-3.656,-3.443,-3.331,-3.364,-2.422,-1.640,Upgrade,Financials in USD,Fiscal year is May - April
EPS (Diluted),-3.656,-3.443,-3.331,-3.364,-2.422,-1.640,Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow,"-122,701,000","-89,273,000","-76,457,000","-79,065,000","-30,253,000","-45,036,000",Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow Per Share,-2.869,-2.427,-2.741,-3.231,-1.584,-2.537,Upgrade,Financials in USD,Fiscal year is May - April
Gross Margin,-,-,-,-,-,-216.738%,Upgrade,Financials in USD,Fiscal year is May - April
Operating Margin,-,-,-,-,-,-319.409%,Upgrade,Financials in USD,Fiscal year is May - April
Profit Margin,-,-,-,-,-,-229.441%,Upgrade,Financials in USD,Fiscal year is May - April
Free Cash Flow Margin,-,-,-,-,-,-354.894%,Upgrade,Financials in USD,Fiscal year is May - April
EBITDA,"-170,755,000","-139,629,000","-110,153,000","-96,049,000","-57,386,000","-40,021,000",Upgrade,Financials in USD,Fiscal year is May - April
D&A For EBITDA,"877,000","816,000","718,000","564,000","537,000","512,000",Upgrade,Financials in USD,Fiscal year is May - April
EBIT,"-171,632,000","-140,445,000","-110,871,000","-96,613,000","-57,923,000","-40,533,000",Upgrade,Financials in USD,Fiscal year is May - April
