Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+12 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+12 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,"6,169,000","1,925,000","3,154,000","3,537,000","3,594,000","3,335,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,71.647%,-42.279%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"15,453,000",-,-,-,"21,290,000","14,005,000","23,180,000","19,945,000","-44,144,000","14,425,000","15,513,000","14,206,000","-49,158,000","16,045,000","13,448,000","19,665,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"-15,453,000",-,-,-,"-21,290,000","-14,005,000","-17,011,000","-18,020,000","47,298,000","-10,888,000","-11,919,000","-10,871,000","49,158,000","-16,045,000","-13,448,000","-19,665,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,855,000","8,327,000","7,989,000","6,812,000","6,412,000","7,129,000","7,399,000","2,748,000","7,127,000","6,851,000","7,352,000","7,211,000","7,143,000","6,766,000","6,015,000","5,624,000","5,181,000","5,526,000","5,250,000","5,264,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"27,327,000","19,461,000","18,873,000",-,"16,702,000","19,777,000","24,631,000",-,-,-,-,"58,739,000",-,-,-,"64,881,000",-,-,-,"27,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"35,182,000","27,788,000","26,862,000","6,812,000","23,114,000","26,906,000","32,030,000","2,748,000","7,127,000","6,851,000","7,352,000","65,950,000","7,143,000","6,766,000","6,015,000","70,505,000","5,181,000","5,526,000","5,250,000","32,330,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-35,182,000","-27,788,000","-26,862,000","-22,265,000","-23,114,000","-26,906,000","-32,030,000","-24,038,000","-21,132,000","-23,862,000","-25,372,000","-18,652,000","-18,031,000","-18,685,000","-16,886,000","-21,347,000","-21,226,000","-18,974,000","-24,915,000","-32,330,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-82,000","-88,000","-95,000",-,"-106,000","-111,000","-121,000",-,-,-,-,-,-,"-10,000",-,"-17,000","-20,000","-13,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,328,000","2,565,000","2,651,000","1,659,000","1,962,000","2,060,000","1,799,000","1,534,000","735,000","293,000","54,000","64,000",-,-,-,-,-,-,"164,000","299,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"211,000","239,000","3,000","270,000","278,000","265,000","282,000","-355,000","-13,000","-3,000","-10,000","-22,000","48,000",-,"-14,000","1,000",-,-,"1,000","170,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-32,725,000","-25,072,000","-24,303,000","-20,336,000","-20,980,000","-24,692,000","-30,070,000","-22,859,000","-20,410,000","-23,572,000","-25,328,000","-18,610,000","-17,983,000","-18,695,000","-16,900,000","-21,363,000","-21,246,000","-18,987,000","-24,750,000","-31,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,"63,000",-,"-10,528,000",-,"-1,520,000",-,-,-,-,-,-,-,-,"-1,944,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"18,236,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-32,725,000","-25,072,000","-24,303,000","-20,336,000","-20,980,000","-24,629,000","-30,070,000","-15,151,000","-20,410,000","-25,092,000","-25,328,000","-18,610,000","-17,983,000","-18,695,000","-16,900,000","-21,363,000","-21,246,000","-18,987,000","-26,694,000","-31,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-32,725,000","-25,072,000","-24,303,000","-20,336,000","-20,980,000","-24,629,000","-30,070,000","-15,151,000","-20,410,000","-25,092,000","-25,328,000","-18,610,000","-17,983,000","-18,695,000","-16,900,000","-21,363,000","-21,246,000","-18,987,000","-26,694,000","-31,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-32,725,000","-25,072,000","-24,303,000","-20,336,000","-20,980,000","-24,629,000","-30,070,000","-15,151,000","-20,410,000","-25,092,000","-25,328,000","-18,610,000","-17,983,000","-18,695,000","-16,900,000","-21,363,000","-21,246,000","-18,987,000","-26,694,000","-31,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-32,725,000","-25,072,000","-24,303,000","-20,336,000","-20,980,000","-24,629,000","-30,070,000","-15,151,000","-20,410,000","-25,092,000","-25,328,000","-18,610,000","-17,983,000","-18,695,000","-16,900,000","-21,363,000","-21,246,000","-18,987,000","-26,694,000","-31,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"41,443,317","40,934,361","38,155,373","20,234,506","20,059,641","19,663,672","19,567,635","11,484,123","7,532,706","7,523,964","7,507,155","7,530,737","7,487,531","7,486,603","5,951,149","4,215,370","3,219,699","3,210,875","3,203,954","3,198,285",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"41,443,317","40,934,361","38,155,373","20,234,506","20,059,641","19,663,672","19,567,635","11,484,123","7,532,706","7,523,964","7,507,155","7,530,737","7,487,531","7,486,603","5,951,149","4,215,370","3,219,699","3,210,875","3,203,954","3,198,285",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),106.600%,108.173%,94.992%,76.195%,166.301%,161.347%,160.653%,52.497%,0.603%,0.499%,26.146%,78.649%,132.554%,133.164%,85.744%,31.801%,11.107%,38.228%,38.195%,38.454%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.790,-0.612,-0.637,-1.005,-1.046,-1.253,-1.537,-1.319,-2.710,-3.335,-3.374,-2.471,-2.402,-2.497,-2.840,-5.068,-6.599,-5.913,-8.332,-9.962,Upgrade,Financials in USD,Fiscal year is January - December
