Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","2,747,000","2,775,000","3,278,000","3,183,000","3,304,000","3,070,000","3,130,000","2,755,000","3,128,000","3,414,000","3,704,000","3,353,000","3,191,000","3,633,000","3,562,000","3,549,000","2,515,000","1,823,000","1,123,000","221,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,093,000","1,834,000","2,463,000","2,768,000","2,551,000","8,089,000","10,362,000","10,770,000","10,494,000","13,707,000","13,235,000","10,115,000","9,748,000","8,635,000","9,990,000","7,753,000","7,651,000","4,516,000","4,707,000","7,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,840,000","4,609,000","5,741,000","5,951,000","5,855,000","11,159,000","13,492,000","13,525,000","13,622,000","17,121,000","16,939,000","13,468,000","12,939,000","12,268,000","13,552,000","11,302,000","10,166,000","6,339,000","5,830,000","8,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,840,000","-4,609,000","-5,741,000","-5,951,000","-5,855,000","-11,159,000","-13,492,000","-13,525,000","-13,622,000","-17,121,000","-16,939,000","-13,468,000","-12,939,000","-12,268,000","-13,552,000","-11,302,000","-10,166,000","-6,339,000","-5,830,000","-8,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-91,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"146,000","213,000","257,000",-,"473,000","442,000","434,000","850,000","221,000","156,000","61,000","1,102,000","35,000","52,000","39,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-182,000","68,000","7,000","-208,000","-26,000","-27,000","64,000","-828,000","-329,000","148,000","-60,000","29,000","208,000","-86,000","168,000","-275,000","-1,485,000","404,000","156,000","-118,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"549,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,876,000","-4,328,000","-5,477,000","-6,250,000","-5,408,000","-10,744,000","-12,994,000","-13,503,000","-13,730,000","-16,817,000","-16,938,000","-12,337,000","-12,696,000","-12,302,000","-13,345,000","-11,577,000","-11,651,000","-5,935,000","-5,674,000","-7,635,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-968,000",-,"-720,000","-2,728,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"431,000",-,-,-,"-566,000",-,"-70,000",-,"-1,072,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"64,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,876,000","-5,296,000","-5,477,000","-6,475,000","-8,136,000","-10,744,000","-12,994,000","-14,069,000","-13,730,000","-16,887,000","-16,938,000","-13,409,000","-12,696,000","-12,302,000","-13,345,000","-11,577,000","-11,651,000","-5,935,000","-5,674,000","-24,423,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"7,000","42,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,883,000","-5,338,000","-5,477,000","-6,475,000","-8,136,000","-10,744,000","-12,994,000","-14,069,000","-13,730,000","-16,887,000","-16,938,000","-13,409,000","-12,696,000","-12,302,000","-13,345,000","-11,577,000","-11,651,000","-5,935,000","-5,674,000","-24,423,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-7,648,000","2,713,000","4,935,000",-,"1,401,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,883,000","-5,338,000","-5,477,000","-6,475,000","-8,136,000","-10,744,000","-12,994,000","-14,069,000","-13,730,000","-16,887,000","-16,938,000","-13,409,000","-12,696,000","-12,302,000","-13,345,000","-3,929,000","-14,364,000","-10,870,000","-5,674,000","-25,824,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,144,978","1,084,621","1,084,508","1,084,447","1,084,191","1,055,003","1,026,916","1,024,402","1,019,671","1,010,813","1,010,473","1,010,473","1,010,473","1,010,473","1,010,473","700,435","10,399","10,399","10,399","10,399",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,144,978","1,084,621","1,084,508","1,084,447","1,084,191","1,055,003","1,026,916","1,024,402","1,019,671","1,010,813","1,010,473","1,010,473","1,010,473","1,010,473","1,010,473","700,435","10,399","10,399","10,399","10,399",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.607%,2.807%,5.608%,5.861%,6.328%,4.372%,1.627%,1.378%,0.910%,0.034%,-,44.264%,9617.021%,9617.021%,9617.021%,6635.600%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.391,-4.922,-5.050,-5.971,-7.504,-10.184,-12.653,-13.734,-13.465,-16.706,-16.762,-13.270,-12.564,-12.174,-13.207,-5.609,-1381.287,-1045.293,-545.629,-2483.316,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.391,-5.000,-5.050,-5.971,-7.504,-10.250,-12.750,-13.734,-13.465,-16.750,-16.762,-13.270,-12.564,-12.174,-13.207,-5.609,-1381.287,-1045.293,-545.629,-2483.316,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,651,000","-4,100,000","-5,936,000","-11,474,000","-8,454,000","-7,849,000","-9,134,000","-11,489,000","-9,985,000","-14,814,000","-6,840,000","-17,825,000","-9,206,000","-11,284,000","-14,216,000","-14,517,000","-8,577,000","-7,131,000","-7,978,000","-5,253,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.189,-3.780,-5.473,-10.581,-7.798,-7.440,-8.895,-11.215,-9.792,-14.656,-6.769,-17.640,-9.111,-11.167,-14.069,-20.726,-824.791,-685.739,-767.189,-505.145,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-3,834,000","-4,604,000","-5,736,000","-5,928,000","-5,644,000","-11,142,000","-13,474,000","-13,504,000","-13,616,000","-17,114,000","-16,931,000","-13,461,000","-12,931,000","-12,265,000","-13,550,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"6,000","5,000","5,000","23,000","211,000","17,000","18,000","21,000","6,000","7,000","8,000","7,000","8,000","3,000","2,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,840,000","-4,609,000","-5,741,000","-5,951,000","-5,855,000","-11,159,000","-13,492,000","-13,525,000","-13,622,000","-17,121,000","-16,939,000","-13,468,000","-12,939,000","-12,268,000","-13,552,000","-11,302,000","-10,166,000","-6,339,000","-5,830,000","-8,066,000",Upgrade,Financials in USD,Fiscal year is January - December
