Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+8 Quarters,,
"Selling, General & Admin","9,471,000","10,419,000","9,304,000","8,481,000","7,981,000","7,644,000","6,966,000","7,100,000","11,004,000","6,231,000","5,537,000","4,728,000","4,883,000","4,990,000","4,526,000","4,074,000","4,167,000","3,429,000","3,596,000","3,083,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"72,232,000","55,322,000","50,650,000","53,392,000","38,634,000","27,985,000","21,787,000","18,320,000","25,087,000","21,363,000","20,514,000","27,711,000","19,470,000","23,976,000","10,602,000","25,709,000","17,371,000","13,025,000","8,783,000","13,138,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"81,703,000","65,741,000","59,954,000","61,873,000","46,615,000","35,629,000","28,753,000","25,420,000","36,091,000","27,594,000","26,051,000","32,439,000","24,353,000","28,966,000","15,128,000","29,783,000","21,538,000","16,454,000","12,379,000","16,221,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-81,703,000","-65,741,000","-59,954,000","-61,873,000","-46,615,000","-35,629,000","-28,753,000","-25,420,000","-36,091,000","-27,594,000","-26,051,000","-32,439,000","-24,353,000","-28,966,000","-15,128,000","-29,783,000","-21,538,000","-16,454,000","-12,379,000","-16,221,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,246,000","-1,231,000","-991,000","-897,000","-888,000","-857,000","-457,000","-362,000","-324,000","-53,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"10,985,000","7,601,000","13,492,000",-,"5,403,000","3,379,000","2,541,000","873,000","244,000","22,000","15,000","23,000","33,000","38,000","113,000","135,000","247,000","493,000","610,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"10,244,000",-,-,-,"7,844,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-72,705,000","-55,987,000","-53,344,000","-49,278,000","-39,659,000","-31,083,000","-25,831,000","-23,241,000","-35,542,000","-27,403,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,670,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-5,908,000",-,-,-,"182,000",-,-,-,-,-,-,-,"-41,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-72,705,000","-55,987,000","-53,344,000","-55,186,000","-39,659,000","-31,083,000","-25,831,000","-23,059,000","-35,542,000","-27,403,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,711,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-72,705,000","-55,987,000","-53,344,000","-55,186,000","-39,659,000","-31,083,000","-25,831,000","-23,059,000","-35,542,000","-27,403,000","-26,029,000","-32,424,000","-24,330,000","-28,933,000","-15,090,000","-29,711,000","-21,403,000","-16,207,000","-11,886,000","-15,611,000",Upgrade,Financials in USD,Fiscal year is January - December
