Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","5,883,000","7,169,000","10,662,000","10,464,000","12,805,000","12,480,000","12,513,000","12,014,000","12,946,000","13,245,000","14,126,000","14,193,000","12,442,000","11,978,000","10,470,000","8,659,000","6,718,000","3,268,000","3,001,000","2,818,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-246,000","93,000","12,173,000","33,372,000","34,156,000","34,824,000","30,718,000","28,420,000","30,004,000","31,379,000","29,067,000","41,603,000","33,062,000","25,677,000","20,393,000","16,757,000","17,182,000","8,885,000","6,839,000","6,687,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,637,000","7,262,000","22,835,000","43,836,000","46,961,000","47,304,000","43,231,000","40,434,000","42,950,000","44,624,000","43,193,000","55,796,000","45,504,000","37,655,000","30,863,000","25,416,000","23,900,000","12,153,000","9,840,000","9,505,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,637,000","-7,262,000","-22,835,000","-43,836,000","-46,961,000","-47,304,000","-43,231,000","-40,434,000","-42,950,000","-44,624,000","-43,193,000","-55,796,000","-45,504,000","-37,655,000","-30,863,000","-25,416,000","-23,900,000","-12,153,000","-9,840,000","-9,505,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,494,000","1,360,000","1,246,000","1,372,000","1,522,000","1,516,000","1,325,000","898,000","668,000","162,000","148,000","82,000","253,000","475,000","505,000","595,000","112,000","166,000","457,000","665,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,"115,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"100,000","338,000","9,000",-,"1,167,000","521,000","-6,000",-,"210,000","-27,000","-742,000","-1,153,000","-259,000","-408,000","-109,000","32,000","174,000","355,000","20,000","97,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,043,000","-5,564,000","-21,580,000","-42,464,000","-44,272,000","-45,267,000","-41,912,000","-39,421,000","-42,072,000","-44,489,000","-43,787,000","-56,867,000","-45,510,000","-37,588,000","-30,467,000","-24,789,000","-23,614,000","-11,632,000","-9,363,000","-8,743,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-83,000","-512,000","-9,464,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
